original_query,fixed_query,retrieved_docs,expected_id,passed,time_taken
 Können Sie mir die Adresse von Gebäude 40.16 m teilen?,40.16,"40.16,40.40,40.18,40.14,30.90",40.16,True,2.823939085006714
 Ist das Gebäude der physikalischen Chemie bei Jerefrei?,EMPTY,"Bereich I – Biologie, Chemie und Verfahrenstechnik (Campus Süd),Joseph Gottlieb Kölreuter Institut für Pflanzenwissenschaften (JKIP),Experimentelle Teilchenphysik (ETP), Institut für,Physikalisches Institut (PI),Fachschaft Maschinenbau/Chemieingenieurwesen","Physikalische Chemie, Institut für",False,1.9359190464019775
 Wofür finde ich die Homepage der MPR?,EMPTY,"Materialprüfungsanstalt (MPA),Prozessrechentechnik, Automation und Robotik (IPR), Institut für,Institut für Operations Research (IOR), Bereich Diskrete Optimierung und Logistik,30.31,Institut für Operations Research (IOR), Bereich Kontinuierliche Optimierung",Materialprüfungsanstalt (MPA),True,1.4971210956573486
 Wie gelang ich zum Gebäude mit der Nummer 10.63.,10.63,"10.63,10.70,11.22,11.40,Chemie-Hörsaal III (30.41)",10.63,True,2.1138710975646973
 Die Sucht ist der Standford von Gebäude 692.,692,"692,Werkfeuerwehr,Karlsruhe House of Young Scientists (KHYS),Pressestelle (STS),Zentrale Studienberatung (ZSB)",692,True,2.0792510509490967
 Was sind die Öffnungszeiten von Gebäude 417?,417,"417,40.11,Chemie-Hörsaal III (30.41),Fritz-Haller-Hörsaal (20.40),Rudolf-Criegee-Hörsaal (30.41)",417,True,1.6522789001464844
 Wie gelang ich zu 259?,259,"259,273,351,333,30.42",259,True,2.2616159915924072
 An welcher Adresse finde ich das Gebäude 70.16?,70.16,"70.16,70.12,50.12,30.90,40.16",70.16,True,1.9586091041564941
 Wo befindet sich B254?,254,"B254,254,B252,05.01,459",B254,True,1.923736810684204
 Welcher Straße finde ich das Gebäude 690?,690,"690,11.22,Lernzentrum am Fasanenschlösschen (Geb. 30.28),KIT-Shuttle (Haltestelle Campus Ost),Karlsruhe House of Young Scientists (KHYS)",690,True,1.6156530380249023
 Kannst du mit den Weg zu Gebäude 0.1.85 zeigen.,01.85,"Nachrichtentechnik-Hörsaal (30.10),Heinrich-Hertz-Hörsaal (10.11),50.19 - InformatiKOM I,40.19,40.11",01.85,False,2.3549320697784424
 Können Sie mir den Standort von Gebäude 10.86 mitteilen?,10.86,"10.86,10.91,11.22,10.22 - LAZ,Mittlerer Hörsaal Maschinenbau (10.91)",10.86,True,1.5819878578186035
 Hat das International Skolas in Rail-Comp Office im Nordcampus gerade auf?,EMPTY,"International Scholars & Welcome Office (Campus Nord),International Scholars & Welcome Office (Campus Süd),02.95,International Students Office (INTL),Schwerbehindertenvertretung (SBV) Campus Nord",International Scholars & Welcome Office (Campus Nord),True,1.3344459533691406
 Man hat Gebäude 800-3 geöffnet.,803  8003,"803,30.21,Fritz-Haller-Hörsaal (20.40),Chemie-Hörsaal III (30.41),Kleiner Hörsaal Bauingenieure (10.50)",803,True,2.170497179031372
 Wie finde ich den Weg zum IBAP?,EMPTY,"Berufspädagogik und Allgemeine Pädagogik (IBAP), Institut für,Beschleunigerphysik und Technologie (IBPT) - Direktor/Verwaltung, Institut für,Angewandte Materialien - Angewandte Werkstoffphysik (IAM-AWP), Institut für,Institut für Arbeitswissenschaft und Betriebsorganisation (ifab),Astroteilchenphysik (IAP), Institut für","Berufspädagogik und Allgemeine Pädagogik (IBAP), Institut für",True,1.4948840141296387
 Was ist der schnellste Weg zum Gebäude 607?,607,"9607,607,11.22,30.91,Thermische Verfahrenstechnik, Institut für",607,True,0.9247260093688965
 Ist der Zugang zu Gebäude 7011 ein hierher frei?,70.11,"70.11,Bereich IV - Natürliche und gebaute Umwelt (CS),Lernzentrum am Fasanenschlösschen (Geb. 30.28),Fritz-Haller-Hörsaal (20.40),Forschungsförderung (FOR) CS",70.11,True,1.0899991989135742
