id,query,position,num_turn,failed
"Physikalische Chemie, Institut für",Ist das Gebäude der Physikalischen Chemie barrierefrei?,-1,1,1
"Germanistik: Literatur, Sprache, Medien (GER), Institut für",Ist das Germanistik-Institut barrierefrei zugänglich für Rollstuhlfahrer?,-1,1,1
Engler-Bunte-Hörsaal,Wo finde ich das Engler-Bunte-Gebäude mit dem Hörsaal?,-1,1,1
Heinrich-Hertz-Hörsaal,Hat der Heinrich-Hertz-Hörsaal derzeit auf?,-1,1,1
"Experimentelle Teilchenphysik (ETP), Institut für",Ist der ETP-Bau barrierefrei für Rollstuhlfahrer?,-1,1,1
Fritz-Haller-Hörsaal,Auf welchem Weg gelange ich zum Fritz-Haller-Hörsaal?,-1,1,1
Elektrotechnisches Institut (ETI),Welche URL hat das ETI im Internet?,-1,1,1
Chemie-Hörsaal I,Wo finde ich den Weg zum Chemie-Hörsaal I?,-1,1,1
Bauingenieure-Hörsaal,Gibt es eine Adresse im Internet für den Bauingenieure-Hörsaal?,-1,1,1
Otto-Lehmann-Hörsaal,Können Sie mir den Standort des Otto-Lehmann-Hörsaals nennen?,-1,1,1
Interfakultatives Institut für Anwendungen der Informatik,Hat das IFI momentan auf?,-1,1,1
Chemie-Hörsaal II,Wann hat das Chemie-Hörsaal II geöffnet?,-1,1,1
Neuer Hörsaal Chemie,Können Sie mir den Weg zum Neuer Hörsaal Chemie zeigen?,-1,1,1
30.31,Welche URL hat das dreißig Punkt einundreißig Gebäude?,-1,1,1
Fachschaft Geistes- und Sozialwissenschaften,Kannst du mir den Weg zur Fachschaft GeKo zeigen?,-1,1,1
Rudolf-Criegee-Hörsaal,Können Sie mir den Standort des Rudolf-Criegee-Hörsaals nennen?,-1,1,1
