file_stem,transcription,type,error,processing_time
building_location_synthetic-01, An welcher Stelle befindet sich Gebäude 239?,single,,3.804391860961914
building_location_synthetic-11, Wo steht Gebäude 40.25?,single,,2.423382043838501
building_location_synthetic-12," An welcher Adresse finde ich das Internationale Studium Office, INTL?",single,,2.3967819213867188
building_location_synthetic-17, Was ist die Adresse von Gebäude 10.34?,single,,2.1201529502868652
building_location_synthetic-18," Obel findet sich das Institut für Thermodynamische Informatik, die Arbeitsgruppe Kryptografie und Sicherheit.",single,,2.3169009685516357
building_location_synthetic-20, Wo hat die Fachschaft Geistes und Sozialwissenschaften ihren Sitz?,single,,2.0592689514160156
building_location_synthetic-33, Wo steht Gebäude 70.26?,single,,1.982635736465454
building_location_synthetic-40, Wie ist die Lage von Gebäude 915?,single,,3.4500648975372314
building_location_synthetic-41, Welcher Adresse hat das Gebäude 736?,single,,2.683138847351074
building_location_synthetic-42, Wo befindet sich Gebäude 666?,single,,2.2174017429351807
building_location_synthetic-57, An welcher Adresse finde ich die Gebäude 901?,single,,2.9140851497650146
building_location_synthetic-63, Können Sie die Lage von Geburt 686 angeben?,single,,2.924757957458496
building_location_synthetic-64, Wie oder was ist die Interesse von Gebäude 668?,single,,2.564239025115967
building_location_synthetic-67, Wo steht das Gebäude 741?,single,,2.2444920539855957
building_location_synthetic-69, Können Sie mir den Standort von Gebäude 726 mitteilen?,single,,2.313878059387207
building_location_synthetic-72, Was ist der Standort von Gebäude 803?,single,,2.2793331146240234
building_location_synthetic-81, Wo genau ist Gebäude 706 lokalisiert?,single,,2.3178586959838867
building_location_synthetic-82, An welchem Standort steht das Gebäude 911?,single,,2.2715299129486084
building_location_synthetic-83, Was ist die Adresse von Energy Labs?,single,,2.2829749584198
closed_until_synthetic-06, Wann sind die Türen das Informatikbaus wieder offen?,single,,2.7369160652160645
closed_until_synthetic-30, Ab welcher Uhrzeit ist Gebäude 20.54 Uhr wieder geöffnet?,single,,2.953444242477417
closed_until_synthetic-37, Dann ist Gebäude 10.11 wieder zugänglich.,single,,2.4396159648895264
closed_until_synthetic-41, Wann startet das Intro-Café wieder seinen Betrieb?,single,,2.3943257331848145
closed_until_synthetic-45, Wann wird Gebäude 1045 wieder aufgeschlossen? Ich meinte 145.,single,,2.4963972568511963
closed_until_synthetic-47, Van öffnet das Institut für Anthropomatik und Robotik wieder seine Pforten.,single,,2.591730833053589
closed_until_synthetic-50, Abwanzt Gebäude 532 wieder zugänglich.,single,,2.7120249271392822
closed_until_synthetic-52," Ab welchen Zeitpunkt ist das Gebäude Technik, Thermodynamik und Kälte Technik, Mess- und Regelungstechnik Institutsgebäude wieder offen?",single,,3.6092798709869385
closed_until_synthetic-53, Zu welcher Zeit eröffnet Gebäude 304 wieder?,single,,2.4092202186584473
closed_until_synthetic-54, Ab wann kann man das Gebäude Stab und Strategie wieder betreten?,single,,2.9995970726013184
closed_until_synthetic-60, Wann macht das Gastotshändenhaus? Wie heißt das nochmal? Heinrich Herz wieder auf.,single,,2.6556951999664307
closed_until_synthetic-70, Ab wann ist Gebäude 546 wieder offen?,single,,2.8484020233154297
closed_until_synthetic-76, Zu welcher Zeit macht die Fachschaft Kunstgeschichte auf?,single,,2.4811317920684814
closed_until_synthetic-78, Wann macht das Institutsgebäude Boden- und Felsmechanik auf?,single,,2.6388769149780273
closed_until_synthetic-79," Ab wann ist das Gebäude 10,50 wieder zugänglich?",single,,2.5191810131073
closed_until_synthetic-86, Wann ist Gebäude 688 wieder zugänglich?,single,,2.6789731979370117
closed_until_synthetic-87, Auf welchen Zeitpunkt ist 10.32 geöffnet?,single,,2.94879412651062
closed_until_synthetic-90, Zu welcher Zeit öffnet das Max-Rubner-Institut?,single,,2.6168110370635986
