input,metadata,expected_output,output,FScore,Precision,Recall,LLM_Judge,LLM_Judge_reason,assertions_passed_rate,assertion.LLMJudge_pass
Wie lautet die Adresse von Gebäude 523?,"{'test_idx': 0, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse Campus Nord, Leopoldstraße, Kirchfeld, Neureut, Karlsruhe, Dettenheim, Baden-Württemberg, 76131, Deutschland.']",['Das Gebäude 523 befindet sich im Campus Nord an der Leopoldstraße in Neureut.'],0.7471456527709961,0.7947946786880493,0.704886794090271,1.0,"The output conveys the same relevant address information as the expected output, mentioning Campus Nord, Leopoldstraße, and Neureut without unnecessary details.",1.0,True
An welcher Stelle befindet sich Gebäude 239?,"{'test_idx': 1, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse Eggensteiner Straße, Leopoldshafen, Eggenstein-Leopoldshafen, Landkreis Karlsruhe, Baden-Württemberg, 76344, Deutschland.']",['Das Gebäude 239 befindet sich in der Eggensteiner Straße im Stadtviertel Leopoldshafen.'],0.75105220079422,0.7835811376571655,0.7211162447929382,0.5,"The output conveys the same information about the location of Gebäude 239 on Eggensteiner Straße in Leopoldshafen, though it does not include the full address details as in the expected output.",0.0,False
Welche Adresse hat das wbk Institut für Produktionstechnik?,"{'test_idx': 2, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse wbk Institut für Produktionstechnik, 5, Gotthard-Franz-Straße, Oststadt Westlicher Teil, Oststadt, Karlsruhe, Baden-Württemberg, 76131, Deutschland.']",['Das WBK-Institut für Produktionstechnik hat die Adresse Gotthard-Franz-Straße 5 in der Oststadt.'],0.7981682419776917,0.8459535837173462,0.7554927468299866,1.0,The output conveys the same address information (Gotthard-Franz-Straße 5) in a different phrasing.,1.0,True
An welchem Standort ist Gebäude 30.33?,"{'test_idx': 3, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse MTI-Hörsaal, Fritz-Haber-Weg, Innenstadt-Ost Nordöstlicher Teil, Innenstadt-Ost, Karlsruhe, Baden-Württemberg, 76131, Deutschland.']",['Das Gebäude 30.33 befindet sich am Fritz-Haber-Weg.'],0.7241308689117432,0.7919586896896362,0.6670047640800476,1.0,"The output correctly states the street (Fritz-Haber-Weg) of the building's location, which is the relevant part of the address as per the rubric.",1.0,True
Wie ist die Adresse der KIT-Fakultät für Wirtschaftswissenschaften?,"{'test_idx': 4, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse Kollegiengebäude am Kronenplatz, 89-93, Kaiserstraße, Innenstadt-Ost Südwestlicher Teil, Innenstadt-Ost, Karlsruhe, Baden-Württemberg, 76133, Deutschland.']","['Die Adresse der KIT-Fakultät für Wirtschaftswissenschaften ist Kaiserstraße 89-93 in 76133 Karlsruhe, Innenstadt-Ost.']",0.7796295881271362,0.7847502827644348,0.7745753526687622,1.0,"The output conveys the same information as the expected output, including the relevant address 'Kaiserstraße 89-93' and the postal code '76133 Karlsruhe'.",1.0,True
An welcher Adresse ist das Institut für Technik der Informationsverarbeitung (ITIV) zu finden?,"{'test_idx': 5, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse 5, Engesserstraße, Innenstadt-Ost Nordöstlicher Teil, Innenstadt-Ost, Karlsruhe, Baden-Württemberg, 76131, Deutschland.']",['Das Institut für Technik der Informationsverarbeitung (ITIV) ist an der Adresse Engesserstraße 5 zu finden.'],0.689436137676239,0.7070716023445129,0.6726589202880859,1.0,"The output correctly conveys the address 'Engesserstraße 5', matching the expected output in meaning.",1.0,True
Wo liegt das Institutsgebäude Nachrichtentechnik?,"{'test_idx': 6, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse Institutsgebäude Nachrichtentechnik, 5, Engesserstraße, Innenstadt-Ost Nordöstlicher Teil, Innenstadt-Ost, Karlsruhe, Baden-Württemberg, 76131, Deutschland.']",['Das Institut für Nachrichtentechnik liegt an der Hertzstraße 16 in der Nordweststadt.'],0.6986638903617859,0.7320020794868469,0.6682301759719849,0.0,The output provides a different address than the expected one.,0.0,False
An welcher Adresse ist das Institut für Volkswirtschaftslehre?,"{'test_idx': 7, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse 25, Waldhornstraße, Innenstadt-Ost Südwestlicher Teil, Innenstadt-Ost, Karlsruhe, Baden-Württemberg, 76131, Deutschland.']",['Das Institut für Volkswirtschaftslehre befindet sich an der Waldhornstraße 25 in der Innenstadt-Ost.'],0.7097901105880737,0.7207611203193665,0.6991479992866516,1.0,"The output conveys the same address information (Waldhornstraße 25) as the expected output, and the phrasing differences are acceptable.",1.0,True
An welchem Ort befindet sich Gebäude 30.90?,"{'test_idx': 8, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse 30.90, 8, Fritz-Haber-Weg, Innenstadt-Ost Nordöstlicher Teil, Innenstadt-Ost, Karlsruhe, Baden-Württemberg, 76131, Deutschland.']","['Das Gebäude 30.90 befindet sich am Fritz-Haber-Weg 8 im Stadtviertel Innenstadt-Ost. Die genauen Koordinaten sind 49.01328° Nord, 8.41426° Ost.']",0.7371488213539124,0.7247312068939209,0.7499993443489075,1.0,"The output conveys the same relevant information (Fritz-Haber-Weg 8) as the expected output, but also includes additional details like coordinates, which are acceptable as long as the core address is correct.",1.0,True
Wie ist die Anschrift von Gebäude 245?,"{'test_idx': 9, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse Neureuter Straße, Leopoldshafen, Eggenstein-Leopoldshafen, Landkreis Karlsruhe, Baden-Württemberg, 76344, Deutschland.']",['Das Gebäude 245 hat die Adresse Neureuter Straße in Leopoldshafen.'],0.8213849663734436,0.8831686973571777,0.7676804065704346,0.5,The output conveys the same information about the location of Gebäude 245 but does not include the full address as detailed in the expected output.,0.0,False
