input,metadata,expected_output,output,FScore,Precision,Recall,LLM_Judge,LLM_Judge_reason,assertions_passed_rate,assertion.LLMJudge_pass
Können Sie mir die Adresse von Gebäude 40.16 mitteilen?,"{'test_idx': 0, 'turn_idx': 0, 'type': 'multi_turn'}","['Das Gebäude hat die Adresse 40.16, 11, Engler-Bunte-Ring, Innenstadt-Ost Nordöstlicher Teil, Innenstadt-Ost, Karlsruhe, Baden-Württemberg, 76131, Deutschland.']","['Die Adresse des Gebäudes 40.16 ist Engler-Bunte-Ring 11, 76131 Karlsruhe.']",0.8275867104530334,0.8753283619880676,0.7847835421562195,1.0,"The output conveys the same address information as the expected output, though in a slightly different format.",1.0,True
Welchen Weg muss ich zum Gebäude nehmen?,"{'test_idx': 0, 'turn_idx': 1, 'type': 'multi_turn'}","['Mit diesem Link kannst du dich zu dem Gebäude führen lassen: https://www.google.com/maps/dir/?api=1&destination=49.01530,8.41501.']","['Um zum Gebäude 40.16 zu gelangen, folge bitte der Engler-Bunte-Ring in Richtung Süden. Das Gebäude liegt an der Adresse Engler-Bunte-Ring 11.']",0.5768906474113464,0.60779869556427,0.5489740371704102,0.0,The output provides a different method for navigation (directional address) instead of the expected link. The information is not consistent with the expected output.,0.0,False
Hat das Gebäude einen barrierefreien Zugang?,"{'test_idx': 0, 'turn_idx': 2, 'type': 'multi_turn'}",['Zu diesem Gebäude habe ich leider keine Informationen zur Rollstuhgerechtigkeit.'],"['Ich habe keine Informationen darüber, ob das Gebäude 40.16 barrierefrei zugänglich ist.']",0.7430031895637512,0.7325540781021118,0.7537546157836914,1.0,"The output conveys the same information as the expected output, indicating a lack of data on the building's accessibility.",1.0,True
Um welche Uhrzeit wird das Gebäude aufgeschlossen?,"{'test_idx': 0, 'turn_idx': 3, 'type': 'multi_turn'}",['Für dieses Gebäude kenne ich leider keine Öffnungszeiten.'],['Ich habe keine Informationen über die Öffnungszeiten des Gebäudes 40.16.'],0.7931240200996399,0.7785507440567017,0.8082534074783325,0.0,The output conveys the lack of information about the building's opening hours but does not match the expected phrasing exactly.,0.0,False
Ist das Gebäude der Physikalischen Chemie barrierefrei?,"{'test_idx': 1, 'turn_idx': 0, 'type': 'multi_turn'}",['Zu diesem Gebäude habe ich leider keine Informationen zur Rollstuhgerechtigkeit.'],"['Das Gebäude der Physikalischen Chemie ist nicht barrierefrei, da in den bereitgestellten Dokumenten keine Informationen über die Barrierefreiheit zu finden sind.']",0.7102034687995911,0.6848272085189819,0.7375327348709106,0.5,"The output conveys the same meaning as the expected output by stating the lack of information about the building's accessibility. However, it introduces unnecessary reasoning that was not part of the expected output.",0.0,False
An welcher Adresse befindet sich das Institut?,"{'test_idx': 1, 'turn_idx': 1, 'type': 'multi_turn'}","['Das Gebäude hat die Adresse Chemie-Turm II, 2, Fritz-Haber-Weg, Innenstadt-Ost Nordöstlicher Teil, Innenstadt-Ost, Karlsruhe, Baden-Württemberg, 76131, Deutschland.']","['Die Adresse des Instituts ist Reinhard-Baumeister-Platz 1, 76131 Karlsruhe.']",0.7871068120002747,0.8270304799079895,0.7508602142333984,0.0,"The output provides a different address than the expected output, and does not match the meaning or information provided in the expected answer.",0.0,False
Hat das Institut eine eigene Webseite?,"{'test_idx': 1, 'turn_idx': 2, 'type': 'multi_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Das Institut hat eine eigene Webseite: http://www.itm.kit.edu.'],0.6157002449035645,0.5775594115257263,0.6592346429824829,0.0,"The output provides additional information (the URL) that is not present in the expected output, which may deviate from the intended response in a conversational context.",0.0,False
Wo finde ich die Homepage der MPA?,"{'test_idx': 2, 'turn_idx': 0, 'type': 'multi_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],"['Die Homepage der MPA (Medien, Presse- und Informationsamt) von KIT ist nicht in den bereitgestellten Dokumenten zu finden. Ich kann Ihnen jedoch sagen, dass das Medien, Presse- und Informationsamt von KIT auf der offiziellen Website von KIT zu finden ist. Die Adresse lautet: https://www.kit.edu. Dort finden Sie alle Informationen zu den verschiedenen Einrichtungen und Instituten von KIT, einschließlich der MPA.']",0.6163133382797241,0.5748834013938904,0.6641784906387329,1.0,"The output provides helpful information about where to find the MPA homepage, which is consistent with the expected output's intent of directing the user to the website.",1.0,True
Bis wann hat das noch geöffnet?,"{'test_idx': 2, 'turn_idx': 1, 'type': 'multi_turn'}",['Für dieses Gebäude kenne ich leider keine Öffnungszeiten.'],"['Leider habe ich keine Informationen über die Öffnungszeiten von KIT-Instituten oder -Einrichtungen. Die bereitgestellten Dokumente enthalten keine Informationen über Öffnungszeiten. Es wäre ratsam, direkt auf der offiziellen Website von KIT oder bei den jeweiligen Einrichtungen nachzufragen.']",0.7222258448600769,0.6705989241600037,0.7824649810791016,1.0,The output conveys the same information as the expected output by stating that no opening hours are known for the building.,1.0,True
Wie gelange ich zum Gebäude mit Nummer 10.63?,"{'test_idx': 3, 'turn_idx': 0, 'type': 'multi_turn'}","['Mit diesem Link kannst du dich zu dem Gebäude führen lassen: https://www.google.com/maps/dir/?api=1&destination=49.01048,8.41707.']","['Um zum Gebäude mit der Nummer 10.63 zu gelangen, folge bitte den Koordinaten: 49.01048, 8.41707. Das Gebäude befindet sich in der Ernst-Gaber-Straße 1 in der Innenstadt-Ost.']",0.6544865369796753,0.674302339553833,0.635802149772644,0.0,"The output provides the coordinates and an address for the building, but it does not include the mandatory Google Maps link from the expected output.",0.0,False
Gibt es dort auch einen barrierefreien Zugang?,"{'test_idx': 3, 'turn_idx': 1, 'type': 'multi_turn'}",['Zu diesem Gebäude habe ich leider keine Informationen zur Rollstuhgerechtigkeit.'],['Leider habe ich keine Informationen über die Barrierefreiheit des Gebäudes mit der Nummer 10.63 gefunden.'],0.7871899604797363,0.7630165815353394,0.8129451274871826,0.75,"The output conveys the same information as the expected output but adds unnecessary details (e.g., 'des Gebäudes mit der Nummer 10.63') that were not in the expected response.",0.0,False
