input,metadata,expected_output,output,FScore,Precision,Recall,LLM_Judge,LLM_Judge_reason,assertions_passed_rate,assertion.LLMJudge_pass
Gibt es Rollstuhlzugang im Gebäude 210?,"{'test_idx': 0, 'turn_idx': 0, 'type': 'single_turn'}","['Ja, das Gebäude ist rollstuhlgerecht.']","['Ja, es gibt Rollstuhlzugang im Gebäude 210. Es gibt eine Rollstuhlrampen auf der Rückseite des Gebäudes und einen Aufzug, der sich links befindet. Außerdem gibt es eine behindertengerechte Toilette im Untergeschoss in der Nähe der Rampe.']",0.7005220055580139,0.6495996713638306,0.7601071000099182,1.0,"The output conveys the same core information as the expected output by confirming the building is wheelchair accessible. It additionally provides specific details about the ramp, elevator, and accessible restroom, which are consistent with the rubric’s allowance for extra information as long as it is relevant and adds value.",1.0,True
Verfügt die Englervilla über Rollstuhlzugänglichkeit?,"{'test_idx': 1, 'turn_idx': 0, 'type': 'single_turn'}","['Nein, das Gebäude ist nicht rollstuhlgerecht.']",['Die Englervilla hat leider keine Rollstuhlgerechtigkeit.'],0.776963472366333,0.7759394645690918,0.7779902815818787,1.0,"The output conveys that the Englervilla is not wheelchair accessible, which is consistent with the expected output.",1.0,True
Hat das Institut für Photogrammetrie und Fernerkundung einen barrierefreien Zugang?,"{'test_idx': 2, 'turn_idx': 0, 'type': 'single_turn'}","['Ja, das Gebäude ist rollstuhlgerecht. Es gibt Rollstuhlrampe auf der Rückseite des Gebäudes. Aufzug befindet sich links. Behindertengerechten Toiletteim UG nähe Rampe.']","['Das Institut für Photogrammetrie und Fernerkundung (IPF) hat einen barrierefreien Zugang. Es gibt eine Rollstuhlrampen auf der Rückseite des Gebäudes und einen Aufzug, der sich links befindet. Außerdem gibt es eine behindertengerechte Toilette im Untergeschoss in der Nähe der Rampe.']",0.7637012004852295,0.7408058047294617,0.7880569100379944,1.0,"The output correctly conveys the same information as the expected output, including the rollstuhlgerechte Zugang, the Rollstuhlrampe on the back side, the Aufzug on the left, and the behindertengerechte Toilette in the UG near the Rampe.",1.0,True
Kann man die Laborhalle des Instituts für Thermische Verfahrenstechnik mit Rollstuhl erreichen?,"{'test_idx': 3, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude ist teilweise rollstuhlgerecht.'],"['Die Laborhalle des Instituts für Thermische Verfahrenstechnik ist leider nicht vollständig rollstuhlgerecht. Die Adresse ist Engelbert-Arnold-Straße 10. Es gibt jedoch andere Institute in der Nähe, die rollstuhlgerecht sind, wie das Institut für Thermische Energietechnik und Sicherheit (ITES) an der Karlsruher Allee oder das Institut für Technische Thermodynamik an der Wilhelm-Nusselt-Weg.']",0.6891427040100098,0.6051387786865234,0.8002285957336426,0.0,"The output provides specific information about the accessibility of the laboratory hall and includes the correct address, but does not directly match the expected output's meaning that the building is partially wheelchair accessible.",0.0,False
Ist das Hochschulsportgebäude barrierefrei zugänglich?,"{'test_idx': 4, 'turn_idx': 0, 'type': 'single_turn'}","['Ja, das Gebäude ist rollstuhlgerecht.']","['Das Hochschulsportgebäude ist rollstuhlgerechtig, wie ich aus den Dokumenten ersehen habe. Es gibt eine Rollstuhlrampe auf der Rückseite und einen Aufzug, der leicht zugänglich ist. Es gibt auch eine behindertengerechte Toilette im Untergeschoss in der Nähe der Rampe.']",0.7163203358650208,0.6438342332839966,0.8071988224983215,1.0,The output conveys the same essential information as the expected output (that the building is wheelchair accessible) and provides additional relevant details about accessibility features.,1.0,True
Hat die Englervilla Rollstuhlzugänge?,"{'test_idx': 5, 'turn_idx': 0, 'type': 'single_turn'}","['Nein, das Gebäude ist nicht rollstuhlgerecht.']",['Die Englervilla hat leider keine Rollstuhlgerechtigkeit.'],0.776963472366333,0.7759394645690918,0.7779902815818787,1.0,"The output conveys the same information as the expected output, indicating that the building is not wheelchair accessible.",1.0,True
Bietet das Institut für Regionalwissenschaft Barrierefreiheit?,"{'test_idx': 6, 'turn_idx': 0, 'type': 'single_turn'}","['Ja, das Gebäude ist rollstuhlgerecht.']",['Das Institut für Regionalwissenschaft (IfR) ist rollstuhlgerecht.'],0.796294093132019,0.7646029591560364,0.8307258486747742,1.0,"The output conveys the same information as the expected output, indicating that the institute is wheelchair accessible.",1.0,True
Verfügt Gebäude 50.31 über Rollstuhlzugänge?,"{'test_idx': 7, 'turn_idx': 0, 'type': 'single_turn'}","['Ja, das Gebäude ist rollstuhlgerecht. Es gibt Aufzug vorhanden.']","['Ja, Gebäude 50.31 verfügt über einen Aufzug, sodass es rollstuhlgerecht ist.']",0.8214367628097534,0.8042339086532593,0.8393917679786682,1.0,"The output conveys the same information as the expected output, mentioning the elevator and accessibility for wheelchair users.",1.0,True
Ist das Physik-Hochhaus mit Rollstuhl erreichbar?,"{'test_idx': 8, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude ist teilweise rollstuhlgerecht.'],['Das Physik-Hochhaus ist nur eingeschränkt für Rollstuhlfahrer zugänglich.'],0.7241103053092957,0.6935437321662903,0.7574954628944397,1.0,"The output conveys the same information as the expected output, indicating partial wheelchair accessibility of the building.",1.0,True
Kann man das Elektrotechnische Institut mit Rollstuhl betreten?,"{'test_idx': 9, 'turn_idx': 0, 'type': 'single_turn'}","['Nein, das Gebäude ist nicht rollstuhlgerecht.']",['Das Elektrotechnische Institut (ETI) ist nicht rollstuhlgerecht.'],0.8015251755714417,0.7645767331123352,0.8422260284423828,1.0,"The output conveys the same information as the expected output, although the phrasing is slightly different.",1.0,True
