input,metadata,expected_output,output,FScore,Precision,Recall,LLM_Judge,LLM_Judge_reason,assertions_passed_rate,assertion.LLMJudge_pass
Zu welchen Zeiten hat die Ambulanz geöffnet?,"{'test_idx': 0, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude hat an 24/7 geöffnet.'],['Die Ambulanz ist 24/7 geöffnet.'],0.8532219529151917,0.8402469158172607,0.8666039705276489,1.0,"The output conveys the same information as the expected output, stating that the emergency room is open 24/7.",1.0,True
"Wann ist das Institut für Bio- und Lebensmitteltechnik, Bereich IV: Molekulare Aufarbeitung von Bioprodukten zugänglich?","{'test_idx': 1, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat an Mo-Fr 07:00-18:00; Sa,Su,PH off geöffnet.']","['Das Institut für Bio- und Lebensmitteltechnik, Bereich IV: Molekulare Aufarbeitung von Bioprodukten ist von Montag bis Freitag von 07:00 bis 18:00 Uhr geöffnet. Es ist am Samstag, Sonntag und an Feiertagen geschlossen.']",0.7084708213806152,0.6794824004173279,0.7400428056716919,1.0,"The output conveys the same information as the expected output, specifying the opening hours from Monday to Friday and closure on weekends and holidays.",1.0,True
Welche Öffnungszeiten gelten für Gebäude 123?,"{'test_idx': 2, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude hat an Mo-Fr 07:00-18:00 geöffnet.'],['Das Gebäude 123 ist von Montag bis Freitag von 07:00 bis 18:00 Uhr geöffnet.'],0.8448669910430908,0.8330846428871155,0.8569874167442322,1.0,Die Öffnungszeiten wurden korrekt und in ähnlicher Bedeutung wiedergegeben.,1.0,True
Wann kann man den ZEISS Makerspace @ KIT besuchen?,"{'test_idx': 3, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat an Mo,Fr 14:30-18:30 geöffnet.']",['Der ZEISS Makerspace @ KIT ist von Montag bis Freitag von 14:30 bis 18:30 Uhr geöffnet.'],0.7665421366691589,0.731019139289856,0.8056938648223877,1.0,The output correctly conveys the same information as the expected output regarding the opening hours of the ZEISS Makerspace @ KIT.,1.0,True
Zu welchen Uhrzeiten ist das InformatiKOM 1 geöffnet?,"{'test_idx': 4, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude hat an Mo-Fr 09:00-19:00; Mo-Su 07:00-22:00 with KIT-Card geöffnet.'],"['Das InformatiKOM 1 ist von Montag bis Freitag von 09:00 bis 19:00 Uhr geöffnet. Außerdem ist es auch an Sonn- und Feiertagen von 07:00 bis 22:00 Uhr geöffnet, wenn man eine KIT-Card besitzt.']",0.7798503041267395,0.7500542402267456,0.8121116757392883,1.0,The output correctly conveys the same information as the expected output but in a different phrasing.,1.0,True
Wie sind die Öffnungszeiten des Forschungszentrums Umwelt?,"{'test_idx': 5, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat an Mo-Fr 07:00-18:00; Sa,Su,PH off geöffnet.']","['Ich habe nach den Öffnungszeiten des Forschungszentrums Umwelt gesucht. Leider konnte ich keine genauen Informationen finden. Allerdings fand ich Hinweise auf das Institut für Angewandte Geowissenschaften, das von Montag bis Freitag von 07:00 bis 18:00 Uhr geöffnet ist. Das Fortbildungszentrum für Technik und Umwelt (FTU) hat keine Öffnungszeiten im Dokument, aber das Institut für Bio- und Lebensmitteltechnik hat ebenfalls Montag bis Freitag von 07:00 bis 18:00 Uhr geöffnet.']",0.6672731637954712,0.6384093165397644,0.6988706588745117,0.0,The output provides additional information about other institutes and does not directly convey the same opening hours as the expected output.,0.0,False
Wann hat die Physik-Fachbibliothek auf?,"{'test_idx': 6, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude hat an Mo-Fr 09:00-19:00; Sa 09:00-12:30 geöffnet.'],['Die Physik-Fachbibliothek ist Montag bis Freitag von 09:00 bis 19:00 Uhr und samstags von 09:00 bis 12:30 Uhr geöffnet.'],0.8107953667640686,0.7935760021209717,0.8287785649299622,0.0,The output conveys the same opening hours as the expected output but refers specifically to the Physics Library instead of the building in general.,0.0,False
Wie sind die Zugangszeiten zum Informatikbau?,"{'test_idx': 7, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat an Mo-Fr 07:00-22:30; Sa 07:00-15:00; Su,PH off geöffnet.']","['Die Zugangszeiten zum Informatikbau sind Montag bis Freitag von 07:00 bis 22:30 Uhr, Samstag von 07:00 bis 15:00 Uhr. Der Bau ist am Sonntag und an Feiertagen geschlossen. Die Adresse ist Am Fasanengarten 5.']",0.7334161400794983,0.7128216028213501,0.7552361488342285,1.0,"The output conveys the same information as the expected output regarding the opening hours of the Informatikbau, including the times for weekdays, Saturday, and closures on Sundays and public holidays. The inclusion of the address is acceptable and does not affect the correctness of the main information.",1.0,True
Wann ist das Forschungszentrum Umwelt geöffnet?,"{'test_idx': 8, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat an Mo-Fr 07:00-18:00; Sa,Su,PH off geöffnet.']",['Das Forschungszentrum Umwelt ist wahrscheinlich das Institut für Angewandte Geowissenschaften. Nach den verfügbaren Informationen ist es von Montag bis Freitag von 07:00 bis 18:00 Uhr geöffnet.'],0.7253186106681824,0.7145326137542725,0.7364352941513062,1.0,The output conveys the same information as the expected output about the opening hours but adds extra details about the possible identity of the location. This is acceptable if the additional information is accurate and does not contradict the expected output.,1.0,True
Welche Öffnungszeiten hat die Fachschaft Geistes- und Sozialwissenschaften?,"{'test_idx': 9, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude hat an Mo-Th 13:00-14:00 geöffnet.'],['Die Fachschaft Geistes- und Sozialwissenschaften hat die Öffnungszeiten von Montag bis Donnerstag von 13:00 bis 14:00 Uhr.'],0.7596873641014099,0.730965793132782,0.7907584309577942,1.0,"Die Öffnungszeiten sind Montag bis Donnerstag von 13:00 bis 14:00 Uhr, was mit dem Erwarteten übereinstimmt.",1.0,True
Zu welchen Zeiten ist die Mensa am Adenauerring geöffnet?,"{'test_idx': 10, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat an Mo-Fr 11:00-14:00, 14:00-14:30 open ""Spätausgabe an Linie 1""; Sa,Su,PH off geöffnet.']","['Die Mensa am Adenauerring ist von Montag bis Freitag von 11:00 bis 14:00 Uhr geöffnet. Zusätzlich gibt es eine Spätausgabe von 14:00 bis 14:30 Uhr, bei der man an die Linie 1 weitergeleitet wird. Am Samstag, Sonntag und an Feiertagen ist die Mensa geschlossen.']",0.7333744168281555,0.7191053628921509,0.7482210993766785,1.0,"The output conveys the same information as the expected output with different phrasing, including the operating times and closure on weekends and holidays.",1.0,True
Wann ist Gebäude 01.13 zugänglich?,"{'test_idx': 11, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat an Mo-Fr 11:00-14:00, 14:00-14:30 open ""Spätausgabe an Linie 1""; Sa,Su,PH off geöffnet.']","['Das Gebäude 01.13 ist von Montag bis Freitag von 11:00 bis 14:00 Uhr geöffnet. Zusätzlich ist es von 14:00 bis 14:30 Uhr geöffnet, um die Linie 1 anzubinden. Am Samstag, Sonntag und an Feiertagen ist es geschlossen.']",0.7402750253677368,0.7337610721588135,0.7469056248664856,1.0,"The output conveys the same information about the opening hours and the special opening for ""Spätausgabe an Linie 1"" as the expected output, though it is phrased differently.",1.0,True
