input,metadata,expected_output,output,FScore,Precision,Recall,LLM_Judge,LLM_Judge_reason,assertions_passed_rate,assertion.LLMJudge_pass
Ab wann ist der ZEISS Makerspace @ KIT wieder zugänglich?,"{'test_idx': 0, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude öffnet in 0 Tagen, 9 Stunden und 11 Minuten.']",['Der ZEISS Makerspace @ KIT ist montags und freitags von 14:30 bis 18:30 Uhr zugänglich.'],0.6489596962928772,0.627572238445282,0.6718564033508301,0.0,"The output does not address the question about when the ZEISS Makerspace @ KIT becomes accessible again, but instead provides general opening hours.",0.0,False
Wann macht der Physik-Hörsaal Nr. 4 wieder auf?,"{'test_idx': 1, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude öffnet in 0 Tagen, 1 Stunden und 52 Minuten.']",['Der Physik-Hörsaal Nr. 4 ist von Montag bis Freitag von 09:00 bis 19:00 Uhr geöffnet. Am Samstag ist er von 09:00 bis 12:30 Uhr geöffnet.'],0.6322807669639587,0.6136947870254517,0.6520276069641113,0.0,The actual output provides incorrect information about the opening times of the lecture hall instead of answering the question about when the building will open again.,0.0,False
Zu welchem Zeitpunkt öffnet die Parkgarage Kaiserstraße wieder?,"{'test_idx': 2, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude öffnet in 0 Tagen, 2 Stunden und 58 Minuten.']","['Die Parkgarage Kaiserstraße ist täglich rund um die Uhr geöffnet, außer von 2 bis 6 Uhr morgens, in denen nur die Ausfahrt möglich ist.']",0.6526873111724854,0.6388798952102661,0.6671047210693359,0.0,"The output does not match the expected output in meaning. The expected output states that the garage opens soon, while the actual output provides unrelated opening hours information.",0.0,False
Ab welcher Uhrzeit kann man den Botanischen Garten des KIT besuchen?,"{'test_idx': 3, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude ist grade geöffnet.'],"['Der Botanische Garten des KIT ist von April bis September Montags bis Freitags von 08:00 bis 16:00 Uhr geöffnet, an Sonntagen und an Feiertagen von 10:00 bis 16:00 Uhr. Von Oktober bis März ist er Montags bis Freitags von 08:00 bis 15:00 Uhr geöffnet, an Sonntagen und an Feiertagen von 10:00 bis 14:00 Uhr.']",0.6182350516319275,0.516732931137085,0.7693610191345215,0.0,The output provides the correct and detailed opening hours for the Botanical Garden of KIT but does not confirm if it is currently open as expected.,0.0,False
Wann ist das Gebäude 50.34 wieder betretbar?,"{'test_idx': 4, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude ist grade geöffnet.'],['Das Gebäude 50.34 ist von Montag bis Freitag von 07:00 bis 22:30 Uhr und am Samstag von 07:00 bis 15:00 Uhr geöffnet. Es ist am Sonntag und an Feiertagen geschlossen.'],0.6984625458717346,0.596960186958313,0.8415537476539612,0.0,"The output provides specific opening hours for the building, while the expected output only states it is currently open. The output conveys relevant information but does not directly match the expected output in meaning.",0.0,False
Ab wann hat das Gebäude 10.11 wieder geöffnet?,"{'test_idx': 5, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude öffnet in 0 Tagen, 6 Stunden und 59 Minuten.']",['Das Gebäude 10.11 ist von Montag bis Freitag von 06:45 bis 18:20 geöffnet.'],0.6859439015388489,0.6776652932167053,0.6944271922111511,0.0,The output provides general opening hours but does not confirm if the building is currently open or when it will reopen.,0.0,False
Wann sind die Türen des Informatikbaus wieder offen?,"{'test_idx': 6, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude ist grade geöffnet.'],"['Die Türen des Informatikbaus sind derzeit geöffnet, da es Montag bis Freitag von 07:00 bis 22:30 Uhr und Samstag von 07:00 bis 15:00 Uhr geöffnet ist. Sie sind also jetzt offen.']",0.7027890086174011,0.6210044622421265,0.809382438659668,1.0,"The output conveys the same information as the expected output, stating that the building is currently open.",1.0,True
Ab welchem Zeitpunkt ist der Fairteiler am KIT wieder zugänglich?,"{'test_idx': 7, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude ist grade geöffnet.'],['Der Fairteiler am KIT ist 24/7 zugänglich.'],0.763125479221344,0.7293320298194885,0.8002026081085205,0.0,"The output states that the Fairteiler is accessible 24/7, while the expected output states the building is currently open. These do not convey the same information.",0.0,False
Wann beginnt der Betrieb der Mensa wieder?,"{'test_idx': 8, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude ist grade geöffnet.'],"['Die Mensa öffnet wieder um 11:00 Uhr, Montag bis Freitag. Am Samstag, Sonntag und an Feiertagen ist sie geschlossen.']",0.6922746896743774,0.6187153458595276,0.785685122013092,0.5,"The output provides accurate information about the Mensa's operating hours, which is consistent with the expected output's message about the building being open. However, the expected output is more concise and does not include specific details about opening times.",0.0,False
Ab wann kann man wieder in den Informatikbau?,"{'test_idx': 9, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude ist grade geöffnet.'],"['Der Informatikbau ist von Montag bis Freitag von 07:00 bis 22:30 Uhr geöffnet. Am Samstag ist er von 07:00 bis 15:00 Uhr geöffnet, an Sonn- und Feiertagen ist er geschlossen.']",0.687678873538971,0.5999635457992554,0.8054342865943909,0.0,The output provides detailed opening hours instead of the expected short confirmation that the building is currently open. It does not match the intended meaning of the expected output.,0.0,False
Wann wird das Gebäude 234 wieder aufgeschlossen?,"{'test_idx': 10, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude ist grade geöffnet.'],"['Das Gebäude 234 ist von Montag bis Donnerstag von 07:00 bis 12:00 Uhr und von 13:00 bis 16:00 Uhr geöffnet. Am Freitag ist es von 07:00 bis 12:00 Uhr und von 13:00 bis 15:00 Uhr geöffnet. Am Samstag, Sonntag und an Feiertagen ist es geschlossen.']",0.6575495004653931,0.5532398819923401,0.810332179069519,0.0,The output provides opening hours for the building but does not directly answer whether it is currently open.,0.0,False
Ab wann empfängt das Internet Café Aso wieder Besucher?,"{'test_idx': 11, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude öffnet in 0 Tagen, 4 Stunden und 40 Minuten.']",['Das Internet Café Aso ist von Montag bis Freitag von 09:00 bis 22:00 Uhr geöffnet. Am Samstag ist es von 10:00 bis 22:00 Uhr geöffnet.'],0.6445150971412659,0.6243541836738586,0.666021466255188,0.0,"The output provides information about opening hours, but the expected output mentions the building reopening in a specific time frame. The information in the output does not align with the expected response.",0.0,False
