input,metadata,expected_output,output,FScore,Precision,Recall,LLM_Judge,LLM_Judge_reason,assertions_passed_rate,assertion.LLMJudge_pass
Zeige mir die Homepage des Instituts für Wasser und Gewässerentwicklung - Wasserwirtschaft und Kulturtechnik,"{'test_idx': 0, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Die Homepage des Instituts für Wasser und Gewässerentwicklung - Wasserwirtschaft und Kulturtechnik ist: [www.iwu.kit.edu](https://www.iwu.kit.edu/)'],0.5633989572525024,0.5190603733062744,0.6160197854042053,1.0,"The output provides the homepage URL, which is the same information as the expected output, although it is presented differently.",1.0,True
Nenne die URL des Alten Maschinenbaugebäudes,"{'test_idx': 1, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Die URL des Alten Maschinenbaugebäudes (Gebäude 10.91) der Fakultät für Maschinenbau an der KIT lautet:  \n[https://www.iam-wk.kit.edu](https://www.iam-wk.kit.edu)'],0.5535589456558228,0.5045822858810425,0.6130654215812683,1.0,"The output provides the URL of the Alten Maschinenbaugebäudes, which is the requested information, and conveys it clearly.",1.0,True
Navigate to the website of Applied Materials - Ceramic Materials and Technologies Institute,"{'test_idx': 2, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Die Website des Instituts für Angewandte Materialien – Keramische Werkstoffe und Technologien (IAM-KWT) ist [hier](http://www.iam.kit.edu/km/).'],0.5639598369598389,0.5123160481452942,0.6271828413009644,1.0,"The output conveys the same information by providing the website link, though the phrasing differs slightly.",1.0,True
Wie lautet der Weblink zum Kollegiengebäude am Zirkel?,"{'test_idx': 3, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Der Weblink zum Kollegiengebäude am Zirkel (20.20 / 20.21) ist nicht direkt in der Datenbank hinterlegt. Allerdings findest du weitere Informationen über Gebäude am Zirkel 2 auf den Webseiten der dort ansässigen Institutionen wie z. B. dem [SCC](https://www.scc.kit.edu) oder dem [IMI](https://www.imi.kit.edu/).'],0.578100860118866,0.5286542177200317,0.6377516984939575,0.0,"The output does not match the expected output in meaning. The expected output suggests the link was opened, while the actual output states the link is not available in the database.",0.0,False
Gib mir die Internetadresse des Instituts für Technik der Informationsverarbeitung,"{'test_idx': 4, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Die Internetadresse des Instituts für Technik der Informationsverarbeitung (ITIV) ist: [www.itiv.kit.edu](http://www.itiv.kit.edu/)'],0.5614026784896851,0.5142208337783813,0.6181175708770752,0.0,"The output provides the website address of the ITIV, which is different from the expected output. The expected output mentions opening the webpage in the browser, which was not done.",0.0,False
Zeige die Webadresse des Instituts für Sport und Sportwissenschaft,"{'test_idx': 5, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Die Webadresse des Instituts für Sport und Sportwissenschaft ist [www.sport.kit.edu](http://www.sport.kit.edu/).'],0.575059175491333,0.529979944229126,0.628520131111145,1.0,"The output provides the web address of the Institute for Sports and Sports Science, while the expected output mentions opening the website in the browser. The information is conveyed accurately.",1.0,True
Link zur WIWI Fachbibliothek gesucht,"{'test_idx': 6, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Die Wirtschaftswissenschaftliche Fakultätsbibliothek (WIWI Fachbibliothek) befindet sich unter folgendem Link:  \n[https://www.wiwi.uni-karlsruhe.de/de/bibliothek/](https://www.wiwi.uni-karlsruhe.de/de/bibliothek/)  \n\nWeitere Fragen?'],0.527485191822052,0.4678080379962921,0.6046144366264343,1.0,"The output provides the correct link to the WIWI Fachbibliothek, which is the requested information.",1.0,True
Internetpräsenz des IWG - Bereich Wasserwirtschaft und Kulturtechnik,"{'test_idx': 7, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],"['Die Internetpräsenz des Bereichs Wasserwirtschaft und Kulturtechnik (IWG) ist unter der Website des zugehörigen Instituts, des **Instituts für Wasser und Umwelt (IWU)**, zu finden. Dieser Bereich gehört zum IWU am KIT. Die Website lautet:\n\n[www.iwu.kit.edu](https://www.iwu.kit.edu/)']",0.5751345157623291,0.5326991677284241,0.6249160170555115,0.5,The output provides the correct information about the website of the IWG section but does not match the expected phrasing or action.,0.0,False
Navigiere zur Webseite des Instituts für Technische Physik,"{'test_idx': 8, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Die Webseite des **Instituts für Technische Physik** ist [www.itep.kit.edu](http://www.itep.kit.edu).'],0.5823808908462524,0.5272722244262695,0.6503534913063049,1.0,"The output conveys the relevant information by providing the website URL, which is consistent with the expected output.",1.0,True
Rufe die Homepage des Instituts für Mechanische Verfahrenstechnik und Mechanik auf,"{'test_idx': 9, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Die Homepage des Instituts für Mechanische Verfahrenstechnik und Mechanik (MVM) findest du unter: [www.mvm.kit.edu](http://www.mvm.kit.edu)'],0.5463275909423828,0.4948844909667969,0.6097064018249512,1.0,"The output provides a link to the homepage, while the expected output mentions opening the webpage in a browser. Both convey the same essential information.",1.0,True
URL der KIT-Bibliothek Nord anzeigen,"{'test_idx': 10, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Die URL der KIT-Bibliothek Nord lautet: [https://www.kit-bibliothek.de](https://www.kit-bibliothek.de)'],0.5501433610916138,0.4940513670444488,0.6206033229827881,0.0,"The output provides the URL of KIT-Bibliothek Nord, which is additional information not present in the expected output. However, it does not fulfill the expectation of opening a webpage in the user's browser.",0.0,False
Zeige den Webauftritt des ITES,"{'test_idx': 11, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Die Webseite des Instituts für Thermische Energietechnik und Sicherheit (ITES) ist: [www.iket.kit.edu](http://www.iket.kit.edu)'],0.5694311857223511,0.5216653943061829,0.6268258094787598,1.0,"The output provides the website of ITES, which is the same information as the expected output.",1.0,True
Homepage des Physik-Hochhauses anzeigen,"{'test_idx': 12, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],"['Die Webseite des Physik-Hochhauses (auch als Physikalisches Institut, PI, bekannt) ist: [www.phi.kit.edu](http://www.phi.kit.edu).']",0.5859988927841187,0.5375484824180603,0.6440484523773193,1.0,"The output conveys the relevant information by providing the website link, which is not explicitly stated in the expected output but is a direct and functional alternative.",1.0,True
Internetadresse des Forschungszentrums Umwelt gesucht,"{'test_idx': 13, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Die Internetadresse des Forschungszentrums Umwelt (vermutlich beziehungsweise des zugehörigen DFIU) ist: [http://www.dfiu.kit.edu](http://www.dfiu.kit.edu).'],0.5684633255004883,0.5144466757774353,0.6351542472839355,1.0,"The output conveys the correct information with a different phrasing and provides the relevant internet address, which aligns with the rubric's requirements.",1.0,True
Besuche die Website des Instituts für Berufspädagogik und Allgemeine Pädagogik,"{'test_idx': 14, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],"['Die Website des Instituts für Berufspädagogik und Allgemeine Pädagogik (IBAP) ist [www.ibap.kit.edu](http://www.ibap.kit.edu). Das Institut befindet sich an der Adresse Hertzstraße 16, 76187 Karlsruhe, im Stadtviertel Nordweststadt.']",0.565263569355011,0.5246185660362244,0.6127355098724365,0.0,"The output provides the website URL and address of the Institute, which goes beyond the expected output of just confirming that the website was opened.",0.0,False
"Rufe die Seite des Engler-Bunte-Instituts, Bereich Wasserchemie auf","{'test_idx': 15, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],"['Die Webseite des Engler-Bunte-Instituts, Bereich Wasserchemie, ist [https://wasserchemie.ebi.kit.edu](https://wasserchemie.ebi.kit.edu).']",0.5666516423225403,0.5010284185409546,0.652056097984314,1.0,"The output conveys the same information as the expected output by providing the website address of the Engler-Bunte-Institut, Bereich Wasserchemie.",1.0,True
Homepage des Facility Management anzeigen,"{'test_idx': 16, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Die Homepage des Facility Management (FM) an der KIT ist [hier](http://www.fm.kit.edu/).'],0.5879063010215759,0.546751856803894,0.6357605457305908,1.0,"The output provides the correct information by mentioning the homepage and including the link, but it does not match the expected phrasing",1.0,True
Webadresse des Studierendenservice gesucht,"{'test_idx': 17, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Die Webadresse des Studierendenservice ist [www.sle.kit.edu](http://www.sle.kit.edu).'],0.581963062286377,0.5329979658126831,0.6408349275588989,1.0,"The output provides the correct web address of the Studierendenservice, which is the required information.",1.0,True
Internetpräsenz des Alten Maschinenbaugebäudes,"{'test_idx': 18, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],"['Die Internetpräsenz des Alten Maschinenbaugebäudes, das mit der Fakultät für Maschinenbau verbunden ist, finden Sie auf der Website der Fakultät:  \n[www.mach.kit.edu](http://www.mach.kit.edu/index.php).  \n\nWeitere verwandte Institute wie das IAM-WK oder das IPEK haben ebenfalls eigene Webseiten, die Ihnen möglicherweise zusätzliche Informationen liefern.']",0.5948846340179443,0.5467662811279297,0.652289628982544,1.0,"The output provides the correct website address and additional context, which is consistent with the expected output in meaning, even though the phrasing differs.",1.0,True
