input,metadata,expected_output,output,FScore,Precision,Recall,LLM_Judge,LLM_Judge_reason,assertions_passed_rate,assertion.LLMJudge_pass
Zu welchen Zeiten hat die Ambulanz geöffnet?,"{'test_idx': 0, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude hat an 24/7 geöffnet.'],['Ich konnte keine Informationen zu den Öffnungszeiten der Ambulanz finden.'],0.6737138628959656,0.6689305901527405,0.6785659790039062,0.0,The output does not convey the same information as the expected output; it states that information could not be found instead of providing the opening hours.,0.0,False
"Wann ist das Institut für Bio- und Lebensmitteltechnik, Bereich IV: Molekulare Aufarbeitung von Bioprodukten zugänglich?","{'test_idx': 1, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat an Mo-Fr 07:00-18:00; Sa,Su,PH off geöffnet.']","['Das Institut für Bio- und Lebensmitteltechnik, Bereich IV: Molekulare Aufarbeitung von Bioprodukten ist von Montag bis Freitag von 07:00 bis 18:00 Uhr geöffnet.']",0.704095721244812,0.6773913502693176,0.7329919934272766,1.0,"The output conveys the same information as the expected output, specifying the opening hours from Monday to Friday between 07:00 and 18:00.",1.0,True
Welche Öffnungszeiten gelten für Gebäude 123?,"{'test_idx': 2, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude hat an Mo-Fr 07:00-18:00 geöffnet.'],['Das Gebäude 123 ist von Montag bis Freitag von 07:00 bis 18:00 Uhr geöffnet.'],0.8448669910430908,0.8330846428871155,0.8569874167442322,1.0,"Die Antwort enthält dieselbe Information wie die erwartete Antwort, nur etwas detaillierter formuliert.",1.0,True
Wann kann man den ZEISS Makerspace @ KIT besuchen?,"{'test_idx': 3, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat an Mo,Fr 14:30-18:30 geöffnet.']",['Die Öffnungszeiten des ZEISS Makerspaces @ KIT sind Montag und Freitag von 14:30 bis 18:30 Uhr.'],0.7388502955436707,0.7050877213478088,0.7760088443756104,1.0,The output correctly conveys the same information as the expected output about the opening hours on Monday and Friday from 14:30 to 18:30.,1.0,True
Zu welchen Uhrzeiten ist das InformatiKOM 1 geöffnet?,"{'test_idx': 4, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude hat an Mo-Fr 09:00-19:00; Mo-Su 07:00-22:00 with KIT-Card geöffnet.'],"['Das InformatiKOM 1 ist von Montag bis Freitag von 09:00 bis 19:00 Uhr geöffnet. Außerdem ist es auch an Sonntagen von 07:00 bis 22:00 Uhr geöffnet, wenn man eine KIT-Card besitzt.']",0.7875187993049622,0.7635834813117981,0.8130030632019043,1.0,"The output conveys the same information as the expected output, specifying the opening hours for weekdays and Sundays, including the KIT-Card requirement for Sunday access.",1.0,True
Wie sind die Öffnungszeiten des Forschungszentrums Umwelt?,"{'test_idx': 5, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat an Mo-Fr 07:00-18:00; Sa,Su,PH off geöffnet.']","['Ich habe die Öffnungszeiten des Forschungszentrums Umwelt recherchiert. Das Forschungszentrum Umwelt ist von Montag bis Freitag von 07:00 bis 18:00 Uhr geöffnet. Am Samstag, Sonntag und an Feiertagen ist es geschlossen.']",0.7173156142234802,0.695577085018158,0.740456759929657,1.0,The output conveys the same information as the expected output regarding the opening hours of the Forschungszentrum Umwelt.,1.0,True
Wann hat die Physik-Fachbibliothek auf?,"{'test_idx': 6, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude hat an Mo-Fr 09:00-19:00; Sa 09:00-12:30 geöffnet.'],['Die Physik-Fachbibliothek ist von Montag bis Freitag von 09:00 bis 19:00 Uhr geöffnet und am Samstag von 09:00 bis 12:30 Uhr.'],0.8050453066825867,0.7885808944702148,0.8222118020057678,1.0,"Die Antwort des Outputs enthält die gleichen Öffnungszeiten wie die erwartete Antwort, Montag bis Freitag 09:00-19:00 und Samstag 09:00-12:30, und gibt keine Ausreden an.",1.0,True
Wie sind die Zugangszeiten zum Informatikbau?,"{'test_idx': 7, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat an Mo-Fr 07:00-22:30; Sa 07:00-15:00; Su,PH off geöffnet.']","['Ich habe mehrere Dokumente gefunden, die möglicherweise mit deiner Frage zu tun haben. Hier sind die Ergebnisse:\n\n* Das Gebäude mit der Adresse Am Fasanengarten 5 hat folgende Öffnungszeiten: Montag bis Freitag von 07:00 bis 22:30 Uhr, Samstag von 07:00 bis 15:00 Uhr und ist am Sonntag und an Feiertagen geschlossen.\n* Das Gebäude ist auch bekannt als Fachschaft Informatik, Institut für Technische Informatik (ITEC) und Institut für Prozessrechentechnik, Automation und Robotik (IPR).\n\nIch vermute, dass du nach den Öffnungszeiten des Gebäudes mit der Adresse Am Fasanengarten 5 suchst. Wenn ich mich nicht irre, ist es das Gebäude der Fachschaft Informatik. Wenn du nach den Öffnungszeiten des Informatikbaus suchst, dann sind die Öffnungszeiten Montag bis Freitag von 07:00 bis 22:30 Uhr, Samstag von 07:00 bis 15:00 Uhr und Sonntag und an Feiertagen geschlossen.']",0.6445257663726807,0.5864791870117188,0.715324878692627,1.0,"The output conveys the same information about the opening hours of the Informatikbau as the expected output, though with additional context and a slightly different phrasing.",1.0,True
Wann ist das Forschungszentrum Umwelt geöffnet?,"{'test_idx': 8, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat an Mo-Fr 07:00-18:00; Sa,Su,PH off geöffnet.']",['Das Forschungszentrum Umwelt ist von Montag bis Freitag von 07:00 bis 18:00 Uhr geöffnet.'],0.7681127786636353,0.794937014579773,0.7430397868156433,0.5,"The output conveys the same information about the opening hours (Monday to Friday, 07:00-18:00) as the expected output, though it omits the weekend and public holiday closure information.",0.0,False
Welche Öffnungszeiten hat die Fachschaft Geistes- und Sozialwissenschaften?,"{'test_idx': 9, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude hat an Mo-Th 13:00-14:00 geöffnet.'],['Die Fachschaft Geistes- und Sozialwissenschaften ist von Montag bis Donnerstag von 13:00 bis 14:00 Uhr geöffnet.'],0.7871242165565491,0.7564367651939392,0.8204067945480347,1.0,The output conveys the same information as the expected output about the opening hours from Monday to Thursday between 13:00 and 14:00.,1.0,True
Zu welchen Zeiten ist die Mensa am Adenauerring geöffnet?,"{'test_idx': 10, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat an Mo-Fr 11:00-14:00, 14:00-14:30 open ""Spätausgabe an Linie 1""; Sa,Su,PH off geöffnet.']","['Die Mensa am Adenauerring ist von Montag bis Freitag von 11:00 bis 14:00 Uhr geöffnet. Zusätzlich gibt es eine Spätausgabe an die Linie 1 von 14:00 bis 14:30 Uhr. Am Samstag, Sonntag und an Feiertagen ist die Mensa geschlossen.']",0.7450906038284302,0.7376367449760437,0.752696692943573,1.0,"The output conveys the same information as the expected output, including the opening times, special late distribution, and closure on weekends and public holidays.",1.0,True
Wann ist Gebäude 01.13 zugänglich?,"{'test_idx': 11, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat an Mo-Fr 11:00-14:00, 14:00-14:30 open ""Spätausgabe an Linie 1""; Sa,Su,PH off geöffnet.']","['Das Gebäude 01.13 ist von Montag bis Freitag von 11:00 bis 14:00 Uhr geöffnet. Es ist auch von 14:00 bis 14:30 Uhr geöffnet, um ""Spätausgabe an Linie 1"" zu ermöglichen. Am Samstag, Sonntag und an Feiertagen ist es geschlossen. Das Gebäude ist rollstuhlgerecht.']",0.7633698582649231,0.7412864565849304,0.7868094444274902,1.0,"The output conveys the same information about the building's accessibility as the expected output, including opening hours and closure on weekends and public holidays. The additional detail about the building being wheelchair accessible does not contradict the expected output.",1.0,True
