input,metadata,expected_output,output,FScore,Precision,Recall,LLM_Judge,LLM_Judge_reason,assertions_passed_rate,assertion.LLMJudge_pass
Können Sie mir die Adresse von Gebäude 40.16 mitteilen?,"{'test_idx': 0, 'turn_idx': 0, 'type': 'multi_turn'}","['Das Gebäude hat die Adresse 40.16, 11, Engler-Bunte-Ring, Innenstadt-Ost Nordöstlicher Teil, Innenstadt-Ost, Karlsruhe, Baden-Württemberg, 76131, Deutschland.']","['Die Adresse von Gebäude 40.16 lautet Engler-Bunte-Ring 11, 76131 Karlsruhe.']",0.8213410973548889,0.8640689849853516,0.7826398611068726,1.0,"The output conveys the same relevant address information (Engler-Bunte-Ring 11, 76131 Karlsruhe) as the expected output but is more concise and appropriate for the context.",1.0,True
Welchen Weg muss ich zum Gebäude nehmen?,"{'test_idx': 0, 'turn_idx': 1, 'type': 'multi_turn'}","['Mit diesem Link kannst du dich zu dem Gebäude führen lassen: https://www.google.com/maps/dir/?api=1&destination=49.01530,8.41501.']","['Mit diesem Link kannst du dich zum Gebäude führen lassen: https://www.google.com/maps/dir/?api=1&destination=49.00948,8.41162\n2.']",0.9628199934959412,0.9575377106666564,0.96816086769104,0.0,"The output provides a navigation link similar to the expected output, but with a different destination coordinate and an extra '2' at the end. It conveys the same purpose but includes irrelevant or incorrect data.",0.0,False
Hat das Gebäude einen barrierefreien Zugang?,"{'test_idx': 0, 'turn_idx': 2, 'type': 'multi_turn'}",['Zu diesem Gebäude habe ich leider keine Informationen zur Rollstuhgerechtigkeit.'],['Ich habe keine Informationen über die Barrierefreiheit des Gebäudes 40.16 in meiner Datenbank.'],0.7733147144317627,0.7528960704803467,0.7948718070983887,1.0,"The output conveys the same information as the expected output, namely that there is no information about the building's accessibility.",1.0,True
Um welche Uhrzeit wird das Gebäude aufgeschlossen?,"{'test_idx': 0, 'turn_idx': 3, 'type': 'multi_turn'}",['Für dieses Gebäude kenne ich leider keine Öffnungszeiten.'],['Ich habe keine Informationen zu den Öffnungszeiten des Gebäudes 40.16 in meiner Datenbank.'],0.7828984260559082,0.7531046867370605,0.8151465654373169,1.0,The output conveys the same information as the expected output by stating a lack of knowledge regarding the building's opening times.,1.0,True
Ist das Gebäude der Physikalischen Chemie barrierefrei?,"{'test_idx': 1, 'turn_idx': 0, 'type': 'multi_turn'}",['Zu diesem Gebäude habe ich leider keine Informationen zur Rollstuhgerechtigkeit.'],['Das Institut für Physikalische Chemie ist nicht explizit in den gefundenen Dokumenten aufgeführt.'],0.6702253222465515,0.6692882180213928,0.6711650490760803,1.0,"The output conveys the same information as the expected output, indicating a lack of specific data on the accessibility of the building for physical chemistry.",1.0,True
An welcher Adresse befindet sich das Institut?,"{'test_idx': 1, 'turn_idx': 1, 'type': 'multi_turn'}","['Das Gebäude hat die Adresse Chemie-Turm II, 2, Fritz-Haber-Weg, Innenstadt-Ost Nordöstlicher Teil, Innenstadt-Ost, Karlsruhe, Baden-Württemberg, 76131, Deutschland.']","['Das Institut für Physikalische Chemie befindet sich an der Adresse Fritz-Haber-Weg 2, 76131 Karlsruhe, Innenstadt-Ost.']",0.8005650043487549,0.8059912919998169,0.7952113747596741,1.0,"The output conveys the same address information as the expected output, including the street, house number, and location in Karlsruhe.",1.0,True
Hat das Institut eine eigene Webseite?,"{'test_idx': 1, 'turn_idx': 2, 'type': 'multi_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Ich habe keine Informationen über eine eigene Webseite des Instituts für Physikalische Chemie gefunden.'],0.7520878314971924,0.7325060367584229,0.7727452516555786,0.0,The output contradicts the expected output; the chatbot should have access to confirm the existence of the institute's website.,0.0,False
Wo finde ich die Homepage der MPA?,"{'test_idx': 2, 'turn_idx': 0, 'type': 'multi_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Ich habe die Website für dich in deinem Browser geöffnet.'],0.9813960194587708,0.9844204187393188,0.9783902168273926,1.0,The output conveys the same information as the expected output with a slight variation in wording ('Website' vs. 'Webseite'),1.0,True
Bis wann hat das noch geöffnet?,"{'test_idx': 2, 'turn_idx': 1, 'type': 'multi_turn'}",['Für dieses Gebäude kenne ich leider keine Öffnungszeiten.'],['Leider habe ich keine Informationen zu den Öffnungszeiten der Materialprüfungsanstalt (MPA) in meiner Datenbank.'],0.7509904503822327,0.7109849452972412,0.7957665324211121,1.0,The output conveys the same information as the expected output by stating a lack of knowledge about the opening hours.,1.0,True
Wie gelange ich zum Gebäude mit Nummer 10.63?,"{'test_idx': 3, 'turn_idx': 0, 'type': 'multi_turn'}","['Mit diesem Link kannst du dich zu dem Gebäude führen lassen: https://www.google.com/maps/dir/?api=1&destination=49.01048,8.41707.']","['Mit diesem Link kannst du dich zum Gebäude führen lassen: https://www.google.com/maps/dir/?api=1&destination=49.01048,8.41707']",0.9877104759216307,0.991432249546051,0.984016478061676,1.0,The output conveys the same information as the expected output using a slightly different phrasing.,1.0,True
Gibt es dort auch einen barrierefreien Zugang?,"{'test_idx': 3, 'turn_idx': 1, 'type': 'multi_turn'}",['Zu diesem Gebäude habe ich leider keine Informationen zur Rollstuhgerechtigkeit.'],['Ich habe keine Informationen über die Barrierefreiheit des Gebäudes mit der Nummer 10.63 gefunden.'],0.7790202498435974,0.7601990103721619,0.7987971305847168,1.0,"The output conveys the same information as the expected output, stating that there is no data on barrier-free access for the specific building.",1.0,True
An welcher Adresse befindet sich das Gebäude?,"{'test_idx': 3, 'turn_idx': 2, 'type': 'multi_turn'}","['Das Gebäude hat die Adresse Windkanalhalle, 1, Ernst-Gaber-Straße, Innenstadt-Ost Nordöstlicher Teil, Innenstadt-Ost, Karlsruhe, Baden-Württemberg, 76131, Deutschland.']",['Die Adresse des Gebäudes lautet Ernst-Gaber-Straße 1.'],0.7574244737625122,0.8437009453773499,0.6871561408042908,1.0,The output correctly conveys the relevant address information (street and house number).,1.0,True
Um welche Uhrzeit öffnen die Türen dort regelmäßig?,"{'test_idx': 3, 'turn_idx': 3, 'type': 'multi_turn'}",['Für dieses Gebäude kenne ich leider keine Öffnungszeiten.'],['Ich habe keine Informationen über die Öffnungszeiten des Gebäudes mit der Nummer 10.63 gefunden.'],0.7905976176261902,0.7603049278259277,0.8234044313430786,1.0,The output conveys the same information as the expected output by stating a lack of knowledge about the building's opening times.,1.0,True
Gesucht ist der Standort von Gebäude 692,"{'test_idx': 4, 'turn_idx': 0, 'type': 'multi_turn'}","['Das Gebäude hat die Adresse Campus Nord, Leopoldstraße, Kirchfeld, Neureut, Karlsruhe, Dettenheim, Baden-Württemberg, 76131, Deutschland.']","['Die Adresse von Gebäude 692 ist: Campus Nord, Leopoldstraße, 76131 Karlsruhe.']",0.7980313301086426,0.8296680450439453,0.7687187790870667,1.0,"The output conveys the same address information as the expected output in a different phrasing, including Campus Nord, Leopoldstraße, and the zip code 76131 Karlsruhe. It is consistent in meaning and does not include irrelevant details.",1.0,True
Existiert dazu eine Internetpräsenz?,"{'test_idx': 4, 'turn_idx': 1, 'type': 'multi_turn'}",['Zu diesem Gebäude kenne ich leider keine Webseite.'],['Es gibt keine Internetpräsenz für Gebäude 692.'],0.7200836539268494,0.727058470249176,0.713241457939148,1.0,The output conveys the same information as the expected output by stating that there is no website for the building in question.,1.0,True
