input,metadata,expected_output,output,FScore,Precision,Recall,LLM_Judge,LLM_Judge_reason,assertions_passed_rate,assertion.LLMJudge_pass
Können Sie mir die Adresse von Gebäude 40.16 mitteilen?,"{'test_idx': 0, 'turn_idx': 0, 'type': 'multi_turn'}","['Das Gebäude hat die Adresse 40.16, 11, Engler-Bunte-Ring, Innenstadt-Ost Nordöstlicher Teil, Innenstadt-Ost, Karlsruhe, Baden-Württemberg, 76131, Deutschland.']","['Die Adresse von Gebäude 40.16 lautet Engler-Bunte-Ring 11, 76131 Karlsruhe.']",0.8213410973548889,0.8640689849853516,0.7826398611068726,1.0,"The output contains the correct street and house number (Engler-Bunte-Ring 11) and the correct postal code and city (76131 Karlsruhe), which is the relevant information as per the rubric.",1.0,True
Welchen Weg muss ich zum Gebäude nehmen?,"{'test_idx': 0, 'turn_idx': 1, 'type': 'multi_turn'}","['Mit diesem Link kannst du dich zu dem Gebäude führen lassen: https://www.google.com/maps/dir/?api=1&destination=49.01530,8.41501.']","['Um zum Gebäude zu gelangen, empfehle ich dir, die Engelbert-Arnold-Straße entlang zu folgen. Die genauen Koordinaten sind nicht bekannt, aber ich kann dir sagen, dass das Gebäude in der Innenstadt-Ost liegt.']",0.5929430723190308,0.6297684907913208,0.5601863861083984,0.0,"The output provides alternative directions and mentions the location in Innenstadt-Ost, but it does not include the required Google Maps link or the specific coordinates from the expected output.",0.0,False
Hat das Gebäude einen barrierefreien Zugang?,"{'test_idx': 0, 'turn_idx': 2, 'type': 'multi_turn'}",['Zu diesem Gebäude habe ich leider keine Informationen zur Rollstuhgerechtigkeit.'],"['Ich habe keine Informationen darüber, ob das Gebäude einen barrierefreien Zugang hat.']",0.7674328088760376,0.7618731260299683,0.773074209690094,1.0,The output conveys the same information as the expected output but uses different phrasing.,1.0,True
Um welche Uhrzeit wird das Gebäude aufgeschlossen?,"{'test_idx': 0, 'turn_idx': 3, 'type': 'multi_turn'}",['Für dieses Gebäude kenne ich leider keine Öffnungszeiten.'],"['Ich kann keine Öffnungszeiten für das angegebene Gebäude finden. Kannst du mir bitte mehr über das Gebäude oder die Adresse erzählen, nach der du suchst?']",0.7465904355049133,0.6897230744361877,0.8136778473854065,0.5,The output conveys the same information as the expected output but adds an unnecessary request for more details.,0.0,False
Ist das Gebäude der Physikalischen Chemie barrierefrei?,"{'test_idx': 1, 'turn_idx': 0, 'type': 'multi_turn'}",['Zu diesem Gebäude habe ich leider keine Informationen zur Rollstuhgerechtigkeit.'],"['Das Gebäude der Physikalischen Chemie ist leider nicht barrierefrei, da es nur eingeschränkt zugänglich ist. Es gibt jedoch andere Gebäude auf dem Campus, die barrierefrei sind, wie z.B. das Fachschaft Maschinenbau/Chemieingenieurwesen.']",0.6453315615653992,0.6144604086875916,0.6794688105583191,0.0,"The output conveys additional information not present in the expected output, which is not allowed since the chatbot should only provide the information it has access to.",0.0,False
An welcher Adresse befindet sich das Institut?,"{'test_idx': 1, 'turn_idx': 1, 'type': 'multi_turn'}","['Das Gebäude hat die Adresse Chemie-Turm II, 2, Fritz-Haber-Weg, Innenstadt-Ost Nordöstlicher Teil, Innenstadt-Ost, Karlsruhe, Baden-Württemberg, 76131, Deutschland.']",['Das Institut für Physikalische Chemie befindet sich an der Fritz-Haber-Weg 2 in der Innenstadt-Ost.'],0.7300224900245667,0.758238673210144,0.7038310766220093,1.0,The output conveys the same address information as the expected output but uses a more concise phrasing.,1.0,True
Hat das Institut eine eigene Webseite?,"{'test_idx': 1, 'turn_idx': 2, 'type': 'multi_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Das Institut für Physikalische Chemie hat eine eigene Webseite unter http://www.ipc.kit.edu.'],0.6236961483955383,0.579403817653656,0.6753208637237549,0.0,"The output provides the information about the institute having a website, but the expected output focuses on the action of opening the website in the browser. The meaning differs slightly.",0.0,False
Wo finde ich die Homepage der MPA?,"{'test_idx': 2, 'turn_idx': 0, 'type': 'multi_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Die Homepage der MPA (Materialprüfungsanstalt) ist unter http://www.mpa.kit.edu/ zu finden.'],0.6061496138572693,0.5729740858078003,0.6434031128883362,0.0,The output provides the correct homepage address for MPA but does not match the expected output's phrasing about opening the site in the browser.,0.0,False
Bis wann hat das noch geöffnet?,"{'test_idx': 2, 'turn_idx': 1, 'type': 'multi_turn'}",['Für dieses Gebäude kenne ich leider keine Öffnungszeiten.'],['Die Materialprüfungsanstalt (MPA) hat nach meiner Kenntnis keine öffentlichen Öffnungszeiten. Die genauen Öffnungszeiten können auf ihrer Homepage abgefragt werden.'],0.7295494079589844,0.6901026368141174,0.7737791538238525,1.0,"The output conveys the same information as the expected output by stating that there are no public opening hours known for the location and suggests checking their website, which aligns with the expected response.",1.0,True
Wie gelange ich zum Gebäude mit Nummer 10.63?,"{'test_idx': 3, 'turn_idx': 0, 'type': 'multi_turn'}","['Mit diesem Link kannst du dich zu dem Gebäude führen lassen: https://www.google.com/maps/dir/?api=1&destination=49.01048,8.41707.']","['Um zum Gebäude mit der Nummer 10.63 zu gelangen, folge bitte der Ernst-Gaber-Straße 1 in das Innenstadt-Ost-Viertel. Die genauen Koordinaten sind 49.01048° Nord, 8.41707° Ost.']",0.6264911890029907,0.6392751336097717,0.6142085194587708,1.0,"The output conveys the same information as the expected output but uses a different phrasing. It mentions the address and coordinates without providing a Google Maps link, which is an acceptable variation.",1.0,True
