input,metadata,expected_output,output,FScore,Precision,Recall,LLM_Judge,LLM_Judge_reason,assertions_passed_rate,assertion.LLMJudge_pass
Zeige den Weg zur Westhochschule,"{'test_idx': 0, 'turn_idx': 0, 'type': 'single_turn'}","['Mit diesem Link kannst du dich zu dem Gebäude führen lassen: https://www.google.com/maps/dir/?api=1&destination=49.02041,8.36768.']","['Die Westhochschule ist Teil der KIT-Fakultät für Wirtschaftswissenschaften und befindet sich im Gebäude 06.45 an der Hertzstraße 16 im Stadtteil Nordweststadt. Um den genauen Weg dorthin zu planen, kannst du die Koordinaten 49.02033, 8.36771 in eine Karte oder Navigation (z. B. Google Maps) eingeben. Wenn du von deinem aktuellen Standort am KIT losgehst, sage mir gerne, wo du dich gerade befindest – dann kann ich dir eine präzisere Wegbeschreibung geben.']",0.618116557598114,0.6223962306976318,0.6138952970504761,1.0,"The output provides the address and coordinates of the Westhochschule and suggests using a map or navigation app, which conveys the same meaning as the expected output.",1.0,True
Navigation zum Gebäude Westhochschule,"{'test_idx': 1, 'turn_idx': 0, 'type': 'single_turn'}","['Mit diesem Link kannst du dich zu dem Gebäude führen lassen: https://www.google.com/maps/dir/?api=1&destination=49.02041,8.36768.']","['Das Gebäude Westhochschule gibt es nicht am KIT-Campus. Möglicherweise meinst du die Hertzstraße 16 in der Nordweststadt, wo sich mehrere Institute befinden, wie das Institut für Nachrichtentechnik oder das Geophysikalische Institut (GPI). Wenn du ein konkretes Ziel suchst, melde dich gerne mit weiteren Details.']",0.5697635412216187,0.615308403968811,0.5304964780807495,0.0,The output does not provide the required navigation link or the relevant address information as expected.,0.0,False
Wegbeschreibung zu Gebäude 239,"{'test_idx': 2, 'turn_idx': 0, 'type': 'single_turn'}","['Mit diesem Link kannst du dich zu dem Gebäude führen lassen: https://www.google.com/maps/dir/?api=1&destination=49.09322,8.43152.']","['Um zu Gebäude 239 an der **Eggensteiner Straße** in **Leopoldshafen** zu gelangen, können Sie folgende Anfahrtsbeschreibung nutzen:\n\n1. **Aus Richtung Innenstadt Karlsruhe:**\n   - Fahren Sie die **B14** in Richtung **Eggenstein**.\n   - Wechseln Sie ggf. auf die **A5** in Richtung **Frankfurt** (Auffahrt ""Eggenstein"") oder **Karlsruhe Hbf**.\n   - Verlassen Sie die Autobahn an der Ausfahrt **Eggenstein**.\n   - Folgen Sie der **B14** bis zur **Eggensteiner Straße**.\n   - Gebäude 239 befindet sich entlang dieser Straße. Nutzen Sie ggf. Navigationssysteme oder Apps für präzise Wegweiser.\n\n2. **Mit Öffentlichen Verkehrsmitteln:**\n   - Die nächstgelegenen Haltestellen sind **Karlsruhe Eggenstein** (S-Bahn oder Bus).\n   - Von dort aus folgen Sie den Schildern zur **Eggensteiner Straße**. Gebäude 239 liegt in diesem Bereich.\n\n3. **Mit dem Fahrrad:**\n   - Nutzen Sie die Radwege in Richtung **Eggenstein**.\n   - Die **Eggensteiner Straße** ist gut erschlossen und gut auffindbar.\n\nDie genauen Koordinaten des Gebäudes sind **49.09322, 8.43152**. Sie können diese in eine Karten-App wie Google Maps oder Here Maps eingeben, um eine individuelle Wegbeschreibung zu erhalten.']",0.5575119256973267,0.5113735795021057,0.6128016710281372,0.5,"The output provides detailed directions and mentions the location and coordinates, but it does not include the direct Google Maps link as specified in the expected output. The information is consistent, but the required specific format is missing.",0.0,False
Route zum Gebäude 30.79,"{'test_idx': 3, 'turn_idx': 0, 'type': 'single_turn'}","['Mit diesem Link kannst du dich zu dem Gebäude führen lassen: https://www.google.com/maps/dir/?api=1&destination=49.01330,8.41711.']","['Um zum Gebäude 30.79 zu gelangen, benötigst du die Koordinaten **49.01330, 8.41711**. Dieses Gebäude befindet sich auf dem KIT-Campus in Karlsruhe. Du kannst mit Google Maps, Here WeGo oder einer anderen Kartenanwendung die genaue Route basierend auf deinem aktuellen Standort planen.\n\nWenn du den genauen Namen oder die Adresse des Gebäudes benötigst, schau doch bitte nochmal in der KIT-Gebäudeliste nach – derzeit liegen keine weiteren Informationen vor.']",0.6277113556861877,0.6282657384872437,0.6271579265594482,0.0,"The output provides correct coordinates and suggests using mapping apps for the route, but does not provide the direct link as expected.",0.0,False
Den Weg zu Gebäude 650 anzeigen,"{'test_idx': 4, 'turn_idx': 0, 'type': 'single_turn'}","['Mit diesem Link kannst du dich zu dem Gebäude führen lassen: https://www.google.com/maps/dir/?api=1&destination=49.09833,8.43515.']","['Gebäude 650 liegt im Stadtviertel **Neureut** auf dem **Campus Nord** in der **Leopoldstraße**. Um eine Wegbeschreibung zu erhalten, benötige ich deinen aktuellen Standort. Wo befindest du dich gerade?']",0.5789924263954163,0.6053820252418518,0.5548075437545776,0.0,The output does not provide the route information as expected. It asks for the user's current location instead of directly providing the link.,0.0,False
Zeige die Route zum Dr. Franz Lust Gebäude,"{'test_idx': 5, 'turn_idx': 0, 'type': 'single_turn'}","['Mit diesem Link kannst du dich zu dem Gebäude führen lassen: https://www.google.com/maps/dir/?api=1&destination=49.00995,8.41917.']","['Um die Route zum **Dr. Franz Lust Gebäude** zu berechnen, benötige ich deinen aktuellen Aufenthaltsort. Wo befindest du dich momentan auf dem KIT Campus oder in Karlsruhe?']",0.5747430920600891,0.619397759437561,0.536094069480896,0.0,The output does not provide the route information as expected but instead asks for the user's current location.,0.0,False
Wegbeschreibung zum Gebäude 40.13,"{'test_idx': 6, 'turn_idx': 0, 'type': 'single_turn'}","['Mit diesem Link kannst du dich zu dem Gebäude führen lassen: https://www.google.com/maps/dir/?api=1&destination=49.01471,8.41518.']","['Um zum Gebäude 40.13 zu gelangen, suchen Sie nach der Adresse **Engler-Bunte-Ring 7** im Stadtviertel **Innenstadt-Ost**. Die genauen Koordinaten sind **49.01471, 8.41518**. Sie können diese Koordinaten in eine Karte (z. B. Google Maps) eingeben, um eine detaillierte Wegbeschreibung zu erhalten.']",0.6354236602783203,0.6239455342292786,0.6473320722579956,1.0,"The output provides the correct address and coordinates for Gebäude 40.13 and suggests using a map for directions, which conveys the same information as the expected output, although in a different format.",1.0,True
Route zum Institut für Biomedizinische Technik,"{'test_idx': 7, 'turn_idx': 0, 'type': 'single_turn'}","['Mit diesem Link kannst du dich zu dem Gebäude führen lassen: https://www.google.com/maps/dir/?api=1&destination=49.01226,8.41320.']","['Das Institut für Biomedizinische Technik befindet sich am Fritz-Haber-Weg in der Innenstadt-Ost von Karlsruhe. Wenn Sie die Route dorthin benötigen, gibt es mehrere Optionen:\n\n- **Mit dem Fahrrad zu Fuß**: Die CampusGuide-Funktion für Navigation ist aktuell nicht verfügbar. Sie können jedoch eine Karte auf [KIT-Karte](https://kit.kitserver.de/) oder [OpenStreetMap](https://www.openstreetmap.org/) nutzen.\n- **Mit öffentlichen Verkehrsmitteln**: Nutzen Sie die App ""MVG"" oder den [KIT-Fahrplanauskunft](https://fahrplan.mvg.de/), um die beste Verbindung zu planen.\n- **Mit dem Auto**: Verwenden Sie eine Navigationssystem oder Google Maps mit den Koordinaten **49.01226, 8.41320**.\n\nMöchten Sie eine spezifische Anreiseart (z. B. zu Fuß, mit dem Fahrrad, öffentlicher Nahverkehr) bevorzugen?']",0.6120734214782715,0.5554842948913574,0.6815001964569092,0.5,"The output provides general directions and options for reaching the Institute for Biomedical Engineering, but it does not include the expected direct link to Google Maps with the specific coordinates. The expected output is more concise and directly conveys the route information through a provided link.",0.0,False
Navigation zum Institut für Theoretische Festkörperphysik,"{'test_idx': 8, 'turn_idx': 0, 'type': 'single_turn'}","['Mit diesem Link kannst du dich zu dem Gebäude führen lassen: https://www.google.com/maps/dir/?api=1&destination=49.01293,8.41110.']","['Das **Institut für Theoretische Festkörperphysik** befindet sich an der **Wolfgang-Gaede-Straße 1** im Stadtviertel **Innenstadt-Ost** in Karlsruhe. \n\nWenn du eine Navigation benötigst, kannst du die Koordinaten **49.01293, 8.41110** in eine Karte oder eine Navigations-App eingeben, um die beste Route zu finden. Möchtest du weitere Informationen, wie z. B. die Öffnungszeiten oder den Website-Link?']",0.6186379790306091,0.5982977151870728,0.6404099464416504,1.0,"The output provides the address and coordinates for the Institute for Theoretical Solid-State Physics and suggests using them for navigation, which conveys the same information as the expected output. It also offers additional context and helpful options.",1.0,True
Route zum Institut für Biomedizinische Technik zeigen,"{'test_idx': 9, 'turn_idx': 0, 'type': 'single_turn'}","['Mit diesem Link kannst du dich zu dem Gebäude führen lassen: https://www.google.com/maps/dir/?api=1&destination=49.01226,8.41320.']","['Um die Route zum **Institut für Biomedizinische Technik** zu planen, benötige ich deinen aktuellen Standort. Das Institut befindet sich an der **Fritz-Haber-Weg** im Stadtteil **Innenstadt-Ost**. Sobald ich deinen Standort kenne, kann ich dir eine genaue Wegbeschreibung geben.']",0.5834506154060364,0.6054239273071289,0.5630165934562683,0.0,"The output does not provide the route or the link as required by the expected output; instead, it asks for the user's current location and does not convey the mandatory information.",0.0,False
Den Weg zu Gebäude 10.62 anzeigen,"{'test_idx': 10, 'turn_idx': 0, 'type': 'single_turn'}","['Mit diesem Link kannst du dich zu dem Gebäude führen lassen: https://www.google.com/maps/dir/?api=1&destination=49.01055,8.41748.']","['Gebäude 10.62 befindet sich an der **Ernst-Gaber-Straße 1a** im Stadtteil **Innenstadt-Ost** von Karlsruhe. Wenn Sie eine detaillierte Wegbeschreibung benötigen, sagen Sie mir gerne, wo Sie sich befinden oder von welchem Standort aus Sie den Weg benötigen.']",0.5628724694252014,0.583150327205658,0.5439573526382446,0.0,The output does not include the required information about the link for the route but instead provides an address and asks for the starting location.,0.0,False
