input,metadata,expected_output,output,FScore,Precision,Recall,LLM_Judge,LLM_Judge_reason,assertions_passed_rate,assertion.LLMJudge_pass
Ab wann ist der ZEISS Makerspace @ KIT wieder zugänglich?,"{'test_idx': 0, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude öffnet in 0 Tagen, 9 Stunden und 11 Minuten.']",['Die Öffnungszeiten des ZEISS Makerspaces @ KIT sind Montag und Freitag von 14:30 bis 18:30 Uhr.'],0.66991126537323,0.6491172909736633,0.6920815706253052,0.0,"The output provides information about the opening hours, but not about when the ZEISS Makerspace @ KIT becomes accessible again.",0.0,False
Wann macht der Physik-Hörsaal Nr. 4 wieder auf?,"{'test_idx': 1, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude öffnet in 0 Tagen, 1 Stunden und 52 Minuten.']","['Der Physik-Hörsaal Nr. 4 ist von Montag bis Freitag von 09:00 bis 19:00 Uhr geöffnet. Da ich keine genauen Informationen über die aktuellen Öffnungszeiten habe, kann ich nicht genau sagen, wann er wieder öffnet.']",0.6419212818145752,0.6099746227264404,0.6773992776870728,0.0,"The output does not convey the same information as the expected output. The expected output provides a specific time for reopening, while the output gives general opening hours and lacks the specific time detail.",0.0,False
Zu welchem Zeitpunkt öffnet die Parkgarage Kaiserstraße wieder?,"{'test_idx': 2, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude öffnet in 0 Tagen, 2 Stunden und 58 Minuten.']",['Die Parkgarage Kaiserstraße öffnet in 2 Stunden und 58 Minuten.'],0.8751434087753296,0.8563094735145569,0.8948245048522949,1.0,The output conveys the same information as the expected output but uses a different phrasing ('Die Parkgarage' instead of 'Das Gebäude'),1.0,True
Ab welcher Uhrzeit kann man den Botanischen Garten des KIT besuchen?,"{'test_idx': 3, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude ist grade geöffnet.'],"['Der Botanische Garten des KIT ist von April bis September Montag bis Freitag von 08:00 bis 16:00 Uhr geöffnet. Am Sonntag und an Feiertagen ist er von 10:00 bis 16:00 Uhr geöffnet. Von Oktober bis März ist er Montag bis Freitag von 08:00 bis 15:00 Uhr geöffnet, am Sonntag und an Feiertagen von 10:00 bis 14:00 Uhr.']",0.6280574202537537,0.5335655808448792,0.7632198929786682,1.0,"The output provides specific opening hours, while the expected output only mentions the current status without details. The information in the output is consistent with the expected response but includes additional details not explicitly required.",1.0,True
Wann ist das Gebäude 50.34 wieder betretbar?,"{'test_idx': 4, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude ist grade geöffnet.'],"['Das Gebäude 50.34 ist von Montag bis Freitag von 07:00 bis 22:30 Uhr und am Samstag von 07:00 bis 15:00 Uhr geöffnet. Da die aktuelle Systemzeit 2025-07-16 16:57:01 ist, ist das Gebäude also noch geöffnet.']",0.7012350559234619,0.6005878448486328,0.8424065113067627,1.0,"The output conveys the same information as the expected output by confirming that the building is currently open, even though it provides additional details about the opening hours and the system time.",1.0,True
Ab wann hat das Gebäude 10.11 wieder geöffnet?,"{'test_idx': 5, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude öffnet in 0 Tagen, 6 Stunden und 59 Minuten.']",['Das Gebäude 10.11 öffnet in 4 Stunden und 20 Minuten.'],0.9032862186431884,0.8851832747459412,0.9221450686454772,0.0,The output conveys the time until the building reopens but includes the building number (10.11) which is not in the expected output. The expected output should have mentioned 0 days and 6 hours 59 minutes instead of 4 hours 20 minutes.,0.0,False
Wann sind die Türen des Informatikbaus wieder offen?,"{'test_idx': 6, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude ist grade geöffnet.'],['Die Türen des Informatikbaus sind in 4 Stunden und 30 Minuten wieder offen.'],0.7509650588035583,0.7119928598403931,0.7944507598876953,0.0,"The output does not match the expected output in meaning. The expected output suggests the building is currently open, while the output states the building will be open in 4 hours and 30 minutes.",0.0,False
Ab welchem Zeitpunkt ist der Fairteiler am KIT wieder zugänglich?,"{'test_idx': 7, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude ist grade geöffnet.'],['Der Fairteiler am KIT ist 24/7 zugänglich.'],0.763125479221344,0.7293320298194885,0.8002026081085205,0.0,"The output states the Fairteiler is accessible 24/7, which is not consistent with the expected output that says the building is currently open. The information differs.",0.0,False
Wann beginnt der Betrieb der Mensa wieder?,"{'test_idx': 8, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude ist grade geöffnet.'],['Die Mensa öffnet morgen in 17 Stunden und 20 Minuten.'],0.7138638496398926,0.6737781763076782,0.7590210437774658,0.0,"The output provides incorrect information about the reopening time of the Mensa, whereas the expected output states that the building is currently open. The information in the output does not match the expected output.",0.0,False
Ab wann kann man wieder in den Informatikbau?,"{'test_idx': 9, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude ist grade geöffnet.'],['Die Fachschaft Informatik ist ab sofort geöffnet.'],0.8046300411224365,0.7665283679962158,0.8467177152633667,1.0,The output conveys the same information as the expected output but uses a different phrasing.,1.0,True
Wann wird das Gebäude 234 wieder aufgeschlossen?,"{'test_idx': 10, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude ist grade geöffnet.'],"['Ich habe die Datenbank abgefragt. Das Gebäude 234 ist von Montag bis Donnerstag von 07:00 bis 12:00 Uhr und von 13:00 bis 16:00 Uhr geöffnet. Am Freitag sind die Öffnungszeiten von 07:00 bis 12:00 Uhr und von 13:00 bis 15:00 Uhr. Samstag, Sonntag und an Feiertagen ist das Gebäude geschlossen.']",0.6621331572532654,0.553966760635376,0.8227893114089966,1.0,"The output provides specific opening hours for the building, which is more detailed than the expected output but still consistent with the information that the building is currently open.",1.0,True
Ab wann empfängt das Internet Café Aso wieder Besucher?,"{'test_idx': 11, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude öffnet in 0 Tagen, 4 Stunden und 40 Minuten.']",['Ich habe nach den Öffnungszeiten des Internet Cafés Aso gesucht. Laut meiner Datenbank ist das Internet Café Aso von Montag bis Freitag von 09:00 bis 22:00 Uhr geöffnet und am Samstag von 10:00 bis 22:00 Uhr.'],0.643608033657074,0.6184693574905396,0.6708769798278809,0.0,"The output provides correct information about the opening times, but it does not answer the input question about when the Internet Café Aso will receive visitors again.",0.0,False
Zu welcher Zeit öffnet die Bibliothek am Campus Nord wieder?,"{'test_idx': 12, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude öffnet in 0 Tagen, 0 Stunden und 41 Minuten.']","['Bis wann öffnet die Bibliothek am Campus Nord wieder? Ich habe Informationen gefunden, dass sie von Montag bis Freitag von 09:00 bis 12:00 Uhr und von 13:00 bis 15:00 Uhr geöffnet ist. Da die aktuelle Systemzeit 16:58:39 Uhr ist, öffnet die Bibliothek in 3 Stunden und 21 Minuten.']",0.7230159640312195,0.6433048248291016,0.8252747058868408,0.0,"The output conveys different information than the expected output. The expected output states the library opens in 41 minutes, while the output says it opens in 3 hours and 21 minutes.",0.0,False
