id,query,position,num_turn,failed
30.29,Können Sie mir die Adresse von Gebäude 30.29 sagen?,-1,1,1
30.29,Welche Route führt mich zum Gebäude?,-1,2,1
30.29,Gibt es dort auch barrierefreie Zugänge?,-1,3,1
30.29,Bis wann hat das Gebäude geöffnet?,-1,4,1
30.46,Gib mir eine Wegbeschreibung zu 30.46,-1,1,1
30.46,Ist der Zugang barrierefrei?,-1,2,1
30.46,Sind die Öffnungszeiten aktuell?,-1,3,1
419,Zeige mir den Weg zum Haus 419,1,1,0
419,Wann kann man dort rein,-1,2,1
419,Finde ich auch Informationen im Internet dazu,-1,3,1
40.16,Können Sie mir die Adresse von Gebäude 40.16 mitteilen?,-1,1,1
40.16,Welchen Weg muss ich zum Gebäude nehmen?,-1,2,1
40.16,Hat das Gebäude einen barrierefreien Zugang?,-1,3,1
40.16,Um welche Uhrzeit wird das Gebäude aufgeschlossen?,-1,4,1
430,Wo kann ich die Webseite des Gebäudes 430 finden?,1,1,0
430,Bis wann hat dieses Gebäude heute geöffnet?,-1,2,1
"Physikalische Chemie, Institut für",Ist das Gebäude der Physikalischen Chemie barrierefrei?,-1,1,1
"Physikalische Chemie, Institut für",An welcher Adresse befindet sich das Institut?,-1,2,1
"Physikalische Chemie, Institut für",Hat das Institut eine eigene Webseite?,-1,3,1
152,Können Sie mir den schnellsten Weg zum Gebäude 152 anzeigen?,1,1,0
152,An welcher Adresse befindet sich das Gebäude?,-1,2,1
152,Existiert eine Internetpräsenz dafür?,-1,3,1
152,Bis wann hat die Einrichtung heute geöffnet?,-1,4,1
Materialprüfungsanstalt (MPA),Wo finde ich die Homepage der MPA?,-1,1,1
Materialprüfungsanstalt (MPA),Bis wann hat das noch geöffnet?,-1,2,1
666,Kannst du mir die Adresse von Geb. 666 nennen?,1,1,0
666,Ist der Standort barrierefrei zugänglich für Rollstuhlfahrer?,-1,2,1
"Germanistik: Literatur, Sprache, Medien (GER), Institut für",Ist das Germanistik-Institut barrierefrei zugänglich für Rollstuhlfahrer?,-1,1,1
"Germanistik: Literatur, Sprache, Medien (GER), Institut für",Navigation zum GER-Gebäude anzeigen,-1,2,1
239,Können Sie mir den Standort vom Gebäude 239 nennen?,1,1,0
239,Sind die Öffnungszeiten aktuell noch gültig?,-1,2,1
239,Existiert eine Webpräsenz dafür?,-1,3,1
239,Was ist die beste Route zu diesem Standort?,-1,4,1
Engler-Bunte-Hörsaal,Wo finde ich das Engler-Bunte-Gebäude mit dem Hörsaal?,-1,1,1
Engler-Bunte-Hörsaal,Kannst du mir einen Link zur Homepage zeigen?,-1,2,1
433,Gib mir die Adresse von Gebäude 433,1,1,0
433,Sind die Türen aktuell aufgeschlossen?,-1,2,1
459,Hat das Studentenwohnheim aktuell auf?,-1,1,1
459,Kann ich mit einem Rollstuhl dort hinein?,-1,2,1
40.11,Ist das Gebäude 40.11 barrierefrei und mit Rollstuhl zugänglich?,-1,1,1
40.11,Was ist die Route dorthin?,-1,2,1
40.11,Kann man online Informationen zum Gebäude finden?,-1,3,1
40.11,Sind die Türen momentan geöffnet?,-1,4,1
30.33,Wo finde ich das Gebäude 30.33?,-1,1,1
30.33,Bis wann hat es heute geöffnet?,-1,2,1
Heinrich-Hertz-Hörsaal,Hat der Heinrich-Hertz-Hörsaal derzeit auf?,-1,1,1
Heinrich-Hertz-Hörsaal,Kannst du mir den Weg dorthin zeigen?,-1,2,1
Meteorologie und Klimaforschung - Atmosphärische Aerosolforschung (IMK-AAF) ,Hat das IMK-AAF derzeit offen?,-1,1,1
