input,metadata,expected_output,output,FScore,Precision,Recall,LLM_Judge,LLM_Judge_reason,assertions_passed_rate,assertion.LLMJudge_pass
Zu welchen Zeiten hat die Ambulanz geöffnet?,"{'test_idx': 0, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude hat an 24/7 geöffnet.'],"['Die Ambulanz hat laut den verfügbaren Dokumenten rund um die Uhr geöffnet, also 24 Stunden am Tag und an allen Tagen im Jahr.']",0.7074663043022156,0.6550549268722534,0.768994152545929,1.0,"Die Ambulanz hat 24 Stunden am Tag und an allen Tagen im Jahr geöffnet, was mit der erwarteten Antwort übereinstimmt.",1.0,True
"Wann ist das Institut für Bio- und Lebensmitteltechnik, Bereich IV: Molekulare Aufarbeitung von Bioprodukten zugänglich?","{'test_idx': 1, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat an Mo-Fr 07:00-18:00; Sa,Su,PH off geöffnet.']","['Das Institut für Bio- und Lebensmitteltechnik, Bereich IV: Molekulare Aufarbeitung von Bioprodukten, ist montags bis freitags von 07:00 bis 18:00 Uhr geöffnet. An Samstagen, Sonntagen und an Feiertagen (PH) ist der Bereich nicht zugänglich.']",0.7094457745552063,0.6635299921035767,0.7621887922286987,1.0,The output conveys the same information as the expected output regarding the opening hours of the institute.,1.0,True
Welche Öffnungszeiten gelten für Gebäude 123?,"{'test_idx': 2, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude hat an Mo-Fr 07:00-18:00 geöffnet.'],['Gebäude 123 ist von Montag bis Freitag von 07:00 bis 18:00 Uhr geöffnet.'],0.8320455551147461,0.8209003806114197,0.8434975147247314,1.0,"The output conveys the same opening hours as the expected output, using slightly different phrasing.",1.0,True
Wann kann man den ZEISS Makerspace @ KIT besuchen?,"{'test_idx': 3, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat an Mo,Fr 14:30-18:30 geöffnet.']",['Der ZEISS Makerspace @ KIT ist montags und freitags von 14:30 bis 18:30 Uhr geöffnet.'],0.7598295211791992,0.7236042618751526,0.7998729944229126,1.0,"The output conveys the same information as the expected output, stating the ZEISS Makerspace @ KIT is open on Mondays and Fridays from 14:30 to 18:30.",1.0,True
Zu welchen Uhrzeiten ist das InformatiKOM 1 geöffnet?,"{'test_idx': 4, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude hat an Mo-Fr 09:00-19:00; Mo-Su 07:00-22:00 with KIT-Card geöffnet.'],['Das InformatiKOM 1 ist montags bis freitags von 09:00 bis 19:00 Uhr geöffnet. Mit der KIT-Card gelten erweiterte Öffnungszeiten: montags bis sonntags von 07:00 bis 22:00 Uhr.'],0.7713131904602051,0.7390294075012207,0.8065463900566101,1.0,"The output conveys the same information as the expected output, specifying the opening hours for InformatiKOM 1 with and without a KIT-Card, though the phrasing differs slightly.",1.0,True
Wie sind die Öffnungszeiten des Forschungszentrums Umwelt?,"{'test_idx': 5, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat an Mo-Fr 07:00-18:00; Sa,Su,PH off geöffnet.']","['Die Öffnungszeiten des Forschungszentrums Umwelt (in diesem Fall bezieht sich der Begriff wahrscheinlich auf das Institut für Angewandte Geowissenschaften, das dem Forschungsbereich Umwelt zugeordnet ist) lauten: **Montag bis Freitag von 07:00 bis 18:00 Uhr**. An Samstagen, Sonntagen und gesetzlichen Feiertagen (PH) ist das Gebäude geschlossen.\n\nFalls du ein anderes konkretes Gebäude oder Institut meinst, gib bitte den genauen Namen an, damit ich dir präziser helfen kann.']",0.6639750003814697,0.6175180673599243,0.7179906964302063,1.0,"The output conveys the same information as the expected output, including the opening hours from Monday to Friday (07:00-18:00) and closure on weekends, Sundays, and public holidays.",1.0,True
Wann hat die Physik-Fachbibliothek auf?,"{'test_idx': 6, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude hat an Mo-Fr 09:00-19:00; Sa 09:00-12:30 geöffnet.'],"['Die Physik-Fachbibliothek hat normalerweise die Öffnungszeiten: Montag bis Freitag von 09:00 bis 19:00 Uhr und am Samstag von 09:00 bis 12:30 Uhr. Da aktuell (13:57 Uhr, Montag, 14.07.2025) Montag ist, ist sie derzeit geöffnet.']",0.7576009631156921,0.7144724130630493,0.8062708973884583,1.0,"The output conveys the same information about the opening hours as the expected output, although it adds extra context about the current time and day.",1.0,True
Wie sind die Zugangszeiten zum Informatikbau?,"{'test_idx': 7, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat an Mo-Fr 07:00-22:30; Sa 07:00-15:00; Su,PH off geöffnet.']","['Die Zugangszeiten zum Informatikbau (Am Fasanengarten 5, 76131 Karlsruhe) sind wie folgt:  \nMontag bis Freitag: 07:00–22:30 Uhr  \nSamstag: 07:00–15:00 Uhr  \nAn Sonn- und Feiertagen ist der Informatikbau geschlossen.']",0.6896927952766418,0.6654094457626343,0.7158156633377075,1.0,"The output conveys the same information as the expected output with different phrasing, and includes the relevant address.",1.0,True
Wann ist das Forschungszentrum Umwelt geöffnet?,"{'test_idx': 8, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat an Mo-Fr 07:00-18:00; Sa,Su,PH off geöffnet.']","['Das Forschungszentrum Umwelt, das beispielsweise mit dem Institut für Angewandte Geowissenschaften verbunden sein könnte, hat folgende Öffnungszeiten:  \n\n**Montag bis Freitag von 07:00 bis 18:00 Uhr.**  \n\nAn **Samstagen, Sonntagen und gesetzlichen Feiertagen (PH)** ist es geschlossen.  \n\nFalls du ein anderes konkretes Gebäude oder Zentrum meinst, lass es mich gerne genauer wissen!']",0.6706763505935669,0.6173110008239746,0.73414146900177,1.0,"The output conveys the same information as the expected output, with the correct days (Mo-Fr) and hours (07:00-18:00) and closure on weekends, Sundays, and public holidays (PH).",1.0,True
Welche Öffnungszeiten hat die Fachschaft Geistes- und Sozialwissenschaften?,"{'test_idx': 9, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude hat an Mo-Th 13:00-14:00 geöffnet.'],['Die Fachschaft Geistes- und Sozialwissenschaften hat die Öffnungszeiten von Montag bis Donnerstag von 13:00 bis 14:00 Uhr.'],0.7596873641014099,0.730965793132782,0.7907584309577942,1.0,"The output conveys the same opening hours as the expected output, just with more specific wording.",1.0,True
