input,metadata,expected_output,output,FScore,Precision,Recall,LLM_Judge,LLM_Judge_reason,assertions_passed_rate,assertion.LLMJudge_pass
Zeige mir die Homepage des Instituts für Wasser und Gewässerentwicklung - Wasserwirtschaft und Kulturtechnik,"{'test_idx': 0, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Das Institut für Wasser und Gewässerentwicklung - Bereich Wasserwirtschaft und Kulturtechnik befindet sich in der Engesserstraße 22. Die Homepage des Instituts ist unter https://www.iwu.kit.edu/ erreichbar.'],0.5962607264518738,0.5659905672073364,0.6299517750740051,0.0,"The output provides additional information about the address and URL, which is not required by the expected output. The expected output only needs to convey that the webpage has been opened.",0.0,False
Nenne die URL des Alten Maschinenbaugebäudes,"{'test_idx': 1, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Das Alte Maschinenbaugebäude hat die Adresse Engelbert-Arnold-Straße 4. Die URL des Instituts für Maschinenbau ist http://www.mach.kit.edu/index.php.'],0.5878192782402039,0.5545119643211365,0.6253834962844849,0.0,"The output includes additional factual information (address and URL) that is not part of the expected output, which should only state that the website was opened in the browser.",0.0,False
Navigate to the website of Applied Materials - Ceramic Materials and Technologies Institute,"{'test_idx': 2, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Das Institut für Angewandte Materialien – Keramische Werkstoffe und Technologien (IAM-KWT) hat eine Website unter http://www.iam.kit.edu/km/.'],0.5897403955459595,0.532579779624939,0.6606460809707642,1.0,The output conveys the website information for the Ceramic Materials and Technologies Institute but does not match the expected phrasing.,1.0,True
Wie lautet der Weblink zum Kollegiengebäude am Zirkel?,"{'test_idx': 3, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],"['Das Kollegiengebäude am Zirkel ist nicht direkt mit den abgefragten Dokumenten verknüpft. Allerdings denke ich, dass das Kollegiengebäude am Zirkel wahrscheinlich das Gebäude 20.20 ist, da es sich in der Nähe des Zirkels befindet. Leider habe ich keine Informationen über eine Website für das Gebäude 20.20. Wenn Sie weitere Informationen benötigen, stehe ich Ihnen gerne zur Verfügung.']",0.6604593396186829,0.6160586476325989,0.7117573022842407,0.0,"The output does not convey the same information as the expected output. The expected output indicates that the website was successfully opened, while the actual output provides an explanation and acknowledges a lack of website information.",0.0,False
Gib mir die Internetadresse des Instituts für Technik der Informationsverarbeitung,"{'test_idx': 4, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Die Internetadresse des Instituts für Technik der Informationsverarbeitung (ITIV) ist http://www.itiv.kit.edu/.'],0.587880551815033,0.5511720180511475,0.6298275589942932,1.0,"The output provides the correct URL of the ITIV, which is the required information. The expected output mentions opening the website but does not specify the URL, so the output is consistent in meaning by conveying the exact address.",1.0,True
Zeige die Webadresse des Instituts für Sport und Sportwissenschaft,"{'test_idx': 5, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Das Institut für Sport und Sportwissenschaft hat die Webseite http://www.sport.kit.edu/ und befindet sich in der Engler-Bunte-Ring 15.'],0.6089760065078735,0.5689207315444946,0.6550987362861633,1.0,"The output includes the web address and location of the institute, which conveys the same information as the expected output.",1.0,True
Link zur WIWI Fachbibliothek gesucht,"{'test_idx': 6, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Die WIWI-Fachbibliothek befindet sich in der Blücherstraße 17. Die Öffnungszeiten kannst du auf ihrer Webseite unter https://www.wiwi.kit.edu/bib.php nachlesen.'],0.5960038304328918,0.5588986873626709,0.6383861303329468,0.0,"The output provides information about the location and website of the WIWI Fachbibliothek but does not convey the meaning of the expected output, which is about opening a webpage.",0.0,False
Internetpräsenz des IWG - Bereich Wasserwirtschaft und Kulturtechnik,"{'test_idx': 7, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Das Institut für Wasser und Umwelt (IWU) hat seine Internetpräsenz unter https://www.iwu.kit.edu/. Es befindet sich in der Engesserstraße 22 im Stadtviertel Innenstadt-Ost.'],0.5929275751113892,0.5578947067260742,0.6326550841331482,0.0,The output provides additional information not mentioned in the expected output and does not match the required action of opening the website in the browser.,0.0,False
Navigiere zur Webseite des Instituts für Technische Physik,"{'test_idx': 8, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Das Institut für Technische Physik ist auf der folgenden Webseite zu finden: http://www.itep.kit.edu.'],0.6002693176269531,0.5722028017044067,0.6312310099601746,1.0,"The output provides the URL of the Institute for Technical Physics website, which conveys the same information as the expected output.",1.0,True
Rufe die Homepage des Instituts für Mechanische Verfahrenstechnik und Mechanik auf,"{'test_idx': 9, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Die Homepage des Instituts für Mechanische Verfahrenstechnik und Mechanik (MVM) ist unter http://www.mvm.kit.edu erreichbar.'],0.5775448679924011,0.5328547954559326,0.6304174661636353,0.0,"The output provides the URL of the homepage instead of stating that it has been opened, which deviates from the expected output's meaning.",0.0,False
