original_query,fixed_query,retrieved_docs,expected_id,passed
 Können Sie mir die Adresse von Gebäude 40.16 m teilen?,,"40.16,40.40,40.18,40.14,30.90",40.16,True
 Ist das Gebäude der physikalischen Chemie bei Jerefrei?,,"Bereich I – Biologie, Chemie und Verfahrenstechnik (Campus Süd),Joseph Gottlieb Kölreuter Institut für Pflanzenwissenschaften (JKIP),Experimentelle Teilchenphysik (ETP), Institut für,Physikalisches Institut (PI),Fachschaft Maschinenbau/Chemieingenieurwesen","Physikalische Chemie, Institut für",False
 Wofür finde ich die Homepage der MPR?,,"Materialprüfungsanstalt (MPA),Prozessrechentechnik, Automation und Robotik (IPR), Institut für,Institut für Operations Research (IOR), Bereich Diskrete Optimierung und Logistik,30.31,Institut für Operations Research (IOR), Bereich Kontinuierliche Optimierung",Materialprüfungsanstalt (MPA),True
 Wie gelang ich zum Gebäude mit der Nummer 10.63.,,"10.63,10.70,11.22,11.40,Chemie-Hörsaal III (30.41)",10.63,True
 Die Sucht ist der Standford von Gebäude 692.,,"692,Werkfeuerwehr,Karlsruhe House of Young Scientists (KHYS),Pressestelle (STS),Zentrale Studienberatung (ZSB)",692,True
 Was sind die Öffnungszeiten von Gebäude 417?,,"417,40.11,Chemie-Hörsaal III (30.41),Fritz-Haller-Hörsaal (20.40),Rudolf-Criegee-Hörsaal (30.41)",417,True
 Wie gelang ich zu 259?,,"259,273,351,333,30.42",259,True
 An welcher Adresse finde ich das Gebäude 70.16?,,"70.16,70.12,50.12,30.90,40.16",70.16,True
 Wo befindet sich B254?,,"254,B254,B252,05.01,459",B254,True
 Welcher Straße finde ich das Gebäude 690?,,"690,11.22,Lernzentrum am Fasanenschlösschen (Geb. 30.28),KIT-Shuttle (Haltestelle Campus Ost),Karlsruhe House of Young Scientists (KHYS)",690,True
 Kannst du mit den Weg zu Gebäude 0.1.85 zeigen.,,"Nachrichtentechnik-Hörsaal (30.10),Heinrich-Hertz-Hörsaal (10.11),40.18,40.19,40.11",01.85,False
 Können Sie mir den Standort von Gebäude 10.86 mitteilen?,,"10.86,10.91,11.22,10.22 - LAZ,Mittlerer Hörsaal Maschinenbau (10.91)",10.86,True
 Hat das International Skolas in Rail-Comp Office im Nordcampus gerade auf?,,"International Scholars & Welcome Office (Campus Nord),International Scholars & Welcome Office (Campus Süd),02.95,International Students Office (INTL),Schwerbehindertenvertretung (SBV) Campus Nord",International Scholars & Welcome Office (Campus Nord),True
 Man hat Gebäude 800-3 geöffnet.,,"30.21,Egon-Eiermann-Hörsaal (20.40),Fritz-Haller-Hörsaal (20.40),Johann-Gottfried-Tulla-Hörsaal (11.40),Chemie-Hörsaal III (30.41)",803,False
