input,metadata,expected_output,output,FScore,Precision,Recall,LLM_Judge,LLM_Judge_reason,assertions_passed_rate,assertion.LLMJudge_pass
Zeige den Weg zur Westhochschule,"{'test_idx': 0, 'turn_idx': 0, 'type': 'single_turn'}","['Mit diesem Link kannst du dich zu dem Gebäude führen lassen: https://www.google.com/maps/dir/?api=1&destination=49.02041,8.36768.']","['Um zur Westhochschule zu gelangen, folge bitte den folgenden Anweisungen:\n\nDie Westhochschule befindet sich in der Hertzstraße 16 in der Nordweststadt. Wenn du dich in der Nähe der Hertzstraße befindest, kannst du die folgenden Wegbeschreibungen befolgen:\n\n1. Wenn du dich in der Nähe der Hertzstraße 16 befindest, kannst du die Westhochschule in der Hertzstraße 16 erreichen.\n\nIch empfehle dir, die Koordinaten der Westhochschule zu überprüfen, um sicherzustellen, dass du die richtige Adresse hast.']",0.5657076835632324,0.600548505783081,0.5346877574920654,0.0,The output does not provide the required Google Maps link to navigate to the Westhochschule.,0.0,False
Navigation zum Gebäude Westhochschule,"{'test_idx': 1, 'turn_idx': 0, 'type': 'single_turn'}","['Mit diesem Link kannst du dich zu dem Gebäude führen lassen: https://www.google.com/maps/dir/?api=1&destination=49.02041,8.36768.']","['Um zur Westhochschule zu gelangen, folge bitte der Hertzstraße 16 in das Stadtviertel Nordweststadt.']",0.5603280663490295,0.6326050758361816,0.5028733015060425,0.0,The output provides a direction to the Westhochschule but does not include the required Google Maps link or precise coordinates as specified in the expected output.,0.0,False
Wegbeschreibung zu Gebäude 239,"{'test_idx': 2, 'turn_idx': 0, 'type': 'single_turn'}","['Mit diesem Link kannst du dich zu dem Gebäude führen lassen: https://www.google.com/maps/dir/?api=1&destination=49.09322,8.43152.']","['Das Gebäude 239 befindet sich in der Eggensteiner Straße im Stadtviertel Leopoldshafen. Die genauen Koordinaten sind 49.09322° Nord, 8.43152° Ost. Die Postleitzahl ist 76344.']",0.6094487905502319,0.6338436007499695,0.5868621468544006,0.0,The output provides the location and coordinates of the building but does not include a link for navigation as expected.,0.0,False
Route zum Gebäude 30.79,"{'test_idx': 3, 'turn_idx': 0, 'type': 'single_turn'}","['Mit diesem Link kannst du dich zu dem Gebäude führen lassen: https://www.google.com/maps/dir/?api=1&destination=49.01330,8.41711.']","['Das Gebäude mit der ID 30.79 liegt an der Adresse nicht bekannt, aber es befindet sich in der Nähe von Englerstraße 7. Die genauen Koordinaten sind 49.01330, 8.41711.']",0.6500435471534729,0.6750290393829346,0.62684166431427,0.0,The output provides the correct coordinates for the building but does not include the Google Maps link as specified in the expected output.,0.0,False
Den Weg zu Gebäude 650 anzeigen,"{'test_idx': 4, 'turn_idx': 0, 'type': 'single_turn'}","['Mit diesem Link kannst du dich zu dem Gebäude führen lassen: https://www.google.com/maps/dir/?api=1&destination=49.09833,8.43515.']","['Das Gebäude 650 befindet sich auf dem Campus Nord an der Leopoldstraße. Die genauen Koordinaten sind 49.09833° Nord, 8.43515° Ost.']",0.6339331269264221,0.6774888634681702,0.5956394672393799,0.0,The output provides the location and coordinates of Gebäude 650 but does not include the Google Maps link as required by the expected output.,0.0,False
Zeige die Route zum Dr. Franz Lust Gebäude,"{'test_idx': 5, 'turn_idx': 0, 'type': 'single_turn'}","['Mit diesem Link kannst du dich zu dem Gebäude führen lassen: https://www.google.com/maps/dir/?api=1&destination=49.00995,8.41917.']","['Das Dr. Franz Lust Gebäude befindet sich an der Karl-Wilhelm-Straße. Die genauen Koordinaten sind 49.00995, 8.41917.']",0.643964946269989,0.6856470108032227,0.607060432434082,0.0,The output provides the correct location and coordinates for the Dr. Franz Lust Gebäude but does not include the Google Maps link as required by the expected output.,0.0,False
Wegbeschreibung zum Gebäude 40.13,"{'test_idx': 6, 'turn_idx': 0, 'type': 'single_turn'}","['Mit diesem Link kannst du dich zu dem Gebäude führen lassen: https://www.google.com/maps/dir/?api=1&destination=49.01471,8.41518.']","['Um zum Gebäude 40.13 zu gelangen, folge bitte diesen Anweisungen:\n\nGehe von deinem aktuellen Standort aus in Richtung Engler-Bunte-Ring. Das Gebäude befindet sich an der Adresse Engler-Bunte-Ring 7 in der Innenstadt-Ost. Die genauen Koordinaten sind 49.01471° Nord, 8.41518° Ost.']",0.6156719923019409,0.6185829043388367,0.6127884387969971,0.5,"The output provides the address and coordinates of Gebäude 40.13 but does not include the required Google Maps link. The information is conveyed, but the mandatory link is missing.",0.0,False
Route zum Institut für Biomedizinische Technik,"{'test_idx': 7, 'turn_idx': 0, 'type': 'single_turn'}","['Mit diesem Link kannst du dich zu dem Gebäude führen lassen: https://www.google.com/maps/dir/?api=1&destination=49.01226,8.41320.']","['Um zum Institut für Biomedizinische Technik zu gelangen, gehe ich davon aus, dass du das Institut an der Fritz-Haber-Weg suchst. Die Adresse lautet Fritz-Haber-Weg. Die genaue Position kann ich dir über die Koordinaten 49.01226, 8.41320 angeben.']",0.6606653332710266,0.6656824350357056,0.6557233333587646,0.5,The output provides the address and coordinates but does not include the mandatory link for routing as specified in the expected output.,0.0,False
Navigation zum Institut für Theoretische Festkörperphysik,"{'test_idx': 8, 'turn_idx': 0, 'type': 'single_turn'}","['Mit diesem Link kannst du dich zu dem Gebäude führen lassen: https://www.google.com/maps/dir/?api=1&destination=49.01293,8.41110.']",['Das Institut für Theoretische Festkörperphysik befindet sich im Physik-Hochhaus an der Wolfgang-Gaede-Straße 1 in der Innenstadt-Ost.'],0.5438772439956665,0.6016089916229248,0.4962555170059204,0.0,The output provides the address of the Institute for Theoretical Solid State Physics without including the required Google Maps link.,0.0,False
Route zum Institut für Biomedizinische Technik zeigen,"{'test_idx': 9, 'turn_idx': 0, 'type': 'single_turn'}","['Mit diesem Link kannst du dich zu dem Gebäude führen lassen: https://www.google.com/maps/dir/?api=1&destination=49.01226,8.41320.']","['Die Adresse des Instituts für Biomedizinische Technik ist Fritz-Haber-Weg. Ich kann Ihnen gerne die genaue Adresse und die Koordinaten zeigen, wenn Sie das benötigen.']",0.5729889869689941,0.6116312742233276,0.538939356803894,0.0,The output does not provide a route or a link as expected; it only mentions the street name without giving any actionable directions.,0.0,False
