original_query,fixed_query,retrieved_docs,expected_id,passed
 Können Sie mir die Adresse von Gebäude 40.16 m teilen?,Können Sie mir die Adresse von Gebäude 40.16 teilen?,"40.16,Wolfgang-Gaede-Hörsaal (30.22),30.42,30.80,40.28",40.16,True
 Ist das Gebäude der physikalischen Chemie bei Jerefrei?,Ist das Gebäude der physikalischen Chemie bei Jerefrei?,"Technische Chemie (ITC), Institut für,Theoretische Teilchenphysik (TTP), Institut für,Neuer Hörsaal Chemie (30.46),Chemie-Hörsaal I (30.41),Experimentelle Teilchenphysik (ETP), Institut für","Physikalische Chemie, Institut für",False
 Wofür finde ich die Homepage der MPR?,Wofür finde ich die Homepage der MPR?,"40.43,40.41,01.86,Materialprüfungsanstalt (MPA),Institut für Operations Research (IOR), Bereich Kontinuierliche Optimierung",Materialprüfungsanstalt (MPA),True
 Wie gelang ich zum Gebäude mit der Nummer 10.63.,Wie gelang ich zum Gebäude mit der Nummer 10.63.,"10.63,Nukleare Entsorgung (INE), Institut für,10.70,Chemie-Hörsaal III (30.41),Chemie-Hörsaal II (30.41)",10.63,True
 Die Sucht ist der Standford von Gebäude 692.,Die Sucht ist der Standort von Gebäude 692.0,"692,11.22,Bereich III - Maschinenbau und Elektrotechnik (CN),Werkfeuerwehr,Stab und Strategie (STS)",692,True
 Was sind die Öffnungszeiten von Gebäude 417?,Was sind die Öffnungszeiten von Gebäude 04.17?,"417,11.22,Chemie-Hörsaal III (30.41),Forschungsförderung (FOR) CS,Versuchsanstalt für Stahl, Holz und Steine",417,True
 Wie gelang ich zu 259?,Wie gelang ich zu 2 59?,"259,30.41,30.44,30.45,30.42",259,True
 An welcher Adresse finde ich das Gebäude 70.16?,An welcher Adresse finde ich das Gebäude 70.16?,"70.16,40.16,30.90,30.41,70.12",70.16,True
 Wo befindet sich B254?,Wo befindet sich B.254?,"254,B254,B252,250,258",B254,True
 Welcher Straße finde ich das Gebäude 690?,Welcher Straße finde ich das Gebäude 6.90?,"690,30.60,11.22,30.24,Architektur-Hörsaal 9 (20.40)",690,True
 Kannst du mit den Weg zu Gebäude 0.1.85 zeigen.,Kannst du mit den Weg zu Gebäude 0.185 zeigen.,"Nachrichtentechnik-Hörsaal (30.10),Heinrich-Hertz-Hörsaal (10.11),40.18,40.19,40.11",01.85,False
 Können Sie mir den Standort von Gebäude 10.86 mitteilen?,"Können Sie mir den Standort von Gebäude 10,86 mitteilen?","10.86,Messtechnik-Hörsaal (30.33),10.91,10.23,10.31",10.86,True
 Hat das International Skolas in Rail-Comp Office im Nordcampus gerade auf?,Hat das International Skolas in Rail-Comp Office im Nordcampus gerade auf?,"Angewandte Materialien - Werkstoffkunde (IAM-WK) Gebäude 10.96, Institut für,Industriebetriebslehre und Industrielle Produktion (IIP), Institut für,Deutsch-Französisches Institut für Umweltforschung (DFIU),International Scholars & Welcome Office (Campus Süd),International Scholars & Welcome Office (Campus Nord)",International Scholars & Welcome Office (Campus Nord),True
 Man hat Gebäude 800-3 geöffnet.,Man hat Gebäude 800.3 geöffnet.,"01.52,Mitfahrbank (Campus Nord): Südtor,Chemie-Hörsaal III (30.41),Kleiner Hörsaal Bauingenieure (10.50),Johann-Gottfried-Tulla-Hörsaal (11.40)",803,False
 Wie finde ich den Weg zum IBAP?,Wie finde ich den Weg zum IBAP?,"30.82,Astroteilchenphysik (IAP), Institut für,Biologische Grenzflächen (IBG), Institut für,Angewandte Biowissenschaften (IAB), Institut für,Institut für Biologische und Chemische Systeme (IBCS)","Berufspädagogik und Allgemeine Pädagogik (IBAP), Institut für",False
 Was ist der schnellste Weg zum Gebäude 607?,Was ist der schnellste Weg zum Gebäude 60.7?,"607,9607,11.22,30.91,Wolfgang-Gaede-Hörsaal (30.22)",607,True
 Ist der Zugang zu Gebäude 7011 ein hierher frei?,Ist der Zugang zu Gebäude 7.011 ein hierher frei?,"11.22,Bereich III - Maschinenbau und Elektrotechnik (CN),Fachschaft Chemie und Biowissenschaften,Chemie-Hörsaal III (30.41),Forschungsförderung (FOR) CS",70.11,False
 Verfügt der Hauptengang des Gebäudes 633 über eine barrierefreie Zugangsmöglichkeit?,Verfügt der Hauptengang des Gebäudes 633 über eine barrierefreie Zugangsmöglichkeit?,"633,9633 B,9633 A",633,True
 Ist das Gebäude 40.02 Barriere frei zugänglich?,Ist das Gebäude 40.2 Barriere frei zugänglich?,"40.02,20.50,40.11,Fritz-Haller-Hörsaal (20.40),Franz-Grashof-Hörsaal (10.91)",40.02,True
" Können Sie mir sagen, was das Institut für Mikroverfahrenstechnik geöffnet hat?","Können Sie mir sagen, was das Institut für Mikroverfahrenstechnik geöffnet hat?","Entrepreneurship, Technologie-Management und Innovation (EnTechnon), Institut für,Soziologie, Medien- und Kulturwissenschaften (ISMK), Institut für ,Produktentwicklung (IPEK), Institut für,Mess- und Regelungstechnik MRT, Institut für,Technische Chemie und Polymerchemie, Institut für","Mikroverfahrenstechnik (IMVT) , Institut für",False
 Kannst du mir den Weg zum Institut für Sport und Sportwissenschaften zeigen?,Kannst du mir den Weg zum Institut für Sport und Sportwissenschaften zeigen?,"Fachschaft Sport,Sport und Sportwissenschaft, Institut für,Theoretische Festkörperphysik, Institut für,Theoretische Teilchenphysik (TTP), Institut für,Theorie der Kondensierten Materie, Institut für","Sport und Sportwissenschaft, Institut für",True
 Können Sie mir den Standort von Gebäude 145 m teil?,Können Sie mir den Standort von Gebäude 145m teil?,"145,11.22,Versuchsanstalt für Stahl, Holz und Steine,30.31,40.33",145,True
" Kann man 11, 40 eigentlich mit einem Rollstuhl erreichen?",Kann man 11.40 eigentlich mit einem Rollstuhl erreichen?,"Johann-Gottfried-Tulla-Hörsaal (11.40),11.40,20.40,40.40,40.15",11.40,True
 Hat Gebäude 741 momentan geöffnet.,Hat Gebäude 0741 momentan geöffnet.,"741,Chemie-Hörsaal III (30.41),Kleiner Hörsaal Bauingenieure (10.50),456,Franz-Grashof-Hörsaal (10.91)",741,True
