file_stem,transcription,type,error,processing_time
building_location_synthetic-01,An welcher Stelle befindet sich Gebäude 239?,single,,30.723063945770264
building_location_synthetic-11,Wo steht Gebäude vierzig Punkt fünfundzwanzig?,single,,30.351306915283203
building_location_synthetic-12,An welcher Adresse finde ich das internationale Students Office intl?,single,,30.67519521713257
building_location_synthetic-17,Was ist die Adresse von Gebäude 10.34?,single,,44.66267514228821
building_location_synthetic-18,"Wo befindet sich das Institut für Thermodynamische Informatik, die Arbeitsgruppe Kryptographie und Sicherheit?",single,,37.509949922561646
building_location_synthetic-20,Wo hat die Fachschaft Geistes und Sozialwissenschaften ihren Sitz?,single,,28.40535593032837
building_location_synthetic-33,Wo steht Gebäude siebzig Punkt sechsundzwanzig?,single,,29.575793027877808
building_location_synthetic-40,Wie ist die Lage von Gebäude neunhundertfünfzehn?,single,,30.244110822677612
building_location_synthetic-41,Welcher Adresse hat das Gebäude 736?,single,,30.561945915222168
building_location_synthetic-42,Wo befindet sich Gebäude 666?,single,,30.492413997650143
building_location_synthetic-57,An welcher Adresse finde ich die Gebäude neunhundert eins?,single,,29.48618197441101
building_location_synthetic-63,Können Sie die Lage von Gebäude 686 angeben?,single,,30.374464988708496
building_location_synthetic-64,Wie oder was ist die Adresse von Gebäude 668?,single,,30.38780426979065
building_location_synthetic-67,"Wo steht das Gebäude sieben, vier, eins?",single,,30.25169992446899
building_location_synthetic-69,Können Sie mir den Standort von Gebäude 726 mitteilen?,single,,30.692676067352295
building_location_synthetic-72,Das ist der Standort von Gebäude achthundert und drei.,single,,29.64062213897705
building_location_synthetic-81,Wo genau ist Gebäude 706 lokalisiert?,single,,30.5568630695343
building_location_synthetic-82,An welchem Standort steht das Gebäude 911?,single,,30.60473895072937
building_location_synthetic-83,Was ist die Adresse von Energy Labs?,single,,29.560322046279907
closed_until_synthetic-06,Wann sind die Türen des Informatikbaus wieder offen?,single,,30.19029998779297
closed_until_synthetic-30,Ab welcher Uhrzeit ist Gebäude 2054 wieder geöffnet?,single,,30.58621835708618
closed_until_synthetic-37,Land ist Gebäude zehn Punkt elf wieder zugänglich.,single,,29.449301958084103
closed_until_synthetic-41,Wann startet das IntroCafé wieder seinen Betrieb?,single,,30.316306114196777
closed_until_synthetic-45,Wann wird Gebäude 1045 wieder aufgeschlossen? .Ich meinte 145.,single,,30.389964818954468
closed_until_synthetic-47,Wann öffnet das Institut für Anthropomatik und Robotik wieder seine Pforten?,single,,30.405749082565308
closed_until_synthetic-50,Ab wann ist Gebäude 532 wieder zugänglich?,single,,30.51326608657837
closed_until_synthetic-52,"Ab welchem Zeitpunkt ist das Gebäude Technik, Thermodynamik und Kältetechnik, Mess und RegelungstechnikInstitutsgebäude wieder offen?",single,,37.82214283943176
closed_until_synthetic-53,Zu welcher Zeit öffnet Gebäude 304 wieder?,single,,30.65385699272156
closed_until_synthetic-54,Ab wann kann man das Gebäude Stab und Strategie wieder betreten?,single,,30.377779960632324
closed_until_synthetic-60,Wann macht das Gastdozentenhaus Heinrich Herz wieder auf?,single,,37.675588846206665
closed_until_synthetic-70,Ab wann ist Gebäude 546 wieder offen?,single,,30.30930995941162
closed_until_synthetic-76,Zu welcher Zeit macht die Fachschaft Kunstgeschichte auf?,single,,30.202316999435425
closed_until_synthetic-78,Wann macht das Institutsgebäude Boden und Felsmechanik auf?,single,,30.526884078979492
closed_until_synthetic-79,Ab wann ist das Gebäude 1050 wieder zugänglich?,single,,30.665645122528076
closed_until_synthetic-86,Wann ist Gebäude 688 wieder zugänglich?,single,,30.268197059631348
closed_until_synthetic-87,Nach welchem Zeitpunkt ist 10.32 geöffnet?,single,,30.416699171066284
closed_until_synthetic-90,Zu welcher Zeit öffnet das MaxRubnerInstitut?,single,,30.320165157318115
closed_until_synthetic-93,Wann macht Chemieturm I auf?,single,,30.20763874053955
navigation_link_synthetic-02,Wegbeschreibung zu Gebäude zweihundertneunddreißig.,single,,30.433799028396606
navigation_link_synthetic-04,Den Weg zu Gebäude 650 anzeigen.,single,,30.3452467918396
navigation_link_synthetic-05,Ich zeige die Route zu Dr. Franz Lust Gebäude.,single,,30.284913778305057
navigation_link_synthetic-06,Wegbeschreibung zum Gebäude 40.13.,single,,30.288175106048584
navigation_link_synthetic-08,Navigation zum Institut für Theoretische Festkörperphysik bitte.,single,,30.405520915985107
navigation_link_synthetic-14,Zeige den Weg zum Gebäude B621.,single,,30.398062705993652
navigation_link_synthetic-15,"Navigation zum Elektrotechnischen Institut, bitte.",single,,29.473854780197144
navigation_link_synthetic-20,Route zu Gebäude fünf null acht anzeigen.,single,,30.265921115875244
navigation_link_synthetic-21,Wegbeschreibung zum Informatikum I.,single,,30.75092911720276
navigation_link_synthetic-22,Den Weg zu Gebäude neunhundertacht anzeigen.,single,,30.271666288375854
navigation_link_synthetic-27,Die Route zu Gebäude Dreißigsechzig ist gesucht.,single,,30.243999004364017
navigation_link_synthetic-28,Navigation zum Telecooperation Office benötigt.,single,,29.448129892349243
navigation_link_synthetic-29,Wegbeschreibung zu Gebäude neuntausendsechshundert und sieben erwünscht.,single,,30.413964986801147
navigation_link_synthetic-30,Ich suche den Weg zum Kollegiengebäude am Zirkel.,single,,30.38596892356873
navigation_link_synthetic-36,"Zum MTIHörsaal navigieren, bitte.",single,,30.301289796829224
navigation_link_synthetic-39,Navigation zum RudolfKriegeHörsaal gewünscht.,single,,30.38885807991028
navigation_link_synthetic-42,Route zur Wirtschaftswissenschaftlichen Fakultätsbibliothek.,single,,30.46900701522827
navigation_link_synthetic-47,Weg zur Versuchshalle der technischen Tabellynamik zeigen.,single,,30.63186502456665
open_now_synthetic-04,War man aktuell in die Fachschaft Geistsoz?,single,,30.29982590675354
open_now_synthetic-21,Ist das Gebäude 50.40 momentan offen?,single,,30.254239082336422
open_now_synthetic-22,Kann man derzeit ins Gebäude dreihundert ziehen?,single,,30.34764790534973
open_now_synthetic-31,Ist die Ambulanz momentan zugänglich?,single,,31.455595016479492
open_now_synthetic-33,Ist das Gebäude dreihundertzehn derzeit offen?,single,,31.21965718269348
open_now_synthetic-36,Hat man gerade in Gebäude fünf Punkt zwanzig Reihen?,single,,30.796839952468872
open_now_synthetic-39,Ist die Versuchsanstalt des Köhlreuther Instituts derzeit geöffnet?,single,,30.708581924438477
open_now_synthetic-40,Kann man jetzt ins Gebäude fünfzig Punkt vierunddreißig?,single,,29.546960830688477
open_now_synthetic-42,Hat die KITBibliothek gerade auf?,single,,29.284025192260742
open_now_synthetic-52,Ist Gebäude 413 momentan zugänglich?,single,,29.337612867355347
open_now_synthetic-53,Kann man aktuell ins Institut für Neutronenphysik und Reaktortechnik?,single,,34.292454957962036
open_now_synthetic-54,Hat Gebäude vierhundert und sechzehn zurzeit auf?,single,,29.711679220199585
open_now_synthetic-55,"Ist das Institut für Wasser und Gewässerentwicklung, Wasserwirtschaft und Kulturtechnik momentan zugänglich?",single,,35.78397226333618
open_now_synthetic-58,Kann man gerade ins Gebäude 40.19?,single,,30.76924204826355
open_now_synthetic-63,Hat das Lernzentrum am Fasanenschlösschen derzeit geöffnet?,single,,29.719649076461792
open_now_synthetic-64,Ist 223 gerade offen?,single,,28.346688985824585
open_now_synthetic-67,Hat vierzig Punkt neunundzwanzig gerade auf?,single,,26.97999119758606
open_now_synthetic-71,Hat das Kollegiengebäude am Zirkel gerade geöffnet?,single,,29.81213068962097
open_now_synthetic-73,Kann man aktuell in Gebäude 404 rein?,single,,29.871902227401733
open_now_synthetic-88,Kann man momentan ins IESLInstitut?,single,,28.775548934936523
open_until_synthetic-04,Bis zu welcher Uhrzeit ist Gebäude Null Eins Punkt Neun Null zugänglich?,single,,29.033485889434814
open_until_synthetic-06,Zu welcher Zeit schließt das IPRGebäude?,single,,30.13108491897583
open_until_synthetic-08,Man schließt die Physikbibliothek.,single,,30.07323694229126
open_until_synthetic-11,Wann schließt das Informatikum eins?,single,,27.60189390182495
open_until_synthetic-14,Wie spät schließt der Informatikbau?,single,,28.821133136749268
open_until_synthetic-22,Bis wann ist das Institut für angewandte Geowissenschaften heute geöffnet?,single,,30.095346927642822
open_until_synthetic-24,Zu welcher Zeit schließt der Bereich vier des Instituts für Bio und Lebensmitteltechnik?,single,,30.12185287475586
open_until_synthetic-33,Wie spät macht die Physikbibliothek zu?,single,,30.006757020950317
open_until_synthetic-36,Bis wann hat das Studium Generale Forum heute geöffnet?,single,,29.9082190990448
open_until_synthetic-38,Zu welcher Uhrzeit schließt der Informatikbau?,single,,29.727113008499146
open_until_synthetic-50,"Bis wann hat Gebäude vier, null, drei heute auf?",single,,29.678030014038086
open_until_synthetic-54,Zu welcher Uhrzeit ist das Kollegiengebäude Maschinenbau zwei zugänglich?,single,,30.06877589225769
open_until_synthetic-75,Es wandert Gebäude 152 heute auf.,single,,30.070857048034668
open_until_synthetic-80,"Bis zu welchem Zeitpunkt ist die Versuchsanstalt für Stahl, Holz und Steine zugänglich?",single,,30.156766891479492
open_until_synthetic-90,"Man es die Schließzeit des College nennt, des Kollegiengebäudes am Ehrenhof.",single,,30.693980932235718
open_until_synthetic-92,Bis zu welcher Uhrzeit ist das alte Maschinenbaugebäude offen?,single,,28.905824899673462
open_until_synthetic-95,Zu welchem Zeitpunkt schließt das Zähringer Haus?,single,,28.657989740371704
open_until_synthetic-98,Wann endet die Öffnungszeit von Gebäude 30.50?,single,,29.729608058929443
open_until_synthetic-99,Bis zu welcher Zeit ist das Zoologische Institut geöffnet?,single,,29.684114933013916
open_website_synthetic-04,Gibt mir die InternetAdresse des Instituts für Technik der Informationsverarbeitung.,single,,37.3084774017334
open_website_synthetic-05,Er zeigt die WebAdresse des Instituts für Sport und Sportwissenschaften.,single,,29.88186001777649
open_website_synthetic-08,Navigier zur Website des Instituts für Technische Physik.,single,,29.668314218521118
open_website_synthetic-11,Zeig mir mal den WebAuftritt des Ites.,single,,30.071352005004883
open_website_synthetic-13,Internetadresse des Forschungszentrums Umwelt gesucht.,single,,30.13423204421997
open_website_synthetic-17,Webadresse des Studierenden Services gesucht.,single,,30.096722841262817
open_website_synthetic-27,Wie lautet die URL des Instituts für Elektroenergiesysteme und Hochspannungstechnik?,single,,29.747332096099854
open_website_synthetic-43,Navigiere zum Studium Generale Forum.,single,,30.242367029190063
open_website_synthetic-46,Wie erreiche ich das Sprachenzentrum online?,single,,29.8768892288208
open_website_synthetic-50,Zeig mir die Homepage des Gebäudes zweihundertsechzig Strich eins.,single,,29.791208267211914
open_website_synthetic-54,Gib mir den Weblink von Gebäude neuntausendsechshunderteinundfünfzig.,single,,30.196029901504517
open_website_synthetic-64,Welche Website gehört zu Gebäude 693?,single,,33.57643222808838
open_website_synthetic-68,Navigiere zur Internetseite von Gebäude achthundert und sechs.,single,,30.097599983215332
open_website_synthetic-76,Ruf die Website von Gebäude 913 auf.,single,,29.989927053451538
open_website_synthetic-79,Wie lautet die URL des Engler Bunte Instituts und MINTKollegs?,single,,29.17235493659973
open_website_synthetic-80,Navigiert zur Homepage von Gebäude 131.,single,,30.406386852264404
open_website_synthetic-93,"Zeig mir die Webpräsenz von Gebäude dreißig, neunundvierzig.",single,,30.405665159225464
open_website_synthetic-98,Ruf die Homepage von Gebäude 412 auf.,single,,30.305691957473755
