original_query,fixed_query,retrieved_docs,expected_id,passed,time_taken
 Ist das Gebäude der physikalischen Chemie bei Jerefrei?,EMPTY,"Bereich I – Biologie, Chemie und Verfahrenstechnik (Campus Süd),Joseph Gottlieb Kölreuter Institut für Pflanzenwissenschaften (JKIP),Experimentelle Teilchenphysik (ETP), Institut für,Physikalisches Institut (PI),Fachschaft Maschinenbau/Chemieingenieurwesen","Physikalische Chemie, Institut für",False,1.9359190464019775
 Kannst du mit den Weg zu Gebäude 0.1.85 zeigen.,01.85,"Nachrichtentechnik-Hörsaal (30.10),Heinrich-Hertz-Hörsaal (10.11),50.19 - InformatiKOM I,40.19,40.11",01.85,False,2.3549320697784424
 Können Sie mir den Weg zu Gebäude 309 ansech zeigen?,309  319,"309,407,10.22 - LAZ,10.23,10.91",329,False,1.9680840969085691
" Oberfindet sich das Institut für Thermodynamische Informatik, die Arbeitsgruppe, Kriptografie und Sicherheit.",EMPTY,"Technische Thermodynamik, Institut für,Angewandte Thermofluidik (IATF), Institut für,Technische Thermodynamik und Kältetechnik, Institut für,Mess- und Regelungstechnik MRT, Institut für,Thermische Strömungsmaschinen, Institut für","Theoretische Informatik, Arbeitsgruppe Kryptographie und Sicherheit (IKS), Institut für",False,1.3345298767089844
 Wann sind die Türen das Informatikbaus wieder offen?,EMPTY,"Technische Informatik (ITEC), Institut für,50.34,Anthropomatik und Robotik, Institut für,Fachschaft Informatik,Fachschaft Mathematik und Informatik",Informatikbau,False,2.280735969543457
 Wann startet das Intro-Kaffee wieder seinen Betrieb?,EMPTY,"Institut für Wirtschaftsinformatik (WIN),01.12,01.13,Kantine (Campus Nord),Professur für Politische Ökonomie, Institut für Volkswirtschaftslehre (ECON)",intro Café,False,1.885580778121948
" Ab welchen Zeitpunkt ist das Gebäude Technik, Thermodynamik und Kälte Technik, Mess- und Regelungstechnik Instituts Gebäude wieder offen?",EMPTY,"Technische Thermodynamik und Kältetechnik, Institut für,Technische Thermodynamik, Institut für,Mess- und Regelungstechnik MRT, Institut für,Angewandte Thermofluidik (IATF), Institut für,Thermische Strömungsmaschinen, Institut für","Tech.Thermodyn.u.Kältetechn./ Mess-u.Regelungstechn., Institutsgeb.",False,2.1835038661956787
 Wann macht das Gastutz hinten aus? Wir hättest du doch mal heimrich herz wieder auf.,EMPTY,"Gottlieb-Daimler-Hörsaal (10.21),01.52,Chemie-Hörsaal III (30.41),Chemie-Hörsaal II (30.41),Rudolf-Criegee-Hörsaal (30.41)",Gastdozentenhaus Heinrich Hertz,False,2.0093178749084473
 Wann macht das Institutsgebäude Boden und Felsmechanik auch?,EMPTY,"40.25,40.23,40.22,Bodenmechanik und Felsmechanik (IBF) , Institut für,Mechanische Verfahrenstechnik und Mechanik (MVM), Institut für",Institutsgebäude Boden- und Felsmechanik,False,1.6235370635986328
" Wann ist Gebäude 6,88 wieder zugänglich?",6.88,"10.91,11.22,Mittlerer Hörsaal Maschinenbau (10.91),Franz-Grashof-Hörsaal (10.91),20.52",688,False,1.8543250560760496
 Zu welcher Zeit öffnet das Max-Rubener-Institut?,EMPTY,"07.30,07.31,Bio- und Lebensmitteltechnik, Institut für,Angewandte Materialien - Werkstoff- und Grenzflächenmechanik (IAM-MMI), Institut für,Zentrale Studienberatung (ZSB)",Max Rubner-Institut,False,1.365983963012695
 Man macht Chemiturm 1 auf.,EMPTY,"30.43,Chemie-Hörsaal II (30.41),Chemie-Hörsaal III (30.41),Chemie-Hörsaal I (30.41),Neuer Hörsaal Chemie (30.46)",Chemie-Turm I,False,1.240656852722168
 Wiegt Beschreibung zu Gebäude 230.,230,"230,234,30.24,30.23,11.22",239,False,1.2808709144592283
 Zeige die Route zu Dr. Franz Lust Gebäude.,EMPTY,"50.25,B252,123,Fritz-Haller-Hörsaal (20.40),Kantine (Campus Nord)",Dr. Franz Lust,False,1.1140639781951904
 Navigation zum Elektrotechnischen Institut bitte,EMPTY,"Fachschaft Elektro- und Informationstechnik,Elektrotechnisches Institut (ETI),Elektroenergiesysteme und Hochspannungstechnik , Institut für,Kleiner Hörsaal Elektrotechnik (11.10),Engler-Bunte-Institut Bereich Verbrennungstechnik (EBI-VBT)",Elektrotechnisches Institut,False,1.0981230735778809
