original_query,fixed_query,retrieved_docs,expected_id,passed,time_taken
 Können Sie mir die Adresse von Gebäude 40.16 m teilen?,Können Sie mir die Adresse von Gebäude 40.16 teilen?,"40.16,Wolfgang-Gaede-Hörsaal (30.22),30.42,30.80,40.28",40.16,True,1.9598510265350342
 Ist das Gebäude der physikalischen Chemie bei Jerefrei?,Ist das Gebäude der physikalischen Chemie bei Jere?,"Joseph Gottlieb Kölreuter Institut für Pflanzenwissenschaften (JKIP),Technische Chemie (ITC), Institut für,Chemie-Hörsaal III (30.41),Engler-Bunte-Institut, Bereich I, Chemische Energieträger - Brennstofftechnologie (EBI-CEB),Chemie-Hörsaal I (30.41)","Physikalische Chemie, Institut für",False,1.5958149433135986
 Wofür finde ich die Homepage der MPR?,Wofür finde ich die Homepage der MPR (Mitteldeutsche Presse- und Rundfunkgesellschaft)?,"Institut für Operations Research (IOR), Bereich Kontinuierliche Optimierung,Institut für Operations Research (IOR), Bereich Diskrete Optimierung und Logistik,Fritz-Haller-Hörsaal (20.40),10.87,Materialprüfungsanstalt (MPA)",Materialprüfungsanstalt (MPA),True,1.830869197845459
 Wie gelang ich zum Gebäude mit der Nummer 10.63.,Wie gelang ich zum Gebäude mit der Nummer 10.63.,"10.63,Nukleare Entsorgung (INE), Institut für,10.70,Chemie-Hörsaal III (30.41),Chemie-Hörsaal II (30.41)",10.63,True,1.5919759273529053
 Die Sucht ist der Standford von Gebäude 692.,"Die Sucht ist nicht korrekt, aber ich vermute, dass Sie ""Suche"" meinten ist der Stanford von Gebäude 0692","692,Versuchsanstalt für Stahl, Holz und Steine,Engelbert-Arnold-Hörsaal (11.10),Stab und Strategie (STS),Chemie-Hörsaal III (30.41)",692,True,2.7311830520629883
 Was sind die Öffnungszeiten von Gebäude 417?,Was sind die Öffnungszeiten von Gebäude 0417?,"417,11.22,Chemie-Hörsaal III (30.41),Fritz-Haller-Hörsaal (20.40),Forschungsförderung (FOR) CS",417,True,1.8852348327636719
 Wie gelang ich zu 259?,Wie gelang ich zu 0259?,"259,30.41,30.42,30.45,Chemie-Hörsaal III (30.41)",259,True,1.346552848815918
 An welcher Adresse finde ich das Gebäude 70.16?,An welcher Adresse finde ich das Gebäude 70.16?,"70.16,40.16,30.90,30.41,70.12",70.16,True,1.649177074432373
 Wo befindet sich B254?,Wo befindet sich B.254?,"254,B254,B252,250,258",B254,True,1.3813848495483398
 Welcher Straße finde ich das Gebäude 690?,Welcher Straße finde ich das Gebäude 6.90?,"690,30.60,11.22,30.24,Architektur-Hörsaal 9 (20.40)",690,True,1.4652469158172607
 Kannst du mit den Weg zu Gebäude 0.1.85 zeigen.,Kannst du mit den Weg zu Gebäude 0.185 zeigen.,"Nachrichtentechnik-Hörsaal (30.10),Heinrich-Hertz-Hörsaal (10.11),40.18,40.19,40.11",01.85,False,1.7040801048278809
 Können Sie mir den Standort von Gebäude 10.86 mitteilen?,"Können Sie mir den Standort von Gebäude 10,86 mitteilen?","10.86,Messtechnik-Hörsaal (30.33),10.91,10.23,10.31",10.86,True,1.6869690418243408
 Hat das International Skolas in Rail-Comp Office im Nordcampus gerade auf?,"Hat das Internationales Studienzentrum in Rechenzentrum im Nordcampus ist kein korrekter Begriff, aber ich vermute, dass es sich um den 'Nordcampus' der Universität handelt. Wenn Sie den korrekten Namen wissen, können Sie ihn hier eintragen. gerade auf?","Industriebetriebslehre und Industrielle Produktion (IIP), Institut für,International Students Office (INTL),International Scholars & Welcome Office (Campus Nord),International Scholars & Welcome Office (Campus Süd),Schwerbehindertenvertretung (SBV) Campus Nord",International Scholars & Welcome Office (Campus Nord),True,3.5418410301208496
 Man hat Gebäude 800-3 geöffnet.,Man hat Gebäude 800.3 geöffnet.,"01.52,Mitfahrbank (Campus Nord): Südtor,Chemie-Hörsaal III (30.41),Kleiner Hörsaal Bauingenieure (10.50),Johann-Gottfried-Tulla-Hörsaal (11.40)",803,False,1.5039138793945312
 Wie finde ich den Weg zum IBAP?,Wie finde ich den Weg zum IBAN?,"08.03,30.82,Astroteilchenphysik (IAP), Institut für,Angewandte Biowissenschaften (IAB), Institut für,Biologische Grenzflächen (IBG), Institut für","Berufspädagogik und Allgemeine Pädagogik (IBAP), Institut für",False,1.3587658405303955
 Was ist der schnellste Weg zum Gebäude 607?,Was ist der schnellste Weg zum Gebäude 06.07?,"607,9607,11.22,30.91,Versuchsanstalt für Stahl, Holz und Steine",607,True,1.5060248374938965
 Ist der Zugang zu Gebäude 7011 ein hierher frei?,Ist der Zugang zu Gebäude 07.011 ein hierher frei?,"Bereich III - Maschinenbau und Elektrotechnik (CN),Fachschaft Chemie und Biowissenschaften,Forschungsförderung (FOR) CS,Chemie-Hörsaal III (30.41),Bereich IV - Natürliche und gebaute Umwelt (CS)",70.11,False,1.5675714015960693
 Verfügt der Hauptengang des Gebäudes 633 über eine barrierefreie Zugangsmöglichkeit?, Verfügt der Hauptengang des Gebäudes 633 über eine barrierefreie Zugangsmöglichkeit?,"633,9633 B,9633 A",633,True,1.9440860748291016
