query,expected_identifikator
Wo finde ich die Mensa am Adenauerring?,Mensa
"Ich muss zum Hertz-Hörsaal, wo ist der?",Heinrich-Hertz-Hörsaal
Zeig mir den Weg zur Uni-Bibliothek.,30.51
Ich suche das Studierendenwerk.,Studierendenwerk
Wo befindet sich das Audimax?,Audimax
Ich brauche Informationen zum Gaede-Hörsaal.,Wolfgang-Gaede-Hörsaal
"Kannst du mir sagen, wo das Sportinstitut ist?",Institut für Sport und Sportwissenschaft
Wo finde ich das Engler-Bunte-Institut?,40.11
Wo ist Gebäude 50 34?,50.34
Was befindet sich in Gebäude zehn fünfzig?,10.50
Ich suche das Gebäude dreißig punkt dreiunddreißig.,30.33
Zeig mir den Weg zu elf vierzig.,11.40
Was ist in Gebäude 40.40?,40.40
Informationen zum Gebäude 20 30.,20.30
Wo finde ich null eins zwölf?,01.12
Ich muss zu 30.96.,30.96
Wo ist das Gebäude fünfzig einundvierzig?,50.41
Details zu Gebäude 10 91.,10.91
