input,metadata,expected_output,output,FScore,Precision,Recall,LLM_Judge,LLM_Judge_reason,assertions_passed_rate,assertion.LLMJudge_pass
['Zu welchen Uhrzeiten ist das WIN-Institut geöffnet?'],{'num_turns': 1},['Das Gebäude hat an Tu-Fr 10:00-17:00; Sa-Su 10:00-18:00 geöffnet.'],"['Das WIN-Institut, auch bekannt als Institut für Wirtschaftsinformatik, ist von Montag bis Freitag von 10:00 bis 17:00 Uhr geöffnet und am Samstag und Sonntag von 10:00 bis 18:00 Uhr.']",0.7708504796028137,0.7420864105224609,0.8019342422485352,1.0,The output correctly conveys the opening hours of the WIN-Institut as stated in the expected output.,1.0,True
['Wie sind die Besuchszeiten der Fachschaft GeistSoz?'],{'num_turns': 1},['Das Gebäude hat an Mo-Th 13:00-14:00 geöffnet.'],['Die Besuchszeiten der Fachschaft GeistSoz sind von Montag bis Donnerstag von 13:00 bis 14:00 Uhr.'],0.7708765864372253,0.7513550519943237,0.7914395332336426,1.0,The output conveys the same information as the expected output about the opening hours from Monday to Thursday between 13:00 and 14:00.,1.0,True
['Welche Öffnungszeiten gelten für den Informatikbau?'],{'num_turns': 1},"['Das Gebäude hat an Mo-Fr 07:00-22:30; Sa 07:00-15:00; Su,PH off geöffnet.']",['Die Öffnungszeiten für den Informatikbau sind Montag bis Freitag von 07:00 bis 22:30 Uhr und Samstag von 07:00 bis 15:00 Uhr. Der Bau ist sonntags und an Feiertagen geschlossen.'],0.7545356154441833,0.7416271567344666,0.7679014801979065,1.0,"The output correctly conveys the opening hours of the Informatikbau and the closure on Sundays and public holidays, matching the meaning of the expected output.",1.0,True
['Wann kann ich die Mensa besuchen?'],{'num_turns': 1},"['Das Gebäude hat an Mo-Fr 11:00-14:00, 14:00-14:30 open ""Spätausgabe an Linie 1""; Sa,Su,PH off geöffnet.']","['Die Mensa ist von Montag bis Freitag von 11:00 bis 14:00 Uhr geöffnet und zusätzlich von 14:00 bis 14:30 Uhr gibt es eine ""Spätausgabe an Linie 1"". Am Samstag und Sonntag sowie an Feiertagen ist die Mensa geschlossen.']",0.770092785358429,0.7597593069076538,0.78071129322052,1.0,"The output correctly conveys the opening times and the special late serving window at Line 1 from Monday to Friday, and states that the Mensa is closed on weekends and public holidays, which is consistent with the expected output.",1.0,True
['Zu welchen Zeiten ist der Physik-Hörsaal Nr. 3 zugänglich?'],{'num_turns': 1},['Das Gebäude hat an Mo-Fr 09:00-19:00; Sa 09:00-12:30 geöffnet.'],['Der Physik-Hörsaal Nr. 3 ist von Montag bis Freitag von 09:00 bis 19:00 Uhr und samstags von 09:00 bis 12:30 Uhr geöffnet.'],0.8025136590003967,0.776675820350647,0.830129861831665,1.0,The output conveys the same opening hours information as the expected output in a different phrasing.,1.0,True
['Wann hat die Cafeteria geöffnet?'],{'num_turns': 1},['Das Gebäude hat an Mo-Fr 07:30-17:30 geöffnet.'],['Die Cafeteria ist in der Regel von Montag bis Freitag von 8:00 bis 18:00 Uhr geöffnet. Am Wochenende ist sie geschlossen.'],0.7785054445266724,0.7589001059532166,0.7991505861282349,0.0,The output conveys the opening hours of the cafeteria but not the building as specified in the expected output.,0.0,False
['Wie sind die Zugangszeiten von Gebäude 145?'],{'num_turns': 1},['Das Gebäude hat an Mo-Fr 07:00-18:00 geöffnet.'],"['Ich denke, du fragst nach den Zugangszeiten des Gebäudes 145. Leider habe ich keine Informationen darüber, welches Gebäude 145 ist. Es gibt jedoch einige Gebäude in der Nähe, die ich dir nennen kann. Der Oberer Hörsaal Maschinenbau (Gebäude 784) befindet sich in der Nähe von Gebäude 145, aber ich habe keine Informationen über seine Zugangszeiten. Der Fachbereich Maschinenbau/Chemieingenieurwesen (Gebäude 765) ist auch in der Nähe, aber ich habe keine Informationen über seine Zugangszeiten. Wenn du mehr über ein bestimmtes Gebäude wissen möchtest, kannst du mir bitte den Namen oder die Adresse nennen.']",0.5705098509788513,0.5526043176651001,0.5896146297454834,0.0,The output does not convey the required information and instead offers excuses about the lack of knowledge.,0.0,False
['Wann ist das Institut für Anthropomatik und Robotik offen?'],{'num_turns': 1},"['Das Gebäude hat an Mo-Fr 07:00-22:30; Sa 07:00-15:00; Su,PH off geöffnet.']","['Das Institut für Anthropomatik und Robotik ist von Montag bis Freitag von 07:00 bis 22:30 Uhr geöffnet, am Samstag bis 15:00 Uhr. Es ist auch rollstuhlgerechtig. Die Adresse ist Am Fasanengarten 5, 76131 Karlsruhe.']",0.7170636653900146,0.6874085664749146,0.7493928074836731,1.0,"The output provides the correct opening hours and additional information, which is consistent with the expected output.",1.0,True
['Welche Öffnungszeiten hat der Informatikbau?'],{'num_turns': 1},"['Das Gebäude hat an Mo-Fr 07:00-22:30; Sa 07:00-15:00; Su,PH off geöffnet.']","['Der Informatikbau hat folgende Öffnungszeiten:\n\nMo-Fr: 07:00-22:30\nSa: 07:00-15:00\nSonntag und Feiertage: geschlossen\n\nBitte beachten Sie, dass diese Öffnungszeiten möglicherweise unter Umständen variieren können. Es ist immer ratsam, vorher zu überprüfen, ob die Öffnungszeiten geändert wurden.']",0.7115610241889954,0.654751718044281,0.7791649699211121,0.0,"The output conveys the correct opening hours but adds extra information not present in the expected output, such as the note about possible variations and the suggestion to verify beforehand.",0.0,False
['Wann ist Gebäude 30.22 zugänglich?'],{'num_turns': 1},['Das Gebäude hat an Mo-Fr 09:00-19:00; Sa 09:00-12:30 geöffnet.'],"['Das Gebäude 30.22, die Fachbibliothek Physik, ist von Montag bis Freitag von 09:00 bis 19:00 Uhr und samstags von 09:00 bis 12:30 Uhr geöffnet.']",0.8046789765357971,0.7763925790786743,0.8351045250892639,1.0,"The output conveys the same information as the expected output, including building accessibility hours for weekdays and Saturdays.",1.0,True
