input,metadata,expected_output,output,FScore,Precision,Recall,LLM_Judge,LLM_Judge_reason,assertions_passed_rate,assertion.LLMJudge_pass
Gibt es Rollstuhlzugang im Gebäude 210?,"{'test_idx': 0, 'turn_idx': 0, 'type': 'single_turn'}","['Ja, das Gebäude ist rollstuhlgerecht.']","['Ja, das Gebäude 210 ist rollstuhlgerecht. Es gibt eine Rollstuhlrampe auf der Rückseite des Gebäudes und einen Aufzug, der sich links befindet. Außerdem gibt es eine Behindertengerechte Toilette im UG in der Nähe der Rampe.']",0.7731461524963379,0.687410295009613,0.8833158612251282,1.0,"The output conveys the same information as the expected output by confirming that the building is wheelchair accessible and adding specific details about the ramp, elevator, and toilet.",1.0,True
Verfügt die Englervilla über Rollstuhlzugänglichkeit?,"{'test_idx': 1, 'turn_idx': 0, 'type': 'single_turn'}","['Nein, das Gebäude ist nicht rollstuhlgerecht.']","['Es tut mir leid, aber ich habe keine Informationen über die Rollstuhlzugänglichkeit der Englervilla.']",0.7048372030258179,0.6848751306533813,0.7259979844093323,0.0,The output does not convey the same information as the expected output; it should state that the building is not wheelchair accessible.,0.0,False
Hat das Institut für Photogrammetrie und Fernerkundung einen barrierefreien Zugang?,"{'test_idx': 2, 'turn_idx': 0, 'type': 'single_turn'}","['Ja, das Gebäude ist rollstuhlgerecht. Es gibt Rollstuhlrampe auf der Rückseite des Gebäudes. Aufzug befindet sich links. Behindertengerechten Toiletteim UG nähe Rampe.']","['Ja, das Institut für Photogrammetrie und Fernerkundung (IPF) hat einen barrierefreien Zugang. Es gibt eine Rollstuhlrampe auf der Rückseite des Gebäudes und einen Aufzug, der sich links befindet. Es gibt auch eine behindertengerechte Toilette im Untergeschoss in der Nähe der Rampe.']",0.7759919762611389,0.7487511038780212,0.8052898049354553,1.0,"The output conveys the same information as the expected output, including the rollstuhlgerechte Zugang, the Rollstuhlrampe on the Rückseite, the Aufzug links, and the behindertengerechte Toilette im UG.",1.0,True
Kann man die Laborhalle des Instituts für Thermische Verfahrenstechnik mit Rollstuhl erreichen?,"{'test_idx': 3, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude ist teilweise rollstuhlgerecht.'],['Die Laborhalle des Instituts für Thermische Verfahrenstechnik kann leider nicht direkt mit einem Rollstuhl erreicht werden. Das Institut selbst ist jedoch barrierefrei zugänglich.'],0.7036902904510498,0.6663001179695129,0.7455263137817383,1.0,"The output conveys the same information as the expected output by indicating that the building is partially wheelchair accessible, even though it specifies that the lab hall cannot be reached directly with a wheelchair while the institute itself is accessible.",1.0,True
Ist das Hochschulsportgebäude barrierefrei zugänglich?,"{'test_idx': 4, 'turn_idx': 0, 'type': 'single_turn'}","['Ja, das Gebäude ist rollstuhlgerecht.']",['Das Hochschulsportgebäude ist barrierefrei zugänglich.'],0.6825530529022217,0.676279604434967,0.6889438629150391,1.0,"The output conveys the same information as the expected output, confirming that the building is accessible for wheelchair users.",1.0,True
Hat die Englervilla Rollstuhlzugänge?,"{'test_idx': 5, 'turn_idx': 0, 'type': 'single_turn'}","['Nein, das Gebäude ist nicht rollstuhlgerecht.']","['Es tut mir leid, aber ich konnte keine Informationen über die Englervilla finden.']",0.6890166401863098,0.6841453909873962,0.6939577460289001,0.0,The output does not convey the same information as the expected output; it fails to state that the Englervilla does not have wheelchair access.,0.0,False
Bietet das Institut für Regionalwissenschaft Barrierefreiheit?,"{'test_idx': 6, 'turn_idx': 0, 'type': 'single_turn'}","['Ja, das Gebäude ist rollstuhlgerecht.']",['Das Institut für Regionalwissenschaft bietet Barrierefreiheit.'],0.7235409021377563,0.7204365134239197,0.7266722321510315,1.0,"The output conveys the same information as the expected output, confirming the availability of barrier-free access at the institute.",1.0,True
Verfügt Gebäude 50.31 über Rollstuhlzugänge?,"{'test_idx': 7, 'turn_idx': 0, 'type': 'single_turn'}","['Ja, das Gebäude ist rollstuhlgerecht. Es gibt Aufzug vorhanden.']",['Das Gebäude 50.31 verfügt über Rollstuhlzugänge. Es gibt einen Aufzug.'],0.7761121988296509,0.7712792754173279,0.7810060977935791,1.0,The output conveys the same information as the expected output in a slightly different phrasing.,1.0,True
Ist das Physik-Hochhaus mit Rollstuhl erreichbar?,"{'test_idx': 8, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude ist teilweise rollstuhlgerecht.'],['Das Physik-Hochhaus ist teilweise rollstuhlgerecht.'],0.9095274806022644,0.8732925653457642,0.9488994479179382,1.0,"The output conveys the same information as the expected output, indicating partial wheelchair accessibility of the building.",1.0,True
Kann man das Elektrotechnische Institut mit Rollstuhl betreten?,"{'test_idx': 9, 'turn_idx': 0, 'type': 'single_turn'}","['Nein, das Gebäude ist nicht rollstuhlgerecht.']",['Das Elektrotechnische Institut (ETI) ist nicht rollstuhlgerecht.'],0.8015251755714417,0.7645767331123352,0.8422260284423828,1.0,"The output conveys the same information as the expected output, confirming that the Elektrotechnische Institut is not accessible by wheelchair.",1.0,True
