input,metadata,expected_output,output,FScore,Precision,Recall,LLM_Judge,LLM_Judge_reason,assertions_passed_rate,assertion.LLMJudge_pass
Bis wann kann ich das IAM-ET Gebäude noch betreten?,"{'test_idx': 0, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude schließt in 8 Stunden und 46 Minuten.'],"['Es tut mir leid, aber ich habe keine aktuellen Öffnungszeiten für das IAM-ET-Gebäude in meiner Datenbank gefunden. Öffnungszeiten können je nach Institutsrichtung und Tageszeit variieren. Ich empfehle, auf der offiziellen Website des Institutes oder direkt bei der Verwaltung nachzuschauen. \n\nWenn du möchtest, kann ich dir die Website des IAM-ET oder eine Kontaktoption zeigen.']",0.6166704893112183,0.5707994103431702,0.6705585718154907,0.0,The output does not convey the same information as the expected output; it should mention the time until the building closes.,0.0,False
Wann schließt die Bibliothek am Campus Nord?,"{'test_idx': 1, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude schließt in 0 Stunden und 54 Minuten.'],['Die Bibliothek am Campus Nord hat die Öffnungszeiten: Montag bis Freitag von 09:00–12:00 und 13:00–15:00. Sie schließt also am Freitag um 15:00 Uhr.'],0.6878318190574646,0.6415808796882629,0.7412692308425903,0.0,"The output correctly states the closing time of the library on Fridays at 15:00, but it does not mention the specific time remaining until closing (0 hours and 54 minutes) as in the expected output.",0.0,False
Was sind die Öffnungszeiten vom Botanischen Garten des KIT heute?,"{'test_idx': 2, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude ist momentan geschlossen.'],"['Der Botanische Garten des KIT (Joseph Gottlieb Kölreuter-Institut für Pflanzenwissenschaften) hat in der Zeit von April bis September die Öffnungszeiten von Montag bis Freitag 08:00–16:00 Uhr und an Sonn- und Feiertagen 10:00–16:00 Uhr. Da heute, den 14. Juli 2025, ein Wochentag ist, gelten die regulären Öffnungszeiten von 08:00 bis 16:00 Uhr.']",0.6088896989822388,0.5345596671104431,0.7072293758392334,0.0,"The output provides incorrect and irrelevant information about opening hours of the Botanischer Garten, whereas the expected output states that the building is currently closed. The information does not match.",0.0,False
"Wann macht das Institut für Theoretische Informatik, AG Kryptographie und Sicherheit zu?","{'test_idx': 3, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude schließt in 12 Stunden und 3 Minuten.'],"['Das Institut für Theoretische Informatik, Arbeitsgruppe Kryptographie und Sicherheit (IKS) hat die Öffnungszeiten:\n\n**Montag bis Freitag: 07:00–22:30 Uhr  \nSamstag: 07:00–15:00 Uhr  \nSonntag und an Feiertagen: Geschlossen**\n\nDa derzeit der 14. Juli 2025 ist und es sich um einen Freitag handelt, ist das Institut aktuell geöffnet und wird um 22:30 Uhr schließen.']",0.6243693828582764,0.5627355575561523,0.701164722442627,1.0,"The output correctly states the current opening hours and the closing time of the institute, which matches the expected meaning that the building will close in 12 hours and 3 minutes. The information is concise and accurate.",1.0,True
Bis zu welcher Uhrzeit ist Gebäude 01.90 zugänglich?,"{'test_idx': 4, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude schließt in 4 Stunden und 10 Minuten.'],['Das Gebäude 01.90 ist montags bis freitags von 09:00 bis 22:00 Uhr und samstags von 10:00 bis 22:00 Uhr zugänglich.'],0.6827808618545532,0.6356133222579956,0.7375099658966064,0.0,"The output provides general access times for the building but does not address the specific closing time or the time until it will close, as stated in the expected output.",0.0,False
Wann schließt heute die Fachschaft GeiSo?,"{'test_idx': 5, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude ist momentan geschlossen.'],['Die Fachschaft Geistes- und Sozialwissenschaften (GeiSo) hat heute bis 14:00 Uhr geöffnet.'],0.6992719173431396,0.6358084678649902,0.7768094539642334,0.0,The output conveys different information than the expected output; it states opening hours instead of indicating the building is closed.,0.0,False
Zu welcher Zeit schließt das IPR-Gebäude?,"{'test_idx': 6, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude ist momentan geschlossen.'],"['Leider konnten keine konkreten Öffnungszeiten für das IPR-Gebäude (Institut für Produktentwicklung, Recherche und Projektmanagement) in den bereitgestellten Dokumenten gefunden werden. Öffnungszeiten können meist auf der offiziellen Website des Instituts nachgeschlagen werden. Möchten Sie, dass ich Ihnen die Website des IPR-Gebruaches weiterleite?']",0.6083371043205261,0.5565098524093628,0.6708089709281921,0.0,"The output does not convey the same information as the expected output; instead, it provides an excuse for not having the information.",0.0,False
Bis wann hat das Institut für Anthropomatik und Robotik heute geöffnet?,"{'test_idx': 7, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude ist momentan geschlossen.'],['Das Institut für Anthropomatik und Robotik hat heute bis 22:30 Uhr geöffnet.'],0.7211626172065735,0.6572233438491821,0.7988836765289307,0.0,"The output states that the institute is open until 22:30, which contradicts the expected output stating that the building is currently closed.",0.0,False
Wann schließt die Physik-Bibliothek?,"{'test_idx': 8, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude ist momentan geschlossen.'],"['Die Physik-Bibliothek hat die folgenden Öffnungszeiten:  \nMontag bis Freitag: 09:00–19:00 Uhr  \nSamstag: 09:00–12:30 Uhr  \n\nAm heutigen Tag, dem 14. Juli 2025 (Dienstag), schließt die Physik-Bibliothek daher um **19:00 Uhr**.']",0.6293623447418213,0.5609948635101318,0.7167060375213623,0.0,"The output provides incorrect information about the closure of the Physics Library, stating opening hours when the expected output indicates the building is currently closed.",0.0,False
Wann macht die Fachschaft Info zu?,"{'test_idx': 9, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude ist momentan geschlossen.'],"['Die Fachschaft Informatik hat die folgenden Öffnungszeiten:  \nMontag bis Freitag: 07:00–22:30 Uhr  \nSamstag: 07:00–15:00 Uhr  \nSonntag und an Feiertagen (PH) ist sie geschlossen.  \n\nFalls du weitere Fragen hast, helfe ich gerne!']",0.61970454454422,0.5506851673126221,0.7085039615631104,0.0,"The output does not match the expected output in meaning. The expected output states that the building is currently closed, while the output provides general opening hours instead.",0.0,False
