input,metadata,expected_output,output,FScore,Precision,Recall,LLM_Judge,LLM_Judge_reason,assertions_passed_rate,assertion.LLMJudge_pass
Können Sie mir die Adresse von Gebäude 30.29 sagen?,"{'test_idx': 0, 'turn_idx': 0, 'type': 'multi_turn'}","['Das Gebäude hat die Adresse Center für Innovation & Entrepreneurship, 9, Engesserstraße, Innenstadt-Ost Nordöstlicher Teil, Innenstadt-Ost, Karlsruhe, Baden-Württemberg, 76131, Deutschland.']","['Die Adresse von Gebäude 30.29 lautet Engesserstraße 9, 76131 Karlsruhe.']",0.7701895833015442,0.8231727480888367,0.7236143350601196,1.0,"The output conveys the same relevant address information as the expected output (Engesserstraße 9, 76131 Karlsruhe).",1.0,True
Welche Route führt mich zum Gebäude?,"{'test_idx': 0, 'turn_idx': 1, 'type': 'multi_turn'}","['Mit diesem Link kannst du dich zu dem Gebäude führen lassen: https://www.google.com/maps/dir/?api=1&destination=49.01192,8.41168.']","['Ich kann dir nicht helfen, da ich keine Informationen über die genauen Standorte der Gebäude habe.']",0.5864633321762085,0.6748175621032715,0.5185670852661133,0.0,The output provides an excuse instead of conveying the required information as stated in the expected output.,0.0,False
Gibt es dort auch barrierefreie Zugänge?,"{'test_idx': 0, 'turn_idx': 2, 'type': 'multi_turn'}",['Zu diesem Gebäude habe ich leider keine Informationen zur Rollstuhgerechtigkeit.'],['Das Gebäude 30.29 ist nicht rollstuhlgerecht.'],0.7096655368804932,0.7180228233337402,0.7015005350112915,0.0,"The output provides specific information about the building (30.29) not being wheelchair accessible, while the expected output is a general statement about lacking information for the building. The output conveys relevant information but does not match the meaning of the expected output.",0.0,False
Bis wann hat das Gebäude geöffnet?,"{'test_idx': 0, 'turn_idx': 3, 'type': 'multi_turn'}",['Für dieses Gebäude kenne ich leider keine Öffnungszeiten.'],['Ich habe keine Informationen zu den Öffnungszeiten von Gebäude 30.29.'],0.7844200730323792,0.7701326608657837,0.7992475628852844,1.0,"The output conveys the same information as the expected output, stating that the opening hours of the building are not known.",1.0,True
Gib mir eine Wegbeschreibung zu 30.46,"{'test_idx': 1, 'turn_idx': 0, 'type': 'multi_turn'}","['Mit diesem Link kannst du dich zu dem Gebäude führen lassen: https://www.google.com/maps/dir/?api=1&destination=49.01168,8.41384.']","['Mit diesem Link kannst du dich zum Gebäude führen lassen: https://www.google.com/maps/dir/?api=1&destination=49.01168,8.41384']",0.9876031279563904,0.9911471605300904,0.9840843081474304,1.0,The output conveys the same information as the expected output with only minor wording differences.,1.0,True
Ist der Zugang barrierefrei?,"{'test_idx': 1, 'turn_idx': 1, 'type': 'multi_turn'}",['Zu diesem Gebäude habe ich leider keine Informationen zur Rollstuhgerechtigkeit.'],['Das Gebäude 30.46 scheint keine Informationen über seine Barrierefreiheit zu haben.'],0.7619305849075317,0.7525407075881958,0.7715576887130737,1.0,"The output conveys the same information as the expected output, indicating a lack of data on barrier-free access.",1.0,True
Sind die Öffnungszeiten aktuell?,"{'test_idx': 1, 'turn_idx': 2, 'type': 'multi_turn'}",['Für dieses Gebäude kenne ich leider keine Öffnungszeiten.'],['Ich habe keine Informationen über die aktuellen Öffnungszeiten des Gebäudes 30.46.'],0.7887858748435974,0.7707257270812988,0.8077126145362854,0.5,The output conveys the same information as the expected output but adds building number which is not in the expected output.,0.0,False
Zeige mir den Weg zum Haus 419,"{'test_idx': 2, 'turn_idx': 0, 'type': 'multi_turn'}","['Mit diesem Link kannst du dich zu dem Gebäude führen lassen: https://www.google.com/maps/dir/?api=1&destination=49.09378,8.43489.']","['Mit diesem Link kannst du dich zum Gebäude führen lassen: https://www.google.com/maps/dir/?api=1&destination=49.09378,8.43489']",0.9875428676605223,0.9911152124404908,0.9839961528778076,1.0,The output conveys the same information as the expected output with a slightly different phrasing,1.0,True
Wann kann man dort rein,"{'test_idx': 2, 'turn_idx': 1, 'type': 'multi_turn'}",['Für dieses Gebäude kenne ich leider keine Öffnungszeiten.'],['Ich habe leider keine Informationen zu den Öffnungszeiten des Gebäudes 419.'],0.8177189230918884,0.8107782602310181,0.8247795104980469,1.0,"The output conveys the same information as the expected output, indicating a lack of knowledge about the opening times of the building.",1.0,True
Finde ich auch Informationen im Internet dazu,"{'test_idx': 2, 'turn_idx': 2, 'type': 'multi_turn'}",['Zu diesem Gebäude kenne ich leider keine Webseite.'],['Ich habe leider keine Informationen zur Internetpräsenz des Gebäudes 419.'],0.76861971616745,0.7559449076652527,0.7817267179489136,1.0,The output conveys the same information as the expected output by indicating there is no available website for the building.,1.0,True
Können Sie mir die Adresse von Gebäude 40.16 mitteilen?,"{'test_idx': 3, 'turn_idx': 0, 'type': 'multi_turn'}","['Das Gebäude hat die Adresse 40.16, 11, Engler-Bunte-Ring, Innenstadt-Ost Nordöstlicher Teil, Innenstadt-Ost, Karlsruhe, Baden-Württemberg, 76131, Deutschland.']","['Die Adresse von Gebäude 40.16 lautet Engler-Bunte-Ring 11, 76131 Karlsruhe.']",0.8213410973548889,0.8640689849853516,0.7826398611068726,1.0,"The output conveys the same relevant address information (Engler-Bunte-Ring 11, 76131 Karlsruhe) as the expected output, with a more concise phrasing.",1.0,True
