input,metadata,expected_output,output,FScore,Precision,Recall,LLM_Judge,LLM_Judge_reason,assertions_passed_rate,assertion.LLMJudge_pass
Bis wann kann ich das IAM-ET Gebäude noch betreten?,"{'test_idx': 0, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude schließt in 8 Stunden und 46 Minuten.'],['Ich habe leider keine Informationen zu den Öffnungszeiten des IAM-ET Gebäudes in meiner Datenbank.'],0.6645523309707642,0.655178427696228,0.6741983294487,0.0,The output does not convey the required information and instead provides an excuse.,0.0,False
Wann schließt die Bibliothek am Campus Nord?,"{'test_idx': 1, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude schließt in 0 Stunden und 54 Minuten.'],['Die Bibliothek am Campus Nord schließt in 4 Stunden und 30 Minuten.'],0.9016106128692628,0.8825616836547852,0.9214999675750732,0.0,The output does not match the expected information about the library closing time.,0.0,False
Was sind die Öffnungszeiten vom Botanischen Garten des KIT heute?,"{'test_idx': 2, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude ist momentan geschlossen.'],['Der Botanische Garten des KIT ist heute geöffnet. Die Öffnungszeiten variieren je nach Saison. Von April bis September ist der Garten von Montag bis Freitag von 08:00 bis 16:00 Uhr geöffnet und an Sonntagen und an Feiertagen von 10:00 bis 16:00 Uhr. Von Oktober bis März ist der Garten von Montag bis Freitag von 08:00 bis 15:00 Uhr geöffnet und an Sonntagen und an Feiertagen von 10:00 bis 14:00 Uhr.'],0.6107181906700134,0.519756555557251,0.740271806716919,0.0,"The output states the garden is open today, while the expected output says it is currently closed. The information is contradictory.",0.0,False
"Wann macht das Institut für Theoretische Informatik, AG Kryptographie und Sicherheit zu?","{'test_idx': 3, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude schließt in 12 Stunden und 3 Minuten.'],"['Das Institut für Theoretische Informatik, AG Kryptographie und Sicherheit (IKS) ist geöffnet.']",0.6649453639984131,0.6265044212341309,0.7084120512008667,0.0,The output does not provide any information about the closing time of the institute as required by the expected output.,0.0,False
Bis zu welcher Uhrzeit ist Gebäude 01.90 zugänglich?,"{'test_idx': 4, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude schließt in 4 Stunden und 10 Minuten.'],['Das Gebäude 01.90 ist bis 22:00 Uhr geöffnet.'],0.7501527070999146,0.7341320514678955,0.7668881416320801,1.0,The output conveys the same information as the expected output but uses a different phrasing.,1.0,True
Wann schließt heute die Fachschaft GeiSo?,"{'test_idx': 5, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude ist momentan geschlossen.'],['Die Fachschaft Geistes- und Sozialwissenschaften schließt heute um 14:00 Uhr.'],0.6870449781417847,0.6374784708023071,0.7449693083763123,0.0,The output provides different and incorrect information about the closure of the Fachschaft GeiSo.,0.0,False
Zu welcher Zeit schließt das IPR-Gebäude?,"{'test_idx': 6, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude ist momentan geschlossen.'],['Leider habe ich keine Informationen zu den Öffnungszeiten des IPR-Gebäudes.'],0.6813624501228333,0.654082179069519,0.711017370223999,0.0,The output does not convey the same information as the expected output; it should state that the building is currently closed instead of saying there is no information available.,0.0,False
Bis wann hat das Institut für Anthropomatik und Robotik heute geöffnet?,"{'test_idx': 7, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude ist momentan geschlossen.'],['Das Institut für Anthropomatik und Robotik ist heute geöffnet.'],0.7721298336982727,0.714958131313324,0.839239776134491,0.0,"The output states the institute is open, while the expected output states it is closed. The information is contradictory.",0.0,False
Wann schließt die Physik-Bibliothek?,"{'test_idx': 8, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude ist momentan geschlossen.'],['Die Physik-Bibliothek schließt heute in 1 Stunde und 47 Minuten.'],0.7092689871788025,0.6723655462265015,0.7504585981369019,0.0,The output does not match the expected output in meaning; it provides a different closing time rather than stating the building is currently closed.,0.0,False
Wann macht die Fachschaft Info zu?,"{'test_idx': 9, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude ist momentan geschlossen.'],"['Die Fachschaft Informatik ist von Montag bis Freitag von 07:00 bis 22:30 Uhr geöffnet, am Samstag von 07:00 bis 15:00 Uhr. Sie ist am Sonntag und an Feiertagen geschlossen.']",0.6544727087020874,0.5724552273750305,0.7639222741127014,0.0,The output provides the opening hours of the Fachschaft Informatik but does not directly address the closure aspect mentioned in the expected output.,0.0,False
Bis wie viel Uhr ist das WIN-Institut heute geöffnet?,"{'test_idx': 10, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude schließt in 6 Stunden und 48 Minuten.'],['Das WIN-Institut ist heute bis 17:00 Uhr geöffnet.'],0.7414158582687378,0.7332972884178162,0.7497162818908691,1.0,The output conveys the same information as the expected output but uses a different phrasing (closing time as 17:00 Uhr instead of specifying hours and minutes).,1.0,True
Wann schließt das InformatiKOM 1?,"{'test_idx': 11, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude schließt in 0 Stunden und 25 Minuten.'],['Das InformatiKOM 1 schließt in 2 Stunden und 58 Minuten.'],0.8490208387374878,0.811822772026062,0.8897915482521057,0.0,The output conveys incorrect information about the closing time.,0.0,False
Bis wann ist der Otto-Lehmann-Hörsaal zugänglich?,"{'test_idx': 12, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude ist momentan geschlossen.'],['Der Otto-Lehmann-Hörsaal ist bis 19:00 Uhr geöffnet.'],0.712713897228241,0.6647381782531738,0.7681534290313721,0.0,"The output states the building is open until 19:00, while the expected output says the building is currently closed. The information is contradictory.",0.0,False
Wann macht das Internet Café Aso zu?,"{'test_idx': 13, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude schließt in 7 Stunden und 6 Minuten.'],['Ich habe nach Informationen zu den Öffnungszeiten des Internet Cafés Aso gesucht. Laut meiner Datenbank ist das Internet Café Aso von Montag bis Freitag von 09:00 bis 22:00 Uhr geöffnet und am Samstag von 10:00 bis 22:00 Uhr.'],0.6489827632904053,0.6096959710121155,0.6936812996864319,0.0,"The output provides the general operating hours of the Internet Café Aso but does not state the specific closing time or calculate the time until it closes, which is required in the expected output.",0.0,False
