input,metadata,expected_output,output,FScore,Precision,Recall,LLM_Judge,LLM_Judge_reason,assertions_passed_rate,assertion.LLMJudge_pass
Wie lautet die Adresse von Gebäude 523?,"{'test_idx': 0, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse Campus Nord, Leopoldstraße, Kirchfeld, Neureut, Karlsruhe, Dettenheim, Baden-Württemberg, 76131, Deutschland.']","['Die Adresse von Gebäude 523 lautet Campus Nord, Leopoldstraße, 76131 Karlsruhe (Stadtviertel: Neureut).']",0.805764377117157,0.8128058910369873,0.7988436818122864,1.0,"The output conveys the same relevant address information (Campus Nord, Leopoldstraße) and includes the city and postal code, which aligns with the expected output in meaning.",1.0,True
An welcher Stelle befindet sich Gebäude 239?,"{'test_idx': 1, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse Eggensteiner Straße, Leopoldshafen, Eggenstein-Leopoldshafen, Landkreis Karlsruhe, Baden-Württemberg, 76344, Deutschland.']",['Gebäude 239 befindet sich in der **Eggensteiner Straße** im Stadtviertel **Leopoldshafen**.'],0.7006455063819885,0.7009268999099731,0.700364351272583,1.0,"The output conveys the same information as the expected output, specifying the street (Eggensteiner Straße) and district (Leopoldshafen) where the building is located. The rubric allows for phrasing differences as long as the meaning is consistent, and no relevant information is missing.",1.0,True
Welche Adresse hat das wbk Institut für Produktionstechnik?,"{'test_idx': 2, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse wbk Institut für Produktionstechnik, 5, Gotthard-Franz-Straße, Oststadt Westlicher Teil, Oststadt, Karlsruhe, Baden-Württemberg, 76131, Deutschland.']","['Das wbk Institut für Produktionstechnik hat die Adresse **Gotthard-Franz-Straße 5, 76131 Karlsruhe** und befindet sich im Stadtviertel Oststadt.']",0.8339304327964783,0.839625895023346,0.8283116817474365,1.0,"The output conveys the same relevant address information (Gotthard-Franz-Straße 5, 76131 Karlsruhe) and mentions the district Oststadt, which aligns with the expected output.",1.0,True
An welchem Standort ist Gebäude 30.33?,"{'test_idx': 3, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse MTI-Hörsaal, Fritz-Haber-Weg, Innenstadt-Ost Nordöstlicher Teil, Innenstadt-Ost, Karlsruhe, Baden-Württemberg, 76131, Deutschland.']",['Gebäude 30.33 befindet sich am Standort **Innenstadt-Ost** auf der **Fritz-Haber-Weg**.'],0.7045896053314209,0.7122895121574402,0.6970542669296265,0.5,"The output conveys the correct location (Innenstadt-Ost and Fritz-Haber-Weg), but it does not include the full address as provided in the expected output.",0.0,False
Wie ist die Adresse der KIT-Fakultät für Wirtschaftswissenschaften?,"{'test_idx': 4, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse Kollegiengebäude am Kronenplatz, 89-93, Kaiserstraße, Innenstadt-Ost Südwestlicher Teil, Innenstadt-Ost, Karlsruhe, Baden-Württemberg, 76133, Deutschland.']","['Die Adresse der KIT-Fakultät für Wirtschaftswissenschaften ist **Kaiserstraße 89-93, 76133 Karlsruhe**. Sie befindet sich im Stadtviertel **Innenstadt-Ost**.']",0.7498888969421387,0.7390480041503906,0.7610524892807007,1.0,"The output conveys the same essential information as the expected output, including the street address, house number, and location in Innenstadt-Ost, Karlsruhe. It is phrased differently but remains consistent.",1.0,True
An welcher Adresse ist das Institut für Technik der Informationsverarbeitung (ITIV) zu finden?,"{'test_idx': 5, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse 5, Engesserstraße, Innenstadt-Ost Nordöstlicher Teil, Innenstadt-Ost, Karlsruhe, Baden-Württemberg, 76131, Deutschland.']",['Das Institut für Technik der Informationsverarbeitung (ITIV) befindet sich an der **Engesserstraße 5** im Stadtviertel Innenstadt-Ost in Karlsruhe. Die Postleitzahl ist **76131**.'],0.7146077156066895,0.6841037273406982,0.7479590177536011,1.0,"The output conveys the same information as the expected output (Engesserstraße 5 and 76131 postal code), which is sufficient given the context.",1.0,True
Wo liegt das Institutsgebäude Nachrichtentechnik?,"{'test_idx': 6, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse Institutsgebäude Nachrichtentechnik, 5, Engesserstraße, Innenstadt-Ost Nordöstlicher Teil, Innenstadt-Ost, Karlsruhe, Baden-Württemberg, 76131, Deutschland.']",['Das **Institutsgebäude Nachrichtentechnik** liegt an der **Hertzstraße 16** im Stadtviertel **Nordweststadt** in Karlsruhe.'],0.7109075784683228,0.7058952450752258,0.7159916162490845,0.0,"The output provides a different address and location for the Institute of Telecommunications, which is incorrect",0.0,False
An welcher Adresse ist das Institut für Volkswirtschaftslehre?,"{'test_idx': 7, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse 25, Waldhornstraße, Innenstadt-Ost Südwestlicher Teil, Innenstadt-Ost, Karlsruhe, Baden-Württemberg, 76131, Deutschland.']","['Das Institut für Volkswirtschaftslehre (ECON) hat zwei relevante Adressen:\n\n1. **Waldhornstraße 25**, 76131 Karlsruhe (Stadtviertel: Innenstadt-Ost)\n2. **Blücherstraße 17**, 76185 Karlsruhe (Stadtviertel: Weststadt)\n\nDie erste Adresse in der Waldhornstraße ist die zentrale Institutsadresse, während die Professuren im Weststadt-Campus unter der Blücherstraße ansässig sind.']",0.6845169067382812,0.6464264988899231,0.72737717628479,1.0,"The output provides the address Waldhornstraße 25, which matches the expected output, and includes additional relevant information.",1.0,True
An welchem Ort befindet sich Gebäude 30.90?,"{'test_idx': 8, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse 30.90, 8, Fritz-Haber-Weg, Innenstadt-Ost Nordöstlicher Teil, Innenstadt-Ost, Karlsruhe, Baden-Württemberg, 76131, Deutschland.']",['Gebäude 30.90 befindet sich am Fritz-Haber-Weg 8 im Stadtviertel Innenstadt-Ost der KIT-Campus.'],0.7511507272720337,0.7761565446853638,0.7277058362960815,1.0,"The output conveys the same relevant address information (Fritz-Haber-Weg 8) and identifies the location in Innenstadt-Ost, consistent with the expected output.",1.0,True
Wie ist die Anschrift von Gebäude 245?,"{'test_idx': 9, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse Neureuter Straße, Leopoldshafen, Eggenstein-Leopoldshafen, Landkreis Karlsruhe, Baden-Württemberg, 76344, Deutschland.']","['Die Anschrift von Gebäude 245 ist **Neureuter Straße, 76344 Karlsruhe** (Stadtviertel: Leopoldshafen).']",0.7734796404838562,0.7666932344436646,0.780387282371521,1.0,"The output conveys the same relevant address information (Neureuter Straße, 76344 Karlsruhe) as the expected output, with additional context about the district (Leopoldshafen). This is acceptable as per the rubric.",1.0,True
