input,metadata,expected_output,output,FScore,Precision,Recall,LLM_Judge,LLM_Judge_reason,assertions_passed_rate,assertion.LLMJudge_pass
Wie lautet die Adresse von Gebäude 523?,"{'test_idx': 0, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse Campus Nord, Leopoldstraße, Kirchfeld, Neureut, Karlsruhe, Dettenheim, Baden-Württemberg, 76131, Deutschland.']","['Die Adresse von Gebäude 523 lautet Campus Nord, Leopoldstraße, 76131 Karlsruhe.']",0.8137903809547424,0.8491603136062622,0.7812491655349731,1.0,"The output conveys the same relevant address information as the expected output, including Campus Nord, Leopoldstraße, and the postal code 76131 Karlsruhe.",1.0,True
An welcher Stelle befindet sich Gebäude 239?,"{'test_idx': 1, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse Eggensteiner Straße, Leopoldshafen, Eggenstein-Leopoldshafen, Landkreis Karlsruhe, Baden-Württemberg, 76344, Deutschland.']",['Das Gebäude 239 befindet sich in der Eggensteiner Straße im Stadtviertel Leopoldshafen. Die genauen Koordinaten sind 49.09322° Nord und 8.43152° Ost.'],0.6979431509971619,0.6710412502288818,0.7270921468734741,1.0,"The output provides the correct location (Eggensteiner Straße, Leopoldshafen) and includes additional details (coordinates), which complements the expected output without contradicting it.",1.0,True
Welche Adresse hat das wbk Institut für Produktionstechnik?,"{'test_idx': 2, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse wbk Institut für Produktionstechnik, 5, Gotthard-Franz-Straße, Oststadt Westlicher Teil, Oststadt, Karlsruhe, Baden-Württemberg, 76131, Deutschland.']","['Die Adresse des wbk Instituts für Produktionstechnik ist Gotthard-Franz-Straße 5, 76131 Karlsruhe.']",0.8364378809928894,0.8786792755126953,0.7980716228485107,1.0,"The output conveys the same address information as the expected output, with the relevant street and house number included.",1.0,True
An welchem Standort ist Gebäude 30.33?,"{'test_idx': 3, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse MTI-Hörsaal, Fritz-Haber-Weg, Innenstadt-Ost Nordöstlicher Teil, Innenstadt-Ost, Karlsruhe, Baden-Württemberg, 76131, Deutschland.']",['Das Gebäude 30.33 befindet sich am Fritz-Haber-Weg.'],0.7241308689117432,0.7919586896896362,0.6670047640800476,0.5,The output conveys the relevant part of the address ('Fritz-Haber-Weg') but is missing the street number and some specific details present in the expected output.,0.0,False
Wie ist die Adresse der KIT-Fakultät für Wirtschaftswissenschaften?,"{'test_idx': 4, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse Kollegiengebäude am Kronenplatz, 89-93, Kaiserstraße, Innenstadt-Ost Südwestlicher Teil, Innenstadt-Ost, Karlsruhe, Baden-Württemberg, 76133, Deutschland.']",['Die Adresse der KIT-Fakultät für Wirtschaftswissenschaften ist Kaiserstraße 89-93.'],0.7083787322044373,0.744645357131958,0.6754806637763977,1.0,"The output correctly conveys the relevant address information (street and house number), which matches the expected output.",1.0,True
An welcher Adresse ist das Institut für Technik der Informationsverarbeitung (ITIV) zu finden?,"{'test_idx': 5, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse 5, Engesserstraße, Innenstadt-Ost Nordöstlicher Teil, Innenstadt-Ost, Karlsruhe, Baden-Württemberg, 76131, Deutschland.']",['Das Institut für Technik der Informationsverarbeitung (ITIV) ist zu finden unter der Adresse Engesserstraße 5.'],0.6865702867507935,0.7046348452568054,0.6694087982177734,1.0,"The output conveys the same address information (Engesserstraße 5) as the expected output, and it matches the required details.",1.0,True
Wo liegt das Institutsgebäude Nachrichtentechnik?,"{'test_idx': 6, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse Institutsgebäude Nachrichtentechnik, 5, Engesserstraße, Innenstadt-Ost Nordöstlicher Teil, Innenstadt-Ost, Karlsruhe, Baden-Württemberg, 76131, Deutschland.']","['Das Institut für Nachrichtentechnik befindet sich in der Hertzstraße 16, 76187 Karlsruhe, Nordweststadt.']",0.755029022693634,0.7759370803833008,0.7352180480957031,0.0,"The output provides a different address than the expected output, which indicates inconsistency in the information conveyed.",0.0,False
An welcher Adresse ist das Institut für Volkswirtschaftslehre?,"{'test_idx': 7, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse 25, Waldhornstraße, Innenstadt-Ost Südwestlicher Teil, Innenstadt-Ost, Karlsruhe, Baden-Württemberg, 76131, Deutschland.']",['Das Institut für Volkswirtschaftslehre befindet sich an der Waldhornstraße 25 in der Innenstadt-Ost von Karlsruhe.'],0.7196205854415894,0.7268472909927368,0.712536096572876,1.0,"The output conveys the same address information (Waldhornstraße 25) as the expected output, though it omits some additional details such as the postal code and district parts. Since the rubric allows omitting such details and emphasizes including the relevant address, the output is acceptable.",1.0,True
An welchem Ort befindet sich Gebäude 30.90?,"{'test_idx': 8, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse 30.90, 8, Fritz-Haber-Weg, Innenstadt-Ost Nordöstlicher Teil, Innenstadt-Ost, Karlsruhe, Baden-Württemberg, 76131, Deutschland.']","['Das Gebäude 30.90 befindet sich in der Innenstadt-Ost von Karlsruhe. Die genaue Adresse lautet Fritz-Haber-Weg 8, 76131 Karlsruhe.']",0.8107335567474365,0.8222752809524536,0.7995113730430603,1.0,The output conveys the same address information as the expected output but uses a different phrasing.,1.0,True
Wie ist die Anschrift von Gebäude 245?,"{'test_idx': 9, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse Neureuter Straße, Leopoldshafen, Eggenstein-Leopoldshafen, Landkreis Karlsruhe, Baden-Württemberg, 76344, Deutschland.']",['Die Adresse von Gebäude 245 ist Neureuter Straße in Leopoldshafen mit der Postleitzahl 76344.'],0.7665773630142212,0.7784942388534546,0.7550199031829834,1.0,"The output conveys the same address information (Neureuter Straße and postal code 76344) as the expected output, though it is slightly more concise.",1.0,True
An welcher Adresse liegt Gebäude 01.99?,"{'test_idx': 10, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse Institut für Telematik - Lehrstuhl Prof. Zitterbart, 40, Kaiserstraße, Innenstadt-Ost Südwestlicher Teil, Innenstadt-Ost, Karlsruhe, Baden-Württemberg, 76133, Deutschland.']",['Das Gebäude 01.99 liegt an der Adresse Kaiserstraße 40.'],0.6949015259742737,0.7566714286804199,0.642455518245697,0.5,The output provides the core address information (Kaiserstraße 40) but lacks additional details present in the expected output.,0.0,False
Wo steht Gebäude 40.25?,"{'test_idx': 11, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse Institutsgebäude Boden- und Felsmechanik, 14, Engler-Bunte-Ring, Innenstadt-Ost Nordöstlicher Teil, Innenstadt-Ost, Karlsruhe, Baden-Württemberg, 76131, Deutschland.']","['Das Gebäude 40.25 befindet sich am Engler-Bunte-Ring 14 in der Innenstadt-Ost von Karlsruhe. Die genauen Koordinaten sind 49.01451, 8.41627.']",0.7264041304588318,0.7274231910705566,0.7253878116607666,1.0,"The output correctly conveys the address of Gebäude 40.25 as Engler-Bunte-Ring 14, which matches the expected output.",1.0,True
An welcher Adresse finde ich das International Students Office (INTL)?,"{'test_idx': 12, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse Ehemalige Kinderklinik, 2, Adenauerring, Oststadt Westlicher Teil, Oststadt, Karlsruhe, Baden-Württemberg, 76131, Deutschland.']","['Die Adresse des International Students Office (INTL) ist Adenauerring 2, 76131 Karlsruhe.']",0.7546736598014832,0.768749475479126,0.741104006767273,1.0,"The output correctly conveys the same address information as the expected output, including the street (Adenauerring) and house number (2), and the postal code (76131 Karlsruhe).",1.0,True
Wie lautet der Standort von Gebäude 10.12?,"{'test_idx': 13, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse Studierendenservice, 13, Englerstraße, Innenstadt-Ost Nordöstlicher Teil, Innenstadt-Ost, Karlsruhe, Baden-Württemberg, 76131, Deutschland.']",['Die Adresse von Gebäude 10.12 lautet Englerstraße 13.'],0.7084609866142273,0.7707303762435913,0.6555012464523315,1.0,The output provides the correct address (Englerstraße 13) and conveys the same relevant information as the expected output.,1.0,True
Welche Adresse hat das Institut für Funktionelle Grenzflächen (IFG)?,"{'test_idx': 14, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse Weingartener Straße, Leopoldshafen, Eggenstein-Leopoldshafen, Landkreis Karlsruhe, Baden-Württemberg, 76344, Deutschland.']",['Das Institut für Funktionelle Grenzflächen (IFG) hat die Adresse Weingartener Straße im Stadtviertel Leopoldshafen mit der Postleitzahl 76344.'],0.7444658875465393,0.7297953367233276,0.7597383260726929,1.0,"The output conveys the same information as the expected output by stating the street name, district, and postal code.",1.0,True
An welchem Ort ist das Engler-Bunte-Institut (EBI)?,"{'test_idx': 15, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse Engler-Bunte-Institut (EBI), 1a, Engler-Bunte-Ring, Innenstadt-Ost Nordöstlicher Teil, Innenstadt-Ost, Karlsruhe, Baden-Württemberg, 76131, Deutschland.']","['Das Engler-Bunte-Institut (EBI) befindet sich am Engler-Bunte-Ring 1a in der Innenstadt-Ost von Karlsruhe, 76131 Karlsruhe.']",0.8276851773262024,0.8542582988739014,0.8027154803276062,1.0,"The output conveys the same relevant address information as the expected output (Engler-Bunte-Ring 1a, Karlsruhe, 76131) and is consistent in meaning, though phrased differently.",1.0,True
An welcher Stelle ist das Institutsgebäude Nachrichtentechnik?,"{'test_idx': 16, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse Institutsgebäude Nachrichtentechnik, 5, Engesserstraße, Innenstadt-Ost Nordöstlicher Teil, Innenstadt-Ost, Karlsruhe, Baden-Württemberg, 76131, Deutschland.']","['Das Institut für Nachrichtentechnik befindet sich in der Hertzstraße 16, 76187 Karlsruhe.']",0.7420100569725037,0.7771687507629395,0.7098947167396545,0.0,"The output provides a different address than the expected output, which indicates incorrect information.",0.0,False
Was ist die Adresse von Gebäude 10.34?,"{'test_idx': 17, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse 10.34, 4, Kaiserstraße, Innenstadt-Ost Nordöstlicher Teil, Innenstadt-Ost, Karlsruhe, Baden-Württemberg, 76131, Deutschland.']",['Die Adresse von Gebäude 10.34 lautet Kaiserstraße 4.'],0.7295773029327393,0.7901137471199036,0.6776570677757263,1.0,"The output correctly conveys the relevant address information (Kaiserstraße 4), which matches the expected output's core content.",1.0,True
"Wo befindet sich das Institut für Theoretische Informatik, Arbeitsgruppe Kryptographie und Sicherheit (IKS)?","{'test_idx': 18, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse Informatikbau, 5, Am Fasanengarten, Oststadt Westlicher Teil, Oststadt, Karlsruhe, Baden-Württemberg, 76131, Deutschland.']",['Ich habe die Website für dich in deinem Browser geöffnet.'],0.5670708417892456,0.59649658203125,0.5404118299484253,0.0,The output does not provide the address information as required by the expected output.,0.0,False
An welcher Adresse ist Gebäude 10.95 zu finden?,"{'test_idx': 19, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse 10.95, 12, Engelbert-Arnold-Straße, Innenstadt-Ost Nordöstlicher Teil, Innenstadt-Ost, Karlsruhe, Baden-Württemberg, 76131, Deutschland.']","['Das Gebäude 10.95 befindet sich an der Adresse Engelbert-Arnold-Straße 12 in der Innenstadt-Ost von Karlsruhe. Die genauen Koordinaten sind 49.01006, 8.41419.']",0.7619109153747559,0.7487733364105225,0.7755177021026611,1.0,"The output conveys the correct address (Engelbert-Arnold-Straße 12) and location (Innenstadt-Ost, Karlsruhe), which aligns with the expected output.",1.0,True
Wo hat die Fachschaft Geistes- und Sozialwissenschaften ihren Sitz?,"{'test_idx': 20, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse Fachschaft GeistSoz, 7, Fritz-Haber-Weg, Innenstadt-Ost Nordöstlicher Teil, Innenstadt-Ost, Karlsruhe, Baden-Württemberg, 76131, Deutschland.']",['Die Fachschaft Geistes- und Sozialwissenschaften hat ihren Sitz in Fritz-Haber-Weg 7.'],0.6987472772598267,0.7263282537460327,0.6731843948364258,1.0,The output correctly conveys the relevant address information (Fritz-Haber-Weg 7) without unnecessary details.,1.0,True
An welcher Adresse ist die Fachschaft WiWi?,"{'test_idx': 21, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse 20.12, 12, Schlossbezirk, Innenstadt-Ost Nordöstlicher Teil, Innenstadt-Ost, Karlsruhe, Baden-Württemberg, 76131, Deutschland.']",['Die Fachschaft WiWi befindet sich am Schlossbezirk 12 in der Innenstadt-Ost von Karlsruhe.'],0.7262274026870728,0.7393814921379089,0.7135331630706787,1.0,"The output conveys the same relevant address information (Schlossbezirk 12) as the expected output, and the additional phrasing is acceptable.",1.0,True
Wo ist die Ambulanz untergebracht?,"{'test_idx': 22, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse Ambulanz, Bruchsaler Straße, Leopoldshafen, Eggenstein-Leopoldshafen, Landkreis Karlsruhe, Baden-Württemberg, 76344, Deutschland.']","['Ich habe nach der Ambulanz auf dem KIT-Campus gesucht. Es gibt mehrere Adressen in der Nähe, die ich gefunden habe. Die genaue Standortangabe ist jedoch nicht eindeutig. Die Adressen sind: \n\n- Bruchsaler Straße in Leopoldshafen\n- Bruchsaler Straße in Leopoldshafen\n- Bruchsaler Straße in Leopoldshafen\n- Engelbert-Arnold-Straße 7 in der Innenstadt-Ost\n- Otto-Ammann-Platz 1 in der Innenstadt-Ost\n\nIch empfehle dir, die KIT-Website zu besuchen oder das KIT-Portal zu kontaktieren, um die genaue Standortangabe der Ambulanz zu erhalten.']",0.6409761309623718,0.6144901514053345,0.6698481440544128,0.0,"The output does not match the expected output in meaning. The expected output provided the exact address of the ambulance, while the output listed multiple nearby addresses and suggested further verification from an external source.",0.0,False
Wie lautet die Adresse von Gebäude 40.16?,"{'test_idx': 23, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse 40.16, 11, Engler-Bunte-Ring, Innenstadt-Ost Nordöstlicher Teil, Innenstadt-Ost, Karlsruhe, Baden-Württemberg, 76131, Deutschland.']",['Die Adresse von Gebäude 40.16 lautet Engler-Bunte-Ring 11.'],0.7665650248527527,0.8333649635314941,0.709679365158081,1.0,"The output provides the relevant address information (street and house number) as expected, though it omits additional details like postal code and city which are not strictly necessary given the context.",1.0,True
An welchem Standort befindet sich Gebäude 06.41?,"{'test_idx': 24, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse 16, Hertzstraße, Binsenschlauch, Nordweststadt, Karlsruhe, Baden-Württemberg, 76187, Deutschland.']","['Das Gebäude 06.41 befindet sich in der Hertzstraße 16, im Stadtviertel Nordweststadt, mit der Postleitzahl 76187. Die genauen Koordinaten sind 49.02129, 8.36819.']",0.7280182838439941,0.7108333110809326,0.7460548877716064,1.0,"The output conveys the same relevant information (street, house number, district, and postal code) as the expected output, even though the phrasing and additional details (coordinates) differ slightly.",1.0,True
An welcher Adresse befindet sich Gebäude 313?,"{'test_idx': 25, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse Eggensteiner Straße, Leopoldshafen, Eggenstein-Leopoldshafen, Landkreis Karlsruhe, Baden-Württemberg, 76344, Deutschland.']","['Die Adresse von Gebäude 313 lautet Eggensteiner Straße, 76344 Leopoldshafen.']",0.7978540658950806,0.826594352722168,0.7710452079772949,1.0,"The output conveys the same relevant address information (Eggensteiner Straße, 76344 Leopoldshafen) as the expected output.",1.0,True
Wie lautet die Anschrift der Englervilla?,"{'test_idx': 26, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse Englervilla, 1, Wilhelm-Jordan-Weg, Innenstadt-Ost Nordöstlicher Teil, Innenstadt-Ost, Karlsruhe, Baden-Württemberg, 76131, Deutschland.']","['Die Adresse der Englervilla ist Wilhelm-Jordan-Weg 1, 76131 Karlsruhe.']",0.8062925934791565,0.862176775932312,0.7572120428085327,1.0,"The output provides the correct street and house number of the Englervilla, which matches the essential information in the expected output.",1.0,True
Was ist der Standort des Chemie-Turm II?,"{'test_idx': 27, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse Chemie-Turm II, 2, Fritz-Haber-Weg, Innenstadt-Ost Nordöstlicher Teil, Innenstadt-Ost, Karlsruhe, Baden-Württemberg, 76131, Deutschland.']",['Das Institut für Physikalische Chemie befindet sich am Fritz-Haber-Weg 2 in der Innenstadt-Ost von Karlsruhe.'],0.7494248151779175,0.7720850110054016,0.728056788444519,1.0,"The output conveys the same relevant information (Fritz-Haber-Weg 2) as the expected output, though it adds more context about the institute rather than just the address. It meets the rubric's requirement of conveying the same meaning.",1.0,True
An welcher Stelle steht das Ernst Gaber Gebäude?,"{'test_idx': 28, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse Ernst Gaber, 7, Otto-Ammann-Platz, Innenstadt-Ost Nordöstlicher Teil, Innenstadt-Ost, Karlsruhe, Baden-Württemberg, 76131, Deutschland.']",['Das Ernst Gaber Gebäude steht auf dem Otto-Ammann-Platz 7 in der Innenstadt-Ost.'],0.7765830159187317,0.8236159086227417,0.7346316576004028,1.0,The output conveys the same information as the expected output by stating that the Ernst Gaber building is located at Otto-Ammann-Platz 7 in Innenstadt-Ost.,1.0,True
Wo liegt das Institutsgebäude Lichttechnik?,"{'test_idx': 29, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse Institutsgebäude Lichttechnik, 13, Engesserstraße, Innenstadt-Ost Nordöstlicher Teil, Innenstadt-Ost, Karlsruhe, Baden-Württemberg, 76131, Deutschland.']","['Das Institut für Lichttechnik (LTI) befindet sich in der Engesserstraße 13, Innenstadt-Ost, 76131 Karlsruhe.']",0.8055605888366699,0.8135459423065186,0.7977305054664612,1.0,The output conveys the same address information as the expected output: Engesserstraße 13 and 76131 Karlsruhe.,1.0,True
An welchem Ort ist Gebäude 274 zu finden?,"{'test_idx': 30, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse Neureuter Straße, Leopoldshafen, Eggenstein-Leopoldshafen, Landkreis Karlsruhe, Baden-Württemberg, 76344, Deutschland.']","['Das Gebäude 274 befindet sich in der Neureuter Straße im Leopoldshafen. Die genauen Koordinaten sind 49.09261, 8.43509.']",0.7189632654190063,0.7043724060058594,0.7341713905334473,1.0,The output conveys the same information about the location of Gebäude 274 as the expected output but uses a slightly different phrasing.,1.0,True
