input,metadata,expected_output,output,FScore,Precision,Recall,LLM_Judge,LLM_Judge_reason,assertions_passed_rate,assertion.LLMJudge_pass
Wie lautet die Adresse von Gebäude 523?,"{'test_idx': 0, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse Campus Nord, Leopoldstraße, Kirchfeld, Neureut, Karlsruhe, Dettenheim, Baden-Württemberg, 76131, Deutschland.']",['Das Gebäude 523 befindet sich auf dem Campus Nord in der Leopoldstraße. Die Postleitzahl ist 76131.'],0.7120406031608582,0.743155837059021,0.6834261417388916,1.0,"The output conveys the same information as the expected output, specifying the building's location on Campus Nord, Leopoldstraße, and the postal code 76131. The additional detail about the building number is acceptable.",1.0,True
An welcher Stelle befindet sich Gebäude 239?,"{'test_idx': 1, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse Eggensteiner Straße, Leopoldshafen, Eggenstein-Leopoldshafen, Landkreis Karlsruhe, Baden-Württemberg, 76344, Deutschland.']","['Das Gebäude 239 befindet sich in der Eggensteiner Straße im Stadtviertel Leopoldshafen. Die genauen Koordinaten sind 49.09322° Nord, 8.43152° Ost.']",0.6977168321609497,0.6712156534194946,0.7263966798782349,0.9,"The output provides the same relevant location (Eggensteiner Straße, Leopoldshafen) but also includes additional details (coordinates) not present in the expected output.",1.0,True
Welche Adresse hat das wbk Institut für Produktionstechnik?,"{'test_idx': 2, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse wbk Institut für Produktionstechnik, 5, Gotthard-Franz-Straße, Oststadt Westlicher Teil, Oststadt, Karlsruhe, Baden-Württemberg, 76131, Deutschland.']",['Das wbk Institut für Produktionstechnik hat die Adresse Gotthard-Franz-Straße 5 in der Oststadt.'],0.8166176676750183,0.8686503171920776,0.7704663872718811,1.0,"The output conveys the relevant address information (Gotthard-Franz-Straße 5) but omits the postal code and district details present in the expected output. Since the rubric allows for omitting non-essential details like postal code and district when the user is expected to be in Karlsruhe, the response is acceptable.",1.0,True
An welchem Standort ist Gebäude 30.33?,"{'test_idx': 3, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse MTI-Hörsaal, Fritz-Haber-Weg, Innenstadt-Ost Nordöstlicher Teil, Innenstadt-Ost, Karlsruhe, Baden-Württemberg, 76131, Deutschland.']",['Das Gebäude 30.33 befindet sich am Fritz-Haber-Weg.'],0.7241308689117432,0.7919586896896362,0.6670047640800476,1.0,"The output correctly identifies the building as being on Fritz-Haber-Weg but does not include all the additional information from the expected output (e.g., MTI-Hörsaal, 76131, Germany). However, since the rubric allows for omitting less specific details as long as the relevant address is conveyed and the user is expected to be based in Karlsruhe, this is acceptable.",1.0,True
Wie ist die Adresse der KIT-Fakultät für Wirtschaftswissenschaften?,"{'test_idx': 4, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse Kollegiengebäude am Kronenplatz, 89-93, Kaiserstraße, Innenstadt-Ost Südwestlicher Teil, Innenstadt-Ost, Karlsruhe, Baden-Württemberg, 76133, Deutschland.']",['Die Adresse der KIT-Fakultät für Wirtschaftswissenschaften ist Kaiserstraße 89-93 in der Innenstadt-Ost.'],0.7379110455513,0.7577105164527893,0.7191199660301208,1.0,"The output conveys the same relevant address information (Kaiserstraße 89-93, Innenstadt-Ost) as the expected output.",1.0,True
An welcher Adresse ist das Institut für Technik der Informationsverarbeitung (ITIV) zu finden?,"{'test_idx': 5, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse 5, Engesserstraße, Innenstadt-Ost Nordöstlicher Teil, Innenstadt-Ost, Karlsruhe, Baden-Württemberg, 76131, Deutschland.']",['Das Institut für Technik der Informationsverarbeitung (ITIV) ist an der Adresse Engesserstraße 5 zu finden.'],0.689436137676239,0.7070716023445129,0.6726589202880859,1.0,"The output correctly conveys the address 'Engesserstraße 5', which matches the expected output.",1.0,True
Wo liegt das Institutsgebäude Nachrichtentechnik?,"{'test_idx': 6, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse Institutsgebäude Nachrichtentechnik, 5, Engesserstraße, Innenstadt-Ost Nordöstlicher Teil, Innenstadt-Ost, Karlsruhe, Baden-Württemberg, 76131, Deutschland.']","['Das Institut für Nachrichtentechnik befindet sich in der Engesserstraße 5, Innenstadt-Ost.']",0.7805812358856201,0.8204278945922852,0.7444257736206055,1.0,"The output conveys the same relevant address information (Engesserstraße 5) and location (Innenstadt-Ost) as the expected output, with slightly different phrasing.",1.0,True
An welcher Adresse ist das Institut für Volkswirtschaftslehre?,"{'test_idx': 7, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse 25, Waldhornstraße, Innenstadt-Ost Südwestlicher Teil, Innenstadt-Ost, Karlsruhe, Baden-Württemberg, 76131, Deutschland.']",['Das Institut für Volkswirtschaftslehre befindet sich in der Waldhornstraße 25 im Stadtviertel Innenstadt-Ost.'],0.7114530205726624,0.7227010726928711,0.7005497217178345,1.0,"The output conveys the same address information (Waldhornstraße 25) as the expected output, even if additional details are omitted.",1.0,True
An welchem Ort befindet sich Gebäude 30.90?,"{'test_idx': 8, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse 30.90, 8, Fritz-Haber-Weg, Innenstadt-Ost Nordöstlicher Teil, Innenstadt-Ost, Karlsruhe, Baden-Württemberg, 76131, Deutschland.']",['Das Gebäude 30.90 befindet sich am Fritz-Haber-Weg 8 im Stadtteil Innenstadt-Ost.'],0.7838278412818909,0.8304144740104675,0.7421905398368835,1.0,"The output conveys the relevant address information (Fritz-Haber-Weg 8) and the location (Innenstadt-Ost), which aligns with the expected output.",1.0,True
Wie ist die Anschrift von Gebäude 245?,"{'test_idx': 9, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse Neureuter Straße, Leopoldshafen, Eggenstein-Leopoldshafen, Landkreis Karlsruhe, Baden-Württemberg, 76344, Deutschland.']",['Das Gebäude mit der Nummer 245 befindet sich in der Neureuter Straße.'],0.743918240070343,0.7980438470840454,0.6966682076454163,0.5,The output conveys the relevant address information (Neureuter Straße) but is missing the postal code and other specific details provided in the expected output.,0.0,False
An welcher Adresse liegt Gebäude 01.99?,"{'test_idx': 10, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse Institut für Telematik - Lehrstuhl Prof. Zitterbart, 40, Kaiserstraße, Innenstadt-Ost Südwestlicher Teil, Innenstadt-Ost, Karlsruhe, Baden-Württemberg, 76133, Deutschland.']",['Das Gebäude 01.99 liegt an der Kaiserstraße 40.'],0.6756851673126221,0.7389450073242188,0.6224023103713989,1.0,The output conveys the same relevant address information (Kaiserstraße 40) as the expected output without unnecessary details.,1.0,True
Wo steht Gebäude 40.25?,"{'test_idx': 11, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse Institutsgebäude Boden- und Felsmechanik, 14, Engler-Bunte-Ring, Innenstadt-Ost Nordöstlicher Teil, Innenstadt-Ost, Karlsruhe, Baden-Württemberg, 76131, Deutschland.']",['Das Gebäude 40.25 befindet sich im Engler-Bunte-Ring 14 in der Innenstadt-Ost von Karlsruhe.'],0.7607565522193909,0.8056513667106628,0.7206011414527893,1.0,"The output conveys the same information as the expected output, including the street (Engler-Bunte-Ring) and house number (14) as well as the location in Karlsruhe.",1.0,True
An welcher Adresse finde ich das International Students Office (INTL)?,"{'test_idx': 12, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse Ehemalige Kinderklinik, 2, Adenauerring, Oststadt Westlicher Teil, Oststadt, Karlsruhe, Baden-Württemberg, 76131, Deutschland.']",['Das International Students Office (INTL) findest du an der Adresse Adenauerring 2 in der Oststadt.'],0.7181686758995056,0.7261502742767334,0.7103607058525085,1.0,The output conveys the correct address (Adenauerring 2) and location (Oststadt) in a different phrasing but matches the expected output in meaning.,1.0,True
Wie lautet der Standort von Gebäude 10.12?,"{'test_idx': 13, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse Studierendenservice, 13, Englerstraße, Innenstadt-Ost Nordöstlicher Teil, Innenstadt-Ost, Karlsruhe, Baden-Württemberg, 76131, Deutschland.']",['Das Gebäude 10.12 befindet sich in der Englerstraße 13 im Stadtviertel Innenstadt-Ost in 76131 Karlsruhe.'],0.784375786781311,0.8088908195495605,0.7613030076026917,1.0,"The output conveys the same relevant address information (Englerstraße 13) and location (Karlsruhe) as the expected output, though the phrasing differs. It does not include unnecessary details like 'Studierendenservice' or 'Nordöstlicher Teil', which is acceptable as it focuses on the core information.",1.0,True
Welche Adresse hat das Institut für Funktionelle Grenzflächen (IFG)?,"{'test_idx': 14, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse Weingartener Straße, Leopoldshafen, Eggenstein-Leopoldshafen, Landkreis Karlsruhe, Baden-Württemberg, 76344, Deutschland.']",['Das Institut für Funktionelle Grenzflächen (IFG) hat die Adresse Weingartener Straße in Leopoldshafen.'],0.7444203495979309,0.7456130981445312,0.7432314157485962,1.0,"The output conveys the same relevant address information as the expected output, including 'Weingartener Straße' and 'Leopoldshafen'.",1.0,True
An welchem Ort ist das Engler-Bunte-Institut (EBI)?,"{'test_idx': 15, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse Engler-Bunte-Institut (EBI), 1a, Engler-Bunte-Ring, Innenstadt-Ost Nordöstlicher Teil, Innenstadt-Ost, Karlsruhe, Baden-Württemberg, 76131, Deutschland.']","['Das Engler-Bunte-Institut (EBI) befindet sich im Innenstadt-Ost-Viertel in Karlsruhe, an der Adresse Engler-Bunte-Ring 1a.']",0.812222421169281,0.8370594382286072,0.7888168096542358,1.0,"The output conveys the same address information as the expected output, with the relevant street and house number included.",1.0,True
An welcher Stelle ist das Institutsgebäude Nachrichtentechnik?,"{'test_idx': 16, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse Institutsgebäude Nachrichtentechnik, 5, Engesserstraße, Innenstadt-Ost Nordöstlicher Teil, Innenstadt-Ost, Karlsruhe, Baden-Württemberg, 76131, Deutschland.']",['Das Institut für Nachrichtentechnik befindet sich in der Hertzstraße 16 in der Nordweststadt.'],0.704497754573822,0.7375890016555786,0.6742482781410217,0.0,The output provides a different address (Hertzstraße 16) rather than the expected one (Engesserstraße 5). The information does not match.,0.0,False
Was ist die Adresse von Gebäude 10.34?,"{'test_idx': 17, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude hat die Adresse 10.34, 4, Kaiserstraße, Innenstadt-Ost Nordöstlicher Teil, Innenstadt-Ost, Karlsruhe, Baden-Württemberg, 76131, Deutschland.']",['Das Gebäude 10.34 befindet sich in der Kaiserstraße 4 im Stadtviertel Innenstadt-Ost. Die Postleitzahl ist 76131.'],0.7496658563613892,0.7594195604324341,0.7401594519615173,1.0,"Die Auskunft enthält die korrekte Straße, Hausnummer, Stadtviertel und Postleitzahl",1.0,True
