input,metadata,expected_output,output,FScore,Precision,Recall,LLM_Judge,LLM_Judge_reason,assertions_passed_rate,assertion.LLMJudge_pass
Hat die Fachschaft Informatik momentan auf?,"{'test_idx': 0, 'turn_idx': 0, 'type': 'single_turn'}","['Ja, das Gebäude ist momentan geöffnet.']","['Die Fachschaft Informatik ist momentan auf, da die Öffnungszeiten laut dem ersten Dokument (Fachschaft Informatik) von Montag bis Freitag von 07:00 bis 22:30 Uhr und am Samstag von 07:00 bis 15:00 Uhr gelten.']",0.6657801866531372,0.5933886766433716,0.7582889795303345,1.0,"The output correctly conveys that the Fachschaft Informatik is currently open, as stated in the expected output. The additional information about the opening hours is also accurate and does not serve as an excuse, which is acceptable given the access to data.",1.0,True
Kann man gerade ins InformatiKOM 1?,"{'test_idx': 1, 'turn_idx': 0, 'type': 'single_turn'}","['Nein, das Gebäude ist momentan geschlossen.']","['Ja, das InformatiKOM 1 ist geöffnet. Laut den Öffnungszeiten ist es von Montag bis Freitag von 09:00 bis 19:00 Uhr geöffnet. Außerdem ist es auch an Sonn- und Feiertagen mit KIT-Card von 07:00 bis 22:00 Uhr geöffnet.']",0.636239230632782,0.5649486780166626,0.7281203866004944,0.0,The output provides conflicting information to the expected answer and incorrectly states that the building is open when it should be stated that it is closed.,0.0,False
Ist der Physik-Hörsaal 3 derzeit zugänglich?,"{'test_idx': 2, 'turn_idx': 0, 'type': 'single_turn'}","['Nein, das Gebäude ist momentan geschlossen.']","['Der Physik-Hörsaal 3 ist derzeit zugänglich, da er von Montag bis Freitag von 09:00 bis 19:00 Uhr und samstags von 09:00 bis 12:30 Uhr geöffnet ist. Darüber hinaus ist er rollstuhlgerechtig.']",0.6410424709320068,0.5730912685394287,0.7272753119468689,0.0,The output contradicts the expected answer by stating the Physics Auditorium 3 is accessible rather than confirming the building is currently closed.,0.0,False
Steht Gebäude 01.90 momentan offen?,"{'test_idx': 3, 'turn_idx': 0, 'type': 'single_turn'}","['Ja, das Gebäude ist momentan geöffnet.']","['Das Gebäude 01.90 ist momentan offen, da die aktuellen Öffnungszeiten laut Dokument lautet: Mo-Fr 09:00-22:00, Sa 10:00-22:00.']",0.7087875604629517,0.6363392472267151,0.7998518943786621,1.0,"The output correctly conveys that the building is currently open, aligning with the expected output. The additional detail about the opening hours is acceptable as it supports the answer.",1.0,True
Kann man aktuell in die Fachschaft GeistSoz?,"{'test_idx': 4, 'turn_idx': 0, 'type': 'single_turn'}","['Ja, das Gebäude ist momentan geöffnet.']",['Die Fachschaft Geistes- und Sozialwissenschaften ist aktuell im Fritz-Haber-Weg 7 erreichbar. Die Öffnungszeiten sind Montag bis Donnerstag von 13:00 bis 14:00 Uhr. Leider ist das Gebäude nicht rollstuhlgerecht.'],0.6738244891166687,0.6012173891067505,0.7663773894309998,0.0,"The output conveys the information that the Fachschaft is currently reachable, but adds irrelevant details about accessibility and address that are not in the expected output.",0.0,False
Ist die Physik-Bibliothek jetzt offen?,"{'test_idx': 5, 'turn_idx': 0, 'type': 'single_turn'}","['Nein, das Gebäude ist momentan geschlossen.']","['Die Physik-Bibliothek ist wahrscheinlich jetzt offen, da die Öffnungszeiten laut den gefundenen Dokumenten von Montag bis Freitag von 09:00 bis 19:00 Uhr und Samstag von 09:00 bis 12:30 Uhr lauten.']",0.6746519804000854,0.6018519401550293,0.7674872875213623,0.0,"The output conveys the opposite information of the expected output, stating the library is likely open instead of closed.",0.0,False
Ist das Gebäude 123 im Moment zugänglich?,"{'test_idx': 6, 'turn_idx': 0, 'type': 'single_turn'}","['Nein, das Gebäude ist momentan geschlossen.']","['Das Gebäude 123 ist derzeit zugänglich, da es Montag bis Freitag von 7:00 bis 18:00 Uhr geöffnet ist.']",0.694025456905365,0.6408727169036865,0.756792426109314,0.0,"The output states that the building is accessible, which contradicts the expected output that it is currently closed.",0.0,False
Kann man gerade in Gebäude 303 rein?,"{'test_idx': 7, 'turn_idx': 0, 'type': 'single_turn'}","['Nein, das Gebäude ist momentan geschlossen.']",['Das Gebäude 303 ist momentan geöffnet. Die Öffnungszeiten sind Montag bis Freitag von 09:00 bis 12:00 Uhr und von 13:00 bis 15:00 Uhr.'],0.6767864227294922,0.5988661646842957,0.7780163884162903,0.0,The output contradicts the expected output by stating the building is open instead of closed.,0.0,False
Ist die Ambulanz derzeit geöffnet?,"{'test_idx': 8, 'turn_idx': 0, 'type': 'single_turn'}","['Ja, das Gebäude ist momentan geöffnet.']",['Die Ambulanz ist 24/7 geöffnet.'],0.7553555965423584,0.7352880239486694,0.7765493988990784,1.0,"The output conveys the correct information that the clinic is currently open, although the phrasing differs slightly from the expected output.",1.0,True
Kann man den KIT Botanischen Garten momentan besuchen?,"{'test_idx': 9, 'turn_idx': 0, 'type': 'single_turn'}","['Ja, das Gebäude ist momentan geöffnet.']",['Der Botanische Garten ist während der Sommerzeit (April bis September) von Montag bis Freitag von 08:00 bis 16:00 Uhr und an Sonn- und Feiertagen von 10:00 bis 16:00 Uhr geöffnet. Während der Winterzeit (Oktober bis März) ist er von Montag bis Freitag von 08:00 bis 15:00 Uhr und an Sonn- und Feiertagen von 10:00 bis 14:00 Uhr geöffnet. Die Adresse des Botanischen Gartens ist Am Fasanengarten 2.'],0.5734325647354126,0.4841799437999725,0.7030270099639893,0.0,"The output provides the opening hours and the address, which includes the relevant information for visiting the garden, but does not directly confirm if it is currently open.",0.0,False
Hat Gebäude 50.40 aktuell geöffnet?,"{'test_idx': 10, 'turn_idx': 0, 'type': 'single_turn'}","['Nein, das Gebäude ist momentan geschlossen.']","['Das Gebäude 50.40 ist aktuell geöffnet, da die Öffnungszeiten laut der verfügbaren Informationen von Montag bis Freitag von 07:00 bis 18:00 Uhr lauten.']",0.6835116744041443,0.6105691194534302,0.7762473225593567,0.0,"The output is factually incorrect, as it states the building is open when the expected output says it is currently closed. The response also provides reasoning that is not consistent with the expected output.",0.0,False
Ist das Internet Café Aso jetzt auf?,"{'test_idx': 11, 'turn_idx': 0, 'type': 'single_turn'}","['Nein, das Gebäude ist momentan geschlossen.']","['Das Internet Café Aso ist wahrscheinlich jetzt offen, da die Öffnungszeiten laut Dokument 01.90 von Montag bis Freitag von 09:00 bis 22:00 Uhr sind. Da es gerade 12:38 Uhr ist, sollte es also geöffnet haben.']",0.6864135265350342,0.6226968169212341,0.7646559476852417,0.0,"The output contradicts the expected output by stating the café is likely open, while the expected output clearly states the building is currently closed.",0.0,False
Kann man momentan in den Otto-Lehmann-Hörsaal?,"{'test_idx': 12, 'turn_idx': 0, 'type': 'single_turn'}","['Nein, das Gebäude ist momentan geschlossen.']","['Ich kann dir nicht sagen, ob der Otto-Lehmann-Hörsaal momentan geöffnet ist, da ich keine aktuellen Öffnungszeiten habe. Der Otto-Lehmann-Hörsaal ist jedoch an den Tagen Montag bis Freitag von 09:00 bis 19:00 Uhr geöffnet.']",0.7029956579208374,0.6375951766967773,0.78334641456604,0.0,The output provides incorrect information about the opening hours of the Otto-Lehmann-Hörsaal and does not convey the correct message that the building is currently closed.,0.0,False
Ist der Physik-Hörsaal 4 gerade zugänglich?,"{'test_idx': 13, 'turn_idx': 0, 'type': 'single_turn'}","['Nein, das Gebäude ist momentan geschlossen.']","['Der Physik-Hörsaal 4 ist rollstuhlgerechtig, da in den Dokumenten eine hohe Relevanz und eine entsprechende Beschreibung gefunden wurde.']",0.6804104447364807,0.6455345153808594,0.7192701697349548,0.0,The output mentions accessibility and relevance of the documents instead of answering the question about the current accessibility of the lecture hall.,0.0,False
Hat das ZML derzeit offen?,"{'test_idx': 14, 'turn_idx': 0, 'type': 'single_turn'}","['Nein, das Gebäude ist momentan geschlossen.']","['Das Zentrum für Mediales Lernen (ZML) ist derzeit von Montag bis Freitag von 09:00 bis 19:00 Uhr geöffnet. Am Wochenende ist es von 07:00 bis 22:00 Uhr geöffnet, wenn man eine KIT-Card besitzt.']",0.6439552903175354,0.5786968469619751,0.7258025407791138,0.0,"The output provides incorrect information about the opening hours of ZML, which contradicts the expected output stating that the building is currently closed.",0.0,False
"Ist das Institut für Theoretische Informatik, AG Kryptographie und Sicherheit momentan geöffnet?","{'test_idx': 15, 'turn_idx': 0, 'type': 'single_turn'}","['Nein, das Gebäude ist momentan geschlossen.']","['Das Institut für Theoretische Informatik, AG Kryptographie und Sicherheit ist momentan geöffnet, da der heutige Tag (Montag) eine Werktag ist und die Öffnungszeiten laut Dokument ""Mo-Fr 07:00-22:30"" lauten.']",0.6887249946594238,0.6152277588844299,0.7821651101112366,0.0,"The output states that the institute is currently open, which contradicts the expected output that says it is currently closed.",0.0,False
Kann man gerade in den Informatikbau?,"{'test_idx': 16, 'turn_idx': 0, 'type': 'single_turn'}","['Nein, das Gebäude ist momentan geschlossen.']","['Ja, der Informatikbau ist offen. Die Öffnungszeiten sind Montag bis Freitag von 07:00 bis 22:30 Uhr und Samstag von 07:00 bis 15:00 Uhr. Die Gebäude befinden sich am Fasanengarten 5 in der Oststadt. Sie sind rollstuhlgerechtig.']",0.6657809019088745,0.5818547010421753,0.7779986262321472,0.0,The output contradicts the expected output by stating the building is open instead of closed.,0.0,False
Hat der Informatikbau aktuell auf?,"{'test_idx': 17, 'turn_idx': 0, 'type': 'single_turn'}","['Nein, das Gebäude ist momentan geschlossen.']","['Die Informatikbauten sind aktuell geöffnet. Die Öffnungszeiten lauten Montag bis Freitag von 07:00 bis 22:30 Uhr, Samstag von 07:00 bis 15:00 Uhr und sind an Sonn- und Feiertagen geschlossen. Die Adressen sind alle Am Fasanengarten 5 in der Oststadt.']",0.6420287489891052,0.5650756359100342,0.7432453632354736,0.0,"The output states that the Informatikbau is currently open, which contradicts the expected output that states it is currently closed.",0.0,False
Ist der Informatikbau derzeit zugänglich?,"{'test_idx': 18, 'turn_idx': 0, 'type': 'single_turn'}","['Ja, das Gebäude ist momentan geöffnet.']","['Der Informatikbau ist derzeit zugänglich. Die Öffnungszeiten sind Montag bis Freitag von 07:00 bis 22:30 Uhr, Samstag von 07:00 bis 15:00 Uhr und an Sonn- und Feiertagen ist er geschlossen.']",0.6351489424705505,0.562366247177124,0.7295717597007751,1.0,The output conveys the same information as the expected output but adds extra details about the opening hours.,1.0,True
Ist die Kantine am Campus Nord momentan geöffnet?,"{'test_idx': 19, 'turn_idx': 0, 'type': 'single_turn'}","['Nein, das Gebäude ist momentan geschlossen.']","['Die Kantine am Campus Nord ist momentan geöffnet, da die aktuelle Uhrzeit (12:39) innerhalb ihrer Öffnungszeiten (Mo-Fr 07:00-18:00) liegt.']",0.6881972551345825,0.6228773593902588,0.768822193145752,0.0,"The output contradicts the expected output by stating the canteen is open, while the expected output says it is closed.",0.0,False
"Ist das Institut für Prozessrechentechnik, Automation und Robotik zurzeit auf?","{'test_idx': 20, 'turn_idx': 0, 'type': 'single_turn'}","['Nein, das Gebäude ist momentan geschlossen.']","['Das Institut für Prozessrechentechnik, Automation und Robotik (IPR) ist zurzeit geöffnet, da die Öffnungszeiten laut dem Dokument lauteten: Mo-Fr 07:00-22:30; Sa 07:00-15:00; Su,PH off.']",0.6544994711875916,0.5832046270370483,0.7456530332565308,0.0,"The output states that the institute is currently open, while the expected output indicates it is closed. These contradict each other in meaning.",0.0,False
Ist das Gebäude 50.40 momentan offen?,"{'test_idx': 21, 'turn_idx': 0, 'type': 'single_turn'}","['Ja, das Gebäude ist momentan geöffnet.']","['Das Gebäude 50.40 ist momentan offen, da es Montag bis Freitag von 07:00 bis 18:00 Uhr geöffnet ist.']",0.7403610348701477,0.6730736494064331,0.8225962519645691,1.0,"The output conveys the same information as the expected output but adds extra details about the opening hours, which is acceptable if the main meaning ('das Gebäude ist momentan offen') is preserved.",1.0,True
Kann man derzeit in Gebäude 310?,"{'test_idx': 22, 'turn_idx': 0, 'type': 'single_turn'}","['Ja, das Gebäude ist momentan geöffnet.']",['Das Gebäude 310 ist derzeit zugänglich. Die Oeffnungszeiten sind Montag bis Freitag von 09:00 bis 12:00 Uhr und von 13:00 bis 15:00 Uhr.'],0.65520179271698,0.5849599838256836,0.7446148991584778,1.0,"The output conveys the same information as the expected output, confirming that the building is currently accessible.",1.0,True
