original_query,fixed_query,retrieved_docs,expected_id,passed,time_taken
 Können Sie mir die Adresse von Gebäude 40.16 m teilen?,40.16,"40.16,40.40,40.18,40.14,30.90",40.16,True,0.5340628623962402
 Ist das Gebäude der physikalischen Chemie bei Jerefrei?,EMPTY,"Bereich I – Biologie, Chemie und Verfahrenstechnik (Campus Süd),Joseph Gottlieb Kölreuter Institut für Pflanzenwissenschaften (JKIP),Experimentelle Teilchenphysik (ETP), Institut für,Physikalisches Institut (PI),Fachschaft Maschinenbau/Chemieingenieurwesen","Physikalische Chemie, Institut für",False,0.22730207443237305
 Wofür finde ich die Homepage der MPR?,EMPTY,"Materialprüfungsanstalt (MPA),Prozessrechentechnik, Automation und Robotik (IPR), Institut für,Institut für Operations Research (IOR), Bereich Diskrete Optimierung und Logistik,30.31,Institut für Operations Research (IOR), Bereich Kontinuierliche Optimierung",Materialprüfungsanstalt (MPA),True,0.15562701225280762
 Wie gelang ich zum Gebäude mit der Nummer 10.63.,10.63,"10.63,10.70,11.22,11.40,Chemie-Hörsaal III (30.41)",10.63,True,0.39185190200805664
 Die Sucht ist der Standford von Gebäude 692.,EMPTY,"692,Werkfeuerwehr,Karlsruhe House of Young Scientists (KHYS),Pressestelle (STS),Zentrale Studienberatung (ZSB)",692,True,0.14177608489990234
 Was sind die Öffnungszeiten von Gebäude 417?,417,"417,40.11,Chemie-Hörsaal III (30.41),Fritz-Haller-Hörsaal (20.40),Rudolf-Criegee-Hörsaal (30.41)",417,True,0.4130697250366211
 Wie gelang ich zu 259?,259,"259,273,351,333,30.42",259,True,0.28862738609313965
 An welcher Adresse finde ich das Gebäude 70.16?,70.16,"70.16,70.12,50.12,30.90,40.16",70.16,True,0.34931015968322754
 Wo befindet sich B254?,254,"B254,254,B252,05.01,459",B254,True,0.39969897270202637
 Welcher Straße finde ich das Gebäude 690?,690,"690,11.22,Lernzentrum am Fasanenschlösschen (Geb. 30.28),KIT-Shuttle (Haltestelle Campus Ost),Karlsruhe House of Young Scientists (KHYS)",690,True,0.3142099380493164
 Kannst du mit den Weg zu Gebäude 0.1.85 zeigen.,01.85,"Nachrichtentechnik-Hörsaal (30.10),Heinrich-Hertz-Hörsaal (10.11),50.19 - InformatiKOM I,40.19,40.11",01.85,False,0.5108418464660645
 Können Sie mir den Standort von Gebäude 10.86 mitteilen?,10.86,"10.86,10.91,11.22,10.22 - LAZ,Mittlerer Hörsaal Maschinenbau (10.91)",10.86,True,0.23195886611938477
 Hat das International Skolas in Rail-Comp Office im Nordcampus gerade auf?,EMPTY,"International Scholars & Welcome Office (Campus Nord),International Scholars & Welcome Office (Campus Süd),02.95,International Students Office (INTL),Schwerbehindertenvertretung (SBV) Campus Nord",International Scholars & Welcome Office (Campus Nord),True,0.2484750747680664
 Man hat Gebäude 800-3 geöffnet.,80  803,"803,30.21,Fritz-Haller-Hörsaal (20.40),Chemie-Hörsaal III (30.41),Kleiner Hörsaal Bauingenieure (10.50)",803,True,0.6780710220336914
 Wie finde ich den Weg zum IBAP?,EMPTY,"Berufspädagogik und Allgemeine Pädagogik (IBAP), Institut für,Beschleunigerphysik und Technologie (IBPT) - Direktor/Verwaltung, Institut für,Angewandte Materialien - Angewandte Werkstoffphysik (IAM-AWP), Institut für,Institut für Arbeitswissenschaft und Betriebsorganisation (ifab),Astroteilchenphysik (IAP), Institut für","Berufspädagogik und Allgemeine Pädagogik (IBAP), Institut für",True,0.2125530242919922
 Was ist der schnellste Weg zum Gebäude 607?,607,"9607,607,11.22,30.91,Thermische Verfahrenstechnik, Institut für",607,True,0.22478103637695312
 Ist der Zugang zu Gebäude 7011 ein hierher frei?,70.11,"70.11,Bereich IV - Natürliche und gebaute Umwelt (CS),Lernzentrum am Fasanenschlösschen (Geb. 30.28),Fritz-Haller-Hörsaal (20.40),Forschungsförderung (FOR) CS",70.11,True,0.2025759220123291
 Verfügt der Hauptengang des Gebäudes 633 über eine barrierefreie Zugangsmöglichkeit?,633,"9633 B,9633 A,633",633,True,0.2248992919921875
 Ist das Gebäude 40.02 Barriere frei zugänglich?,40.02,"40.02,20.40,Fritz-Haller-Hörsaal (20.40),Rudolf-Criegee-Hörsaal (30.41),40.11",40.02,True,0.18030786514282227
" Können Sie mir sagen, was das Institut für Mikroverfahrenstechnik geöffnet hat?",EMPTY,"Mikroverfahrenstechnik (IMVT) , Institut für,Thermische Verfahrenstechnik, Institut für,Mikro- und Nanoelektronische Systeme (IMS), Institut für,Professur für Makroökonomik, Institut für Volkswirtschaftslehre (ECON),Professur für Netzwerkökonomie, Institut für Volkswirtschaftslehre (ECON","Mikroverfahrenstechnik (IMVT) , Institut für",True,0.13038897514343262
 Kannst du mir den Weg zum Institut für Sport und Sportwissenschaften zeigen?,EMPTY,"Sport und Sportwissenschaft, Institut für,Fachschaft Sport,Institut für Arbeitswissenschaft und Betriebsorganisation (ifab),Biologische Grenzflächen (IBG), Institut für,Biomedizinische Technik, Institut für","Sport und Sportwissenschaft, Institut für",True,0.20268583297729492
 Können Sie mir den Standort von Gebäude 145 m teil?,145,"145,30.33,30.31,10.91,11.22",145,True,0.2855820655822754
" Kann man 11, 40 eigentlich mit einem Rollstuhl erreichen?",EMPTY,"40.40,40.16,40.18,40.15,40.14",11.40,False,0.13077712059020996
 Hat Gebäude 741 momentan geöffnet.,74.1,"741,145,Chemie-Hörsaal III (30.41),Fritz-Haller-Hörsaal (20.40),Franz-Grashof-Hörsaal (10.91)",741,True,0.4298858642578125
 Können Sie mir den Weg zu Gebäude 309 ansech zeigen?,309,"309,407,10.22 - LAZ,10.23,10.91",329,False,0.5618581771850586
 In welchen Bereich finde ich den Gewollde komplex 10.84.,EMPTY,"10.84,30.24,10.91,Bereich IV - Natürliche und gebaute Umwelt (CS),Bereich IV - Natürliche und gebaute Umwelt (CN)",10.84,True,0.560114860534668
 Können Sie mir den besten Weg zum KIT-Schatten am Campus-Os zeigen?,EMPTY,"30.51,KIT-Zentrum Energie,KIT-Shuttle (Haltestelle Campus Ost),KIT-Shuttle (Haltestelle Campus Nord, Südtor),KIT-Zentrum für Klima und Umwelt",KIT-Shuttle (Haltestelle Campus Ost),True,0.45475196838378906
