id,query,rephrased_query,position,num_turn,failed
30.29,Wo ist Gebäude 30.29?,Wo befindet sich Gebäude 30.29?,1,1,0
30.29,Wie komme ich dahin?,Wie komme ich zum Center für Innovation & Entrepreneurship?,1,2,0
30.29,Ist das auch rollstuhlgerecht?,Ist das Center für Innovation & Entrepreneurship (30.29) rollstuhlgerecht?,1,3,0
30.29,Wie lange ist das noch offen?,Wie lange ist das Center für Innovation & Entrepreneurship (30.29) noch offen?,1,4,0
30.46,Wie komme ich zu Gebäude 30.46?,Welches Gebäude ist Gebäude 30.46?,1,1,0
30.46,Ist das auch rollstuhlgerecht?,Ist der Chemie-Turm III rollstuhlgerecht?,1,2,0
30.46,Und hat es gerade offen?,Ist Chemie-Turm III (30.46) gerade offen?,1,3,0
419,Wie komme ich zu Gebäude 419?,Welches Gebäude ist Gebäude 419?,1,1,0
419,Was sind die Öffnungszeiten?,Was sind die Öffnungszeiten von Gebäude 419?,1,2,0
419,Gibt es eine Website davon?,Welche Website gibt es zu Gebäude 419?,1,3,0
40.16,Wo ist Gebäude 40.16?,Wo befindet sich Gebäude 40.16?,1,1,0
40.16,Wie komme ich dahin?,Wie komme ich zu Gebäude 40.16?,1,2,0
40.16,Ist das auch rollstuhlgerecht?,Ist Gebäude 40.16 rollstuhlgerecht?,1,3,0
40.16,Wann öffnet es?,Wann öffnet Gebäude 40.16?,1,4,0
430,Was ist die Webseite von Gebäude 430?,Welche Webseite gehört zum Gebäude 430?,1,1,0
430,Wie lange ist das noch offen?,Wie lange ist Gebäude 430 noch offen?,1,2,0
"Physikalische Chemie, Institut für","Ist Gebäude Physikalische Chemie, Institut für rollstuhlgerecht?",Ist das Gebäude der Physikalischen Chemie rollstuhlgerecht?,-1,1,1
"Physikalische Chemie, Institut für",Wo ist das?,Wo ist das Gebäude der Physikalischen Chemie?,5,2,0
"Physikalische Chemie, Institut für",Gibt es eine Website davon?,Wo ist die Website von Chemie-Turm II?,2,3,0
152,Wie komme ich zu Gebäude 152?,Wie komme ich zu Gebäude 152?,1,1,0
152,Wo ist das?,Wo ist Gebäude 152?,1,2,0
152,Gibt es eine Website davon?,Wo ist die Website von Gebäude 152?,1,3,0
152,Wie lange ist das noch offen?,Wie lange ist Gebäude 152 noch offen?,1,4,0
Materialprüfungsanstalt (MPA),Was ist die Webseite von Gebäude Materialprüfungsanstalt (MPA)?,Was ist die Webseite der Materialprüfungsanstalt (MPA)?,1,1,0
Materialprüfungsanstalt (MPA),Wie lange ist das noch offen?,Wie lange ist die Prüfhalle der Materialprüfungsanstalt (MPA) noch offen?,1,2,0
666,Wo ist Gebäude 666?,Welches Gebäude ist Gebäude 666?,1,1,0
666,Ist das auch rollstuhlgerecht?,Is Gebäude 666 rollstuhlgerecht?,1,2,0
"Germanistik: Literatur, Sprache, Medien (GER), Institut für","Ist Gebäude Germanistik: Literatur, Sprache, Medien (GER), Institut für rollstuhlgerecht?","Welche Einrichtungen sind im Gebäude Germanistik: Literatur, Sprache, Medien (GER)?",1,1,0
"Germanistik: Literatur, Sprache, Medien (GER), Institut für",Wie komme ich dahin?,Wie komme ich zum Franz-Schnabel-Haus?,2,2,0
239,Wo ist Gebäude 239?,Welches Gebäude ist Gebäude 239?,1,1,0
239,Und hat es gerade offen?,Hat Gebäude 239 gerade geöffnet?,1,2,0
239,Gibt es eine Website davon?,Gibt es eine Website für Gebäude 239?,1,3,0
239,Wie komme ich dahin?,Wie komme ich zu Gebäude 239?,1,4,0
Engler-Bunte-Hörsaal,Wo ist Gebäude Engler-Bunte-Hörsaal?,Wo ist der Engler-Bunte-Hörsaal?,-1,1,1
