input,metadata,expected_output,output,FScore,Precision,Recall,LLM_Judge,LLM_Judge_reason,assertions_passed_rate,assertion.LLMJudge_pass
Zeige mir die Homepage des Instituts für Wasser und Gewässerentwicklung - Wasserwirtschaft und Kulturtechnik,"{'test_idx': 0, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Ich habe die Website für dich in deinem Browser geöffnet.'],0.9813960194587708,0.9844204187393188,0.9783902168273926,1.0,"The output conveys the same information as the expected output, with only a minor difference in wording ('Website' vs. 'Webseite')",1.0,True
Nenne die URL des Alten Maschinenbaugebäudes,"{'test_idx': 1, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Ich habe die Website für dich in deinem Browser geöffnet.'],0.9813960194587708,0.9844204187393188,0.9783902168273926,1.0,"The output conveys the same information as the expected output, only using 'Website' instead of 'Webseite'.",1.0,True
Navigate to the website of Applied Materials - Ceramic Materials and Technologies Institute,"{'test_idx': 2, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Ich habe die Website für dich in deinem Browser geöffnet.'],0.9813960194587708,0.9844204187393188,0.9783902168273926,1.0,"The output conveys the same meaning as the expected output, with only slight differences in phrasing ('Webseite' vs. 'Website')",1.0,True
Wie lautet der Weblink zum Kollegiengebäude am Zirkel?,"{'test_idx': 3, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Ich habe die Website für dich in deinem Browser geöffnet.'],0.9813960194587708,0.9844204187393188,0.9783902168273926,1.0,"The output conveys the same information as the expected output, only using 'Website' instead of 'Webseite'.",1.0,True
Gib mir die Internetadresse des Instituts für Technik der Informationsverarbeitung,"{'test_idx': 4, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Ich habe die Website für dich in deinem Browser geöffnet.'],0.9813960194587708,0.9844204187393188,0.9783902168273926,1.0,"The output conveys the same meaning as the expected output, with only minor differences in wording.",1.0,True
Zeige die Webadresse des Instituts für Sport und Sportwissenschaft,"{'test_idx': 5, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Ich habe die Website für dich in deinem Browser geöffnet.'],0.9813960194587708,0.9844204187393188,0.9783902168273926,1.0,The output conveys the same information as the expected output using slightly different wording ('Website' vs. 'Webseite'),1.0,True
Link zur WIWI Fachbibliothek gesucht,"{'test_idx': 6, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Ich habe die Website für dich in deinem Browser geöffnet.'],0.9813960194587708,0.9844204187393188,0.9783902168273926,1.0,"The output conveys the same meaning as the expected output, only using 'Website' instead of 'Webseite'",1.0,True
Internetpräsenz des IWG - Bereich Wasserwirtschaft und Kulturtechnik,"{'test_idx': 7, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Ich habe die Website für dich in deinem Browser geöffnet.'],0.9813960194587708,0.9844204187393188,0.9783902168273926,1.0,The output 'Website' is synonymous with 'Webseite' and conveys the same information as the expected output.,1.0,True
Navigiere zur Webseite des Instituts für Technische Physik,"{'test_idx': 8, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Ich habe die Website für dich in deinem Browser geöffnet.'],0.9813960194587708,0.9844204187393188,0.9783902168273926,1.0,"The output conveys the same information as the expected output, differing only in the use of 'Website' instead of 'Webseite'",1.0,True
Rufe die Homepage des Instituts für Mechanische Verfahrenstechnik und Mechanik auf,"{'test_idx': 9, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Ich habe die Website für dich in deinem Browser geöffnet.'],0.9813960194587708,0.9844204187393188,0.9783902168273926,1.0,The output conveys the same information as the expected output using slightly different phrasing ('Website' instead of 'Webseite'),1.0,True
URL der KIT-Bibliothek Nord anzeigen,"{'test_idx': 10, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Ich habe die Website für dich in deinem Browser geöffnet.'],0.9813960194587708,0.9844204187393188,0.9783902168273926,1.0,"The output conveys the same information as the expected output, only differing in the phrasing of 'Webseite' versus 'Website'",1.0,True
Zeige den Webauftritt des ITES,"{'test_idx': 11, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Ich habe die Website für dich in deinem Browser geöffnet.'],0.9813960194587708,0.9844204187393188,0.9783902168273926,1.0,"The output conveys the same information as the expected output, using 'Website' instead of 'Webseite'",1.0,True
Homepage des Physik-Hochhauses anzeigen,"{'test_idx': 12, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Ich habe die Website für dich in deinem Browser geöffnet.'],0.9813960194587708,0.9844204187393188,0.9783902168273926,1.0,"The output conveys the same information as the expected output, only using 'Website' instead of 'Webseite'",1.0,True
Internetadresse des Forschungszentrums Umwelt gesucht,"{'test_idx': 13, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Ich habe die Website für dich in deinem Browser geöffnet.'],0.9813960194587708,0.9844204187393188,0.9783902168273926,1.0,"The output conveys the same information as the expected output, using 'Website' instead of 'Webseite' but with no meaningful difference in context or intent.",1.0,True
Besuche die Website des Instituts für Berufspädagogik und Allgemeine Pädagogik,"{'test_idx': 14, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Ich habe die Website für dich in deinem Browser geöffnet.'],0.9813960194587708,0.9844204187393188,0.9783902168273926,1.0,"The output conveys the same information as the expected output, with only a minor difference in wording ('Website' vs. 'Webseite')",1.0,True
"Rufe die Seite des Engler-Bunte-Instituts, Bereich Wasserchemie auf","{'test_idx': 15, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Ich habe die Website für dich in deinem Browser geöffnet.'],0.9813960194587708,0.9844204187393188,0.9783902168273926,1.0,"The output conveys the same information as the expected output, only using 'Website' instead of 'Webseite'.",1.0,True
Homepage des Facility Management anzeigen,"{'test_idx': 16, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Ich habe die Website für dich in deinem Browser geöffnet.'],0.9813960194587708,0.9844204187393188,0.9783902168273926,1.0,The output conveys the same information as the expected output with only a slight variation in wording ('Website' instead of 'Webseite'),1.0,True
Webadresse des Studierendenservice gesucht,"{'test_idx': 17, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Ich habe die Website für dich in deinem Browser geöffnet.'],0.9813960194587708,0.9844204187393188,0.9783902168273926,1.0,"The output conveys the same information as the expected output, using 'Website' instead of 'Webseite' but meaning is consistent",1.0,True
Internetpräsenz des Alten Maschinenbaugebäudes,"{'test_idx': 18, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Ich habe die Website für dich in deinem Browser geöffnet.'],0.9813960194587708,0.9844204187393188,0.9783902168273926,1.0,The output conveys the same information as the expected output with only minor wording differences ('Website' vs. 'Webseite'),1.0,True
Navigate to the Energy Lab website,"{'test_idx': 19, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Ich habe die Website für dich in deinem Browser geöffnet.'],0.9813960194587708,0.9844204187393188,0.9783902168273926,1.0,"The output conveys the same information as the expected output, confirming that the website was opened in the user's browser.",1.0,True
Zeige die Website des Kollegiengebäudes am Kronenplatz,"{'test_idx': 20, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Ich habe die Website für dich in deinem Browser geöffnet.'],0.9813960194587708,0.9844204187393188,0.9783902168273926,1.0,The output conveys the same information as the expected output with only minor phrasing differences.,1.0,True
URL des Instituts für Fördertechnik und Logistiksysteme,"{'test_idx': 21, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Ich habe die Website für dich in deinem Browser geöffnet.'],0.9813960194587708,0.9844204187393188,0.9783902168273926,1.0,The output conveys the same information as the expected output with a slight variation in wording ('Website' instead of 'Webseite'),1.0,True
Webadresse des ZAR anzeigen,"{'test_idx': 22, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Ich habe die Website für dich in deinem Browser geöffnet.'],0.9813960194587708,0.9844204187393188,0.9783902168273926,1.0,The output conveys the same information as the expected output with only minor differences in wording.,1.0,True
Besuche die Homepage des Kollegiengebäudes am Zirkel,"{'test_idx': 23, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],"['Mit diesem Link kannst du dich zum Gebäude führen lassen: https://www.google.com/maps/dir/?api=1&destination=49.01253,8.40793']",0.5666321516036987,0.5002067685127258,0.6534011960029602,0.0,The output provides a way to navigate to the building but does not confirm that the website was opened as expected.,0.0,False
Link zum Verwaltungsgebäude gesucht,"{'test_idx': 24, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],"['Das Verwaltungsgebäude des KIT befindet sich in der Kaiserstraße 12, 76131 Karlsruhe.']",0.619371771812439,0.6109546422958374,0.6280241012573242,0.0,"The output provides an address instead of confirming the website was opened, which does not match the expected output in meaning.",0.0,False
Zeige mir die Homepage des Postbeamtenkrankenkasse-Gebäudes,"{'test_idx': 25, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Ich habe die Website für dich in deinem Browser geöffnet.'],0.9813960194587708,0.9844204187393188,0.9783902168273926,1.0,"The output conveys the same information as the expected output, using 'Website' instead of 'Webseite' but in the same context.",1.0,True
Navigate to the HOC building's website,"{'test_idx': 26, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Ich habe die Website für dich in deinem Browser geöffnet.'],0.9813960194587708,0.9844204187393188,0.9783902168273926,1.0,"The output conveys the same information as the expected output, only using 'Website' instead of 'Webseite'.",1.0,True
Wie lautet die URL des Instituts für Elektroenergiesysteme und Hochspannungstechnik?,"{'test_idx': 27, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Ich habe die Website für dich in deinem Browser geöffnet.'],0.9813960194587708,0.9844204187393188,0.9783902168273926,1.0,The output conveys the same information as the expected output with only minor wording differences ('Website' instead of 'Webseite'),1.0,True
Finde die Webadresse des IPE-Instituts,"{'test_idx': 28, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Ich habe die Website für dich in deinem Browser geöffnet.'],0.9813960194587708,0.9844204187393188,0.9783902168273926,1.0,"The output conveys the same information as the expected output, only using 'Website' instead of 'Webseite'",1.0,True
Navigiere zur Website des IAM-AWP Instituts,"{'test_idx': 29, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Ich habe die Website für dich in deinem Browser geöffnet.'],0.9813960194587708,0.9844204187393188,0.9783902168273926,1.0,"The output conveys the same information as the expected output, differing only in the use of 'Website' instead of 'Webseite'.",1.0,True
Wo finde ich die Webseite der Fachschaft Mathe/Informatik?,"{'test_idx': 30, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Ich habe die Website für dich in deinem Browser geöffnet.'],0.9813960194587708,0.9844204187393188,0.9783902168273926,1.0,The output conveys the same meaning as the expected output by informing the user that the website was opened in their browser.,1.0,True
Wie komme ich auf die Website des Zirkel-Kollegiengebäudes?,"{'test_idx': 31, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Ich habe die Website für dich in deinem Browser geöffnet.'],0.9813960194587708,0.9844204187393188,0.9783902168273926,1.0,"The output conveys the same information as the expected output, with only minor differences in wording.",1.0,True
Gehe zur Webseite des Instituts für Neutronenphysik und Reaktortechnik,"{'test_idx': 32, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Ich habe die Website für dich in deinem Browser geöffnet.'],0.9813960194587708,0.9844204187393188,0.9783902168273926,1.0,"The output conveys the same information as the expected output, only using 'Website' instead of 'Webseite'",1.0,True
Zeige die Homepage des Verwaltungsgebäudes,"{'test_idx': 33, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Ich habe die Website für dich in deinem Browser geöffnet.'],0.9813960194587708,0.9844204187393188,0.9783902168273926,1.0,"The output conveys the same information as the expected output, using 'Website' instead of 'Webseite', which is a minor variation in phrasing.",1.0,True
Suche die Website der Wirtschaftswissenschaften Fachschaft,"{'test_idx': 34, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Ich habe die Website für dich in deinem Browser geöffnet.'],0.9813960194587708,0.9844204187393188,0.9783902168273926,1.0,"The output conveys the same information as the expected output, indicating that the website has been opened in the user's browser.",1.0,True
Wie erreiche ich die Webseite des Physik-Hochhauses?,"{'test_idx': 35, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Ich habe die Website für dich in deinem Browser geöffnet.'],0.9813960194587708,0.9844204187393188,0.9783902168273926,1.0,The output conveys the same information as the expected output using different wording ('Website' vs. 'Webseite'),1.0,True
Besuche die Website des IPS-Instituts,"{'test_idx': 36, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],"['Ich habe die Informationen über die verschiedenen Institute gefunden. Um dir zu helfen, benötige ich jedoch noch mehr Informationen über deine spezifische Frage. Welches Institut möchtest du besuchen oder mehr über wissen?']",0.6901590824127197,0.6445057988166809,0.7427730560302734,0.0,"The output does not convey the same information as the expected output. The expected output indicates that the website has been opened, while the provided output suggests that more information is needed.",0.0,False
Wo ist die Homepage des ITEC zu finden?,"{'test_idx': 37, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Ich habe die Website für dich in deinem Browser geöffnet.'],0.9813960194587708,0.9844204187393188,0.9783902168273926,1.0,"The output conveys the same information as the expected output, only using 'Website' instead of 'Webseite'.",1.0,True
Wie lautet die Webadresse der Architektur-Fakultät?,"{'test_idx': 38, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Ich habe die Website für dich in deinem Browser geöffnet.'],0.9813960194587708,0.9844204187393188,0.9783902168273926,1.0,"The output conveys the same information as the expected output, using 'Website' instead of 'Webseite' but with no difference in meaning.",1.0,True
Zeige mir die Website des ETI,"{'test_idx': 39, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Ich habe die Website für dich in deinem Browser geöffnet.'],0.9813960194587708,0.9844204187393188,0.9783902168273926,1.0,The output conveys the same meaning as the expected output with only minor differences in wording ('Website' vs. 'Webseite'),1.0,True
Finde die Homepage des Lichttechnik-Institutsgebäudes,"{'test_idx': 40, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Ich habe die Website für dich in deinem Browser geöffnet.'],0.9813960194587708,0.9844204187393188,0.9783902168273926,1.0,"Both 'Website' and 'Webseite' refer to the same concept, and the overall meaning is the same: the chatbot opened the homepage in the user's browser.",1.0,True
Besuche die Webseite des Physik-Hochhauses,"{'test_idx': 41, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Ich habe die Website für dich in deinem Browser geöffnet.'],0.9813960194587708,0.9844204187393188,0.9783902168273926,1.0,The output conveys the same information as the expected output using a slightly different wording ('Website' instead of 'Webseite'),1.0,True
Wie komme ich zur Website des Informatikgebäudes?,"{'test_idx': 42, 'turn_idx': 0, 'type': 'single_turn'}",['Ich habe die Webseite für dich in deinem Browser geöffnet.'],['Ich habe die Website für dich in deinem Browser geöffnet.'],0.9813960194587708,0.9844204187393188,0.9783902168273926,1.0,"The output conveys the same meaning as the expected output, only differing slightly in wording ('Webseite' vs 'Website')",1.0,True
