input,metadata,expected_output,output,FScore,Precision,Recall,LLM_Judge,LLM_Judge_reason,assertions_passed_rate,assertion.LLMJudge_pass
Hat die Fachschaft Informatik momentan auf?,"{'test_idx': 0, 'turn_idx': 0, 'type': 'single_turn'}","['Ja, das Gebäude ist momentan geöffnet.']","['Ja, die Fachschaft Informatik ist jetzt geöffnet.']",0.8626914024353027,0.8336319923400879,0.8938499689102173,1.0,"The output conveys the same information as the expected output, indicating that the Fachschaft Informatik is currently open.",1.0,True
Kann man gerade ins InformatiKOM 1?,"{'test_idx': 1, 'turn_idx': 0, 'type': 'single_turn'}","['Nein, das Gebäude ist momentan geschlossen.']",['Ich konnte keine genauen Informationen zu den Öffnungszeiten des InformatiKOM 1 finden.'],0.683923065662384,0.6601678133010864,0.7094517946243286,0.0,"The output conveys that the building is not accessible or its status is unknown, but does not state explicitly that it is closed as in the expected output.",0.0,False
Ist der Physik-Hörsaal 3 derzeit zugänglich?,"{'test_idx': 2, 'turn_idx': 0, 'type': 'single_turn'}","['Nein, das Gebäude ist momentan geschlossen.']",['Der Physik-Hörsaal 3 ist derzeit zugänglich.'],0.7344217896461487,0.7278900742530823,0.7410717010498047,0.0,The output states the opposite of the expected output regarding accessibility of the lecture hall.,0.0,False
Steht Gebäude 01.90 momentan offen?,"{'test_idx': 3, 'turn_idx': 0, 'type': 'single_turn'}","['Ja, das Gebäude ist momentan geöffnet.']","['Das Gebäude 01.90 ist momentan offen, da seine Öffnungszeiten von Montag bis Freitag von 09:00 bis 22:00 Uhr reichen, was die aktuelle Zeit (18:00 Uhr) einschließt.']",0.6966345310211182,0.6188708543777466,0.7967494130134583,1.0,"The output correctly conveys that the building is currently open, aligning with the expected output in meaning, even though the phrasing differs.",1.0,True
Kann man aktuell in die Fachschaft GeistSoz?,"{'test_idx': 4, 'turn_idx': 0, 'type': 'single_turn'}","['Ja, das Gebäude ist momentan geöffnet.']",['Die Fachschaft Geistes- und Sozialwissenschaften ist aktuell geöffnet.'],0.7413052916526794,0.7098345756530762,0.7756959199905396,1.0,"The output conveys the same information as the expected output, confirming that the Fachschaft is currently open.",1.0,True
Ist die Physik-Bibliothek jetzt offen?,"{'test_idx': 5, 'turn_idx': 0, 'type': 'single_turn'}","['Nein, das Gebäude ist momentan geschlossen.']",['Die Physik-Bibliothek ist jetzt offen.'],0.7845763564109802,0.7938421368598938,0.775524377822876,0.0,The output contradicts the expected output by stating the library is open instead of closed.,0.0,False
Ist das Gebäude 123 im Moment zugänglich?,"{'test_idx': 6, 'turn_idx': 0, 'type': 'single_turn'}","['Nein, das Gebäude ist momentan geschlossen.']","['Das Gebäude 123 ist derzeit geöffnet, da es von Montag bis Freitag von 07:00 bis 18:00 Uhr geöffnet ist.']",0.707517147064209,0.6526715755462646,0.7724259495735168,0.0,"The output states that the building is currently open, which contradicts the expected output that it is currently closed.",0.0,False
Kann man gerade in Gebäude 303 rein?,"{'test_idx': 7, 'turn_idx': 0, 'type': 'single_turn'}","['Nein, das Gebäude ist momentan geschlossen.']",['Das Gebäude 303 ist von Montag bis Freitag von 09:00 bis 12:00 Uhr und von 13:00 bis 15:00 Uhr geöffnet.'],0.6476669311523438,0.5768876671791077,0.7382431030273438,0.0,The output provides opening hours but does not directly answer the question about current access to the building. It lacks the clarity of the expected output.,0.0,False
Ist die Ambulanz derzeit geöffnet?,"{'test_idx': 8, 'turn_idx': 0, 'type': 'single_turn'}","['Ja, das Gebäude ist momentan geöffnet.']",['Die Ambulanz ist derzeit geöffnet.'],0.7769177556037903,0.7715541124343872,0.7823565006256104,1.0,"Die Aussage 'Die Ambulanz ist derzeit geöffnet.' entspricht inhaltlich der erwarteten Antwort 'Ja, das Gebäude ist momentan geöffnet.'",1.0,True
Kann man den KIT Botanischen Garten momentan besuchen?,"{'test_idx': 9, 'turn_idx': 0, 'type': 'single_turn'}","['Ja, das Gebäude ist momentan geöffnet.']",['Das Institut für Botanik ist von April bis September Montag bis Freitag von 08:00 bis 16:00 Uhr geöffnet und an Sonntagen und an Feiertagen von 10:00 bis 16:00 Uhr. Von Oktober bis März ist es Montag bis Freitag von 08:00 bis 15:00 Uhr geöffnet und an Sonntagen und an Feiertagen von 10:00 bis 14:00 Uhr.'],0.5906890034675598,0.5022746324539185,0.7168798446655273,0.0,"The output does not match the expected output in meaning. The expected output states that the garden is currently open, but the provided output includes general opening hours without confirming current status.",0.0,False
Hat Gebäude 50.40 aktuell geöffnet?,"{'test_idx': 10, 'turn_idx': 0, 'type': 'single_turn'}","['Nein, das Gebäude ist momentan geschlossen.']",['Das Gebäude 50.40 ist aktuell geöffnet.'],0.7910871505737305,0.7884215712547302,0.7937708497047424,0.0,"The output states the building is currently open, which contradicts the expected output that it is closed.",0.0,False
Ist das Internet Café Aso jetzt auf?,"{'test_idx': 11, 'turn_idx': 0, 'type': 'single_turn'}","['Nein, das Gebäude ist momentan geschlossen.']","['""Das Internet Café Aso ist jetzt geöffnet. Es ist von Montag bis Freitag von 09:00 bis 22:00 Uhr geöffnet und am Samstag von 10:00 bis 22:00 Uhr.""']",0.6466591954231262,0.5795601606369019,0.7313294410705566,0.0,"The output states that the Internet Café Aso is open, which contradicts the expected output stating it is currently closed.",0.0,False
Kann man momentan in den Otto-Lehmann-Hörsaal?,"{'test_idx': 12, 'turn_idx': 0, 'type': 'single_turn'}","['Nein, das Gebäude ist momentan geschlossen.']","['Das ist ein interessantes Ergebnis! Ich habe mehrere Dokumente gefunden, die mit ""Hörsaal"" im Namen übereinstimmen. Der Otto-Lehmann-Hörsaal scheint das relevanteste zu sein, da er eine Relevanz von 0,069 hat.\n\nBasierend auf den verfügbaren Informationen, kann ich sagen, dass der Otto-Lehmann-Hörsaal von Montag bis Freitag von 09:00 bis 19:00 Uhr geöffnet ist. Leider habe ich keine Informationen über die aktuellen Öffnungszeiten, aber ich kann dir sagen, dass er barrierefrei ist.\n\nWenn du also jetzt im Otto-Lehmann-Hörsaal sein möchtest, kannst du hingehen, da er momentan geöffnet ist.']",0.6588899493217468,0.5866883993148804,0.7513566613197327,0.0,"The output claims the Otto-Lehmann-Hörsaal is currently open, which contradicts the expected output stating the building is currently closed. The information conveyed is incorrect and does not align with the expected response.",0.0,False
Ist der Physik-Hörsaal 4 gerade zugänglich?,"{'test_idx': 13, 'turn_idx': 0, 'type': 'single_turn'}","['Nein, das Gebäude ist momentan geschlossen.']",['Das Physik-Hörsaal 4 ist rollstuhlgerecht.'],0.7173457741737366,0.6994338035583496,0.7361993193626404,0.0,"The output does not convey the information that the Physics Lecture Hall 4 is currently inaccessible; instead, it discusses accessibility for wheelchairs.",0.0,False
Hat das ZML derzeit offen?,"{'test_idx': 14, 'turn_idx': 0, 'type': 'single_turn'}","['Nein, das Gebäude ist momentan geschlossen.']",['Das Zentrum für Mediales Lernen (ZML) ist derzeit geöffnet.'],0.7325229048728943,0.7054749131202698,0.7617275714874268,0.0,The output contradicts the expected output by stating the center is open instead of closed.,0.0,False
"Ist das Institut für Theoretische Informatik, AG Kryptographie und Sicherheit momentan geöffnet?","{'test_idx': 15, 'turn_idx': 0, 'type': 'single_turn'}","['Nein, das Gebäude ist momentan geschlossen.']","['Das Institut für Theoretische Informatik, AG Kryptographie und Sicherheit ist momentan geöffnet, da die aktuellen Öffnungszeiten laut deiner Information von Montag bis Freitag von 07:00 bis 22:30 Uhr lauten.']",0.6795874834060669,0.604070782661438,0.77668297290802,0.0,"The output states the institute is currently open, which contradicts the expected output that states the building is currently closed.",0.0,False
Kann man gerade in den Informatikbau?,"{'test_idx': 16, 'turn_idx': 0, 'type': 'single_turn'}","['Nein, das Gebäude ist momentan geschlossen.']",['Die Fachschaft Informatik ist jetzt geöffnet.'],0.7470904588699341,0.74156653881073,0.7526973485946655,0.0,The output contradicts the expected output by stating the building is open instead of closed,0.0,False
Hat der Informatikbau aktuell auf?,"{'test_idx': 17, 'turn_idx': 0, 'type': 'single_turn'}","['Nein, das Gebäude ist momentan geschlossen.']","['Ja, die Fachschaft Informatik ist aktuell geöffnet.']",0.7983257174491882,0.7744970917701721,0.8236671686172485,0.0,The output contradicts the expected output; the information is not consistent,0.0,False
Ist der Informatikbau derzeit zugänglich?,"{'test_idx': 18, 'turn_idx': 0, 'type': 'single_turn'}","['Ja, das Gebäude ist momentan geöffnet.']","['Ja, der Informatikbau ist derzeit zugänglich.']",0.8212715983390808,0.8077956438064575,0.8352048397064209,1.0,"The output conveys the same information as the expected output, just using slightly different wording.",1.0,True
Ist die Kantine am Campus Nord momentan geöffnet?,"{'test_idx': 19, 'turn_idx': 0, 'type': 'single_turn'}","['Nein, das Gebäude ist momentan geschlossen.']",['Die Kantine am Campus Nord ist momentan geöffnet.'],0.7941457033157349,0.7976285219192505,0.7906932830810547,0.0,The output contradicts the expected output regarding the current status of the canteen.,0.0,False
"Ist das Institut für Prozessrechentechnik, Automation und Robotik zurzeit auf?","{'test_idx': 20, 'turn_idx': 0, 'type': 'single_turn'}","['Nein, das Gebäude ist momentan geschlossen.']","['Das Institut für Prozessrechentechnik, Automation und Robotik (IPR) ist zurzeit geöffnet.']",0.7144337892532349,0.6656148433685303,0.7709805965423584,0.0,"The output states that the institute is currently open, which contradicts the expected output that states the building is currently closed.",0.0,False
Ist das Gebäude 50.40 momentan offen?,"{'test_idx': 21, 'turn_idx': 0, 'type': 'single_turn'}","['Ja, das Gebäude ist momentan geöffnet.']",['Das Gebäude 50.40 ist momentan geöffnet.'],0.8450537323951721,0.831622838973999,0.8589254021644592,1.0,The output conveys the same information as the expected output but with slightly different phrasing.,1.0,True
