file_stem,transcription,type,error,processing_time
building_location_synthetic-01, An welcher Stelle büchendet sich Gebäude 239.,single,,1.529350996017456
building_location_synthetic-11, Wo steht Gebäude 40.25?,single,,0.5499038696289062
building_location_synthetic-12, In welcher Adresse finde ich das internationale Studiensoffes INTL?,single,,0.644171953201294
building_location_synthetic-17, Was ist die Adresse von Gebäude 10.34?,single,,0.554142951965332
building_location_synthetic-18," Oberfindet sich das Institut für Thermodynamische Informatik, die Arbeitsgruppe, Kriptografie und Sicherheit.",single,,0.692058801651001
building_location_synthetic-20, Wo hat die Fachschaft geistet und Sozialwissenschaften ihren Sitz?,single,,0.5848119258880615
building_location_synthetic-33, Wo steht Gebäude 70.26?,single,,0.5217442512512207
building_location_synthetic-40, Wie ist die Lage von Gebäude 915?,single,,0.5437099933624268
building_location_synthetic-41, Welcher Adress hat das Gebäude 736?,single,,0.5536093711853027
building_location_synthetic-42, Wo befindet sich Gebäude 666?,single,,0.5385451316833496
building_location_synthetic-57, An welcher Adresse finde ich die Gebäude 901?,single,,0.5700349807739258
building_location_synthetic-63, Können Sie die Lage von Gebäude 686 angeben?,single,,0.5944738388061523
building_location_synthetic-64," Wie oder was ist hier Dresse von Gebäude 6, 6, 8?",single,,0.5997471809387207
building_location_synthetic-67, Wo steht das Gebäude 741?,single,,0.548382043838501
building_location_synthetic-69, Können Sie mir den Standort von Gebäude 726 mitteilen?,single,,0.6318299770355225
building_location_synthetic-72, Das ist der Standort von Gebäude 800 und 3.,single,,1.3302509784698486
building_location_synthetic-81, Wo genau ist Gebäude 706 lokalisiert?,single,,0.9202430248260498
building_location_synthetic-82," An welchem Standort steht, gibt es Gebäude 911?",single,,0.6788349151611328
building_location_synthetic-83, Was ist die Adresse von Energy Labs?,single,,0.576524019241333
closed_until_synthetic-06, Wann sind die Türen das Informatikbaus wieder offen?,single,,0.7401881217956543
closed_until_synthetic-30," Ablicher Uhrzeit ist Gebäude 20, 54 wieder geöffnet.",single,,0.6766138076782227
closed_until_synthetic-37, Bandgebäude 10.11 wieder zugänglich,single,,0.5679969787597656
