input,metadata,expected_output,output,FScore,Precision,Recall,LLM_Judge,LLM_Judge_reason,assertions_passed_rate,assertion.LLMJudge_pass
Gibt es Rollstuhlzugang im Gebäude 210?,"{'test_idx': 0, 'turn_idx': 0, 'type': 'single_turn'}","['Ja, das Gebäude ist rollstuhlgerecht.']","['Ja, Gebäude 210 ist rollstuhlgerecht. Leider liegen keine detaillierten Beschreibungen vor. Für weitere Informationen können Sie sich an das zuständige Dekanat oder die KIT-Seite zur Barrierefreiheit wenden.']",0.7598735094070435,0.6727123856544495,0.8729829788208008,1.0,The output conveys the same information as the expected output but includes additional context about the lack of detailed descriptions and potential sources for further information.,1.0,True
Verfügt die Englervilla über Rollstuhlzugänglichkeit?,"{'test_idx': 1, 'turn_idx': 0, 'type': 'single_turn'}","['Nein, das Gebäude ist nicht rollstuhlgerecht.']","['Nein, die Englervilla ist laut den verfügbaren Informationen nicht rollstuhlgerecht. Es liegen keine weiteren detaillierten Beschreibungen zur Barrierefreiheit vor.']",0.7866137027740479,0.7096861600875854,0.8822459578514099,1.0,"The output conveys the same information as the expected output, stating that the Englervilla is not wheelchair accessible, and it does not provide unnecessary excuses.",1.0,True
Hat das Institut für Photogrammetrie und Fernerkundung einen barrierefreien Zugang?,"{'test_idx': 2, 'turn_idx': 0, 'type': 'single_turn'}","['Ja, das Gebäude ist rollstuhlgerecht. Es gibt Rollstuhlrampe auf der Rückseite des Gebäudes. Aufzug befindet sich links. Behindertengerechten Toiletteim UG nähe Rampe.']","['Ja, das Institut für Photogrammetrie und Fernerkundung (IPF) hat einen barrierefreien Zugang. Auf der Rückseite des Gebäudes gibt es eine Rollstuhlrampe, links vom Eingang befindet sich ein Aufzug. Zudem ist im Untergeschoss in der Nähe der Rampe eine behindertengerechte Toilette vorhanden.']",0.7581664323806763,0.732260525226593,0.7859726548194885,1.0,"The output conveys the same information as the expected output regarding barrier-free access, ramps, elevators, and accessible toilets.",1.0,True
Kann man die Laborhalle des Instituts für Thermische Verfahrenstechnik mit Rollstuhl erreichen?,"{'test_idx': 3, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude ist teilweise rollstuhlgerecht.'],"['Die Laborhalle des Instituts für Thermische Verfahrenstechnik an der Adresse Engelbert-Arnold-Straße 10 ist **nur eingeschränkt rollstuhlgerecht** zugänglich. Wenn du weitere Informationen zur Erreichbarkeit oder alternativen Zugängen benötigst, kann ich dir gerne weiterhelfen.']",0.6800522208213806,0.5955682992935181,0.7924671173095703,1.0,"The output conveys the same information as the expected output, stating that the building is only partially wheelchair accessible.",1.0,True
Ist das Hochschulsportgebäude barrierefrei zugänglich?,"{'test_idx': 4, 'turn_idx': 0, 'type': 'single_turn'}","['Ja, das Gebäude ist rollstuhlgerecht.']","['Ja, das Hochschulsportgebäude ist barrierefrei zugänglich. Es ist rollstuhlgerecht, allerdings sind keine detaillierten Beschreibungen der Zugänglichkeit verfügbar. Weitere Informationen können auf der offiziellen Website des KIT Hochschulsports unter [https://www.sport.kit.edu](https://www.sport.kit.edu) nachgeschlagen werden.']",0.6918106079101562,0.579744815826416,0.8575831651687622,1.0,"The output conveys the same information as the expected output by confirming that the Hochschulsportgebäude is barrier-free and wheelchair accessible. It also provides additional context and a resource for further details, which is acceptable as long as the core information remains intact.",1.0,True
Hat die Englervilla Rollstuhlzugänge?,"{'test_idx': 5, 'turn_idx': 0, 'type': 'single_turn'}","['Nein, das Gebäude ist nicht rollstuhlgerecht.']",['Leider ist die Englervilla nicht rollstuhlgerecht. Es liegen keine weiteren detaillierten Beschreibungen zur Barrierefreiheit vor. Bei weiteren Fragen zu barrierefreien Gebäuden auf dem KIT-Campus helfe ich gerne!'],0.7446085810661316,0.6770871877670288,0.8270887136459351,1.0,"The output conveys the same information as the expected output, confirming that the Englervilla is not wheelchair accessible.",1.0,True
Bietet das Institut für Regionalwissenschaft Barrierefreiheit?,"{'test_idx': 6, 'turn_idx': 0, 'type': 'single_turn'}","['Ja, das Gebäude ist rollstuhlgerecht.']","['Ja, das Institut für Regionalwissenschaft (IfR) ist rollstuhlgerecht. Es gibt jedoch keine weiteren detaillierten Beschreibungen zur Barrierefreiheit in den verfügbaren Dokumenten. Für weitere Informationen oder spezifische Anliegen ist es ratsam, direkt mit dem Institut Kontakt aufzunehmen.']",0.7361018657684326,0.6401285529136658,0.8659289479255676,1.0,"The output conveys the same essential information as the expected output (that the institute is wheelchair accessible), even though it adds additional context. It does not list excuses and provides relevant details as per the data access assumption.",1.0,True
Verfügt Gebäude 50.31 über Rollstuhlzugänge?,"{'test_idx': 7, 'turn_idx': 0, 'type': 'single_turn'}","['Ja, das Gebäude ist rollstuhlgerecht. Es gibt Aufzug vorhanden.']","['Ja, das Gebäude 50.31 ist rollstuhlgerecht. Es verfügt über einen Aufzug.']",0.886802077293396,0.8654413819313049,0.9092438817024232,1.0,"The output conveys the same information as the expected output, confirming that the building is wheelchair accessible and has an elevator.",1.0,True
Ist das Physik-Hochhaus mit Rollstuhl erreichbar?,"{'test_idx': 8, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude ist teilweise rollstuhlgerecht.'],['Das Physik-Hochhaus an der Wolfgang-Gaede-Straße 1 ist laut den verfügbaren Angaben **nur eingeschränkt rollstuhlgerecht**. Eine detaillierte Beschreibung der Barrieren ist nicht vorhanden. Für weitere Informationen zur barrierefreien Zugänglichkeit können Sie sich an das Gebäude- oder Servicecenter des KIT wenden.'],0.7082522511482239,0.6239492297172546,0.8188947439193726,1.0,"The output conveys the same information as the expected output about the building being partially accessible for wheelchairs but uses a different phrasing. It also includes the address, which is acceptable under the rubric.",1.0,True
Kann man das Elektrotechnische Institut mit Rollstuhl betreten?,"{'test_idx': 9, 'turn_idx': 0, 'type': 'single_turn'}","['Nein, das Gebäude ist nicht rollstuhlgerecht.']","['Das Elektrotechnische Institut (ETI) an der KIT ist laut den verfügbaren Informationen nicht rollstuhlgerecht. Wenn Sie weitere Gebäude auf ihre Barrierefreiheit prüfen möchten, helfe ich gerne weiter.']",0.737197756767273,0.6583021283149719,0.8375793695449829,1.0,"The output conveys the same information as the expected output, stating that the institute is not wheelchair accessible.",1.0,True
