input,metadata,expected_output,output,FScore,Precision,Recall,LLM_Judge,LLM_Judge_reason,assertions_passed_rate,assertion.LLMJudge_pass
Hat die Fachschaft Informatik momentan auf?,"{'test_idx': 0, 'turn_idx': 0, 'type': 'single_turn'}","['Ja, das Gebäude ist momentan geöffnet.']","['Ja, die Fachschaft Informatik hat derzeit geöffnet. Die Öffnungszeiten lauten: Montag bis Freitag von 07:00 bis 22:30 Uhr und Samstag von 07:00 bis 15:00 Uhr. Die Adresse ist Am Fasanengarten 5.']",0.6612304449081421,0.5733875632286072,0.7808578014373779,1.0,The output conveys the same information as the expected output by confirming that the Fachschaft Informatik is currently open and provides the address.,1.0,True
Kann man gerade ins InformatiKOM 1?,"{'test_idx': 1, 'turn_idx': 0, 'type': 'single_turn'}","['Nein, das Gebäude ist momentan geschlossen.']","['Der InformatiKOM 1 (Adenauerring 12) ist im Moment geöffnet. Ohne KIT-Card ist er montags bis freitags von 09:00 bis 19:00 Uhr zugänglich, und da es gerade Montag, den 14. Juli 2025, 15:07 Uhr ist, kannst du hinein.']",0.6541875004768372,0.5912930965423584,0.7320543527603149,0.0,"The output states that the building is open, which contradicts the expected output that it is closed.",0.0,False
Ist der Physik-Hörsaal 3 derzeit zugänglich?,"{'test_idx': 2, 'turn_idx': 0, 'type': 'single_turn'}","['Nein, das Gebäude ist momentan geschlossen.']","['Der Physik-Hörsaal 3 ist derzeit zugänglich, da seine Öffnungszeiten bis 19:00 Uhr Mo-Fr betragen und es gerade Montag, 14. Juli 2025, 15:07 Uhr ist. Außerdem ist der Hörsaal rollstuhlgerecht.']",0.666185200214386,0.6102081537246704,0.733469545841217,0.0,The output contradicts the expected output by stating the Physics Lecture Hall 3 is accessible when it should be reported as closed.,0.0,False
Steht Gebäude 01.90 momentan offen?,"{'test_idx': 3, 'turn_idx': 0, 'type': 'single_turn'}","['Ja, das Gebäude ist momentan geöffnet.']",['Gebäude 01.90 ist momentan geöffnet. Die Öffnungszeiten lauten: Montag bis Freitag von 09:00 bis 22:00 Uhr und Samstag von 10:00 bis 22:00 Uhr.'],0.6765406131744385,0.5912234783172607,0.7906339168548584,1.0,The output conveys the same information as the expected output by confirming that the building is currently open.,1.0,True
Kann man aktuell in die Fachschaft GeistSoz?,"{'test_idx': 4, 'turn_idx': 0, 'type': 'single_turn'}","['Ja, das Gebäude ist momentan geöffnet.']","['Die Fachschaft Geistes- und Sozialwissenschaften hat derzeit am Fritz-Haber-Weg 7 in Innenstadt-Ost (Postleitzahl 76131) geöffnet von Mo bis Do von 13:00 bis 14:00 Uhr. Da wir uns gegenwärtig am Donnerstag um 15:08 Uhr befinden, ist die Fachschaft aktuell nicht geöffnet.']",0.6710087060928345,0.5931437611579895,0.7724063992500305,0.0,"The output correctly states that the Fachschaft is not currently open, which is the opposite of the expected output. It also includes additional information about the address and opening hours, which is not required by the rubric.",0.0,False
Ist die Physik-Bibliothek jetzt offen?,"{'test_idx': 5, 'turn_idx': 0, 'type': 'single_turn'}","['Nein, das Gebäude ist momentan geschlossen.']","['Die Physik-Bibliothek hat die folgenden Öffnungszeiten: Montag bis Freitag von 09:00 bis 19:00 Uhr und am Samstag von 09:00 bis 12:30 Uhr. Aktuell, am 14.07.2025 um 15:08 Uhr, ist die Bibliothek **offen**.']",0.6317254900932312,0.5590906143188477,0.7260512709617615,0.0,"The output states that the library is open, which contradicts the expected output stating it is closed.",0.0,False
Ist das Gebäude 123 im Moment zugänglich?,"{'test_idx': 6, 'turn_idx': 0, 'type': 'single_turn'}","['Nein, das Gebäude ist momentan geschlossen.']","['Ja, das Gebäude 123 ist derzeit zugänglich, da es montags bis freitags von 07:00 bis 18:00 geöffnet hat und du die Anfrage um 15:08 Uhr gestellt hast. Es ist ebenfalls rollstuhlgerecht.']",0.698188066482544,0.6227167844772339,0.7944760918617249,0.0,The output contradicts the expected output by stating the building is accessible when it was expected to be closed.,0.0,False
Kann man gerade in Gebäude 303 rein?,"{'test_idx': 7, 'turn_idx': 0, 'type': 'single_turn'}","['Nein, das Gebäude ist momentan geschlossen.']","['Derzeit ist Gebäude 303 nicht geöffnet. Die Öffnungszeiten lauten Montag bis Freitag: 09:00–12:00 und 13:00–15:00. Da es aktuell 15:08 Uhr ist, hat das Gebäude gerade geschlossen.']",0.6707950234413147,0.5996021032333374,0.7611716985702515,1.0,"The output conveys the same information as the expected output by stating that the building is currently closed, though it includes additional details about the opening hours and current time.",1.0,True
Ist die Ambulanz derzeit geöffnet?,"{'test_idx': 8, 'turn_idx': 0, 'type': 'single_turn'}","['Ja, das Gebäude ist momentan geöffnet.']","['Ja, die Ambulanz am KIT ist derzeit 24 Stunden am Tag geöffnet. Sie können dort jederzeit Unterstützung erhalten.']",0.7821603417396545,0.7360765933990479,0.8343997597694397,1.0,The output conveys the same information as the expected output by confirming that the clinic is currently open and even provides additional context about it being open 24/7.,1.0,True
Kann man den KIT Botanischen Garten momentan besuchen?,"{'test_idx': 9, 'turn_idx': 0, 'type': 'single_turn'}","['Ja, das Gebäude ist momentan geöffnet.']","['Der KIT Botanische Garten („Versuchsanstalt des Joseph Gottlieb Kölreuter Instituts für Pflanzenwissenschaften“) hat ab April bis September am Wochenende (Su, PH) von 10:00 bis 16:00 Uhr geöffnet. Da heute, den 14.07.2025 (ein Sonntag), innerhalb dieses Zeitraums liegt, ist er aktuell geöffnet. Besuchen Sie ihn gerne!']",0.6481602191925049,0.5743050575256348,0.7438141107559204,1.0,"The output conveys the same information as the expected output, stating that the botanical garden is currently open, albeit with more detail about the opening hours and dates.",1.0,True
Hat Gebäude 50.40 aktuell geöffnet?,"{'test_idx': 10, 'turn_idx': 0, 'type': 'single_turn'}","['Nein, das Gebäude ist momentan geschlossen.']","['Gebäude 50.40 hat derzeit geöffnet, da die Öffnungszeiten angegeben sind als „Mo-Fr 07:00-18:00; Sa, Su, PH offen“. Da es momentan weder Samstag, Sonntag noch ein gesetzlicher Feiertag ist, befindet sich das Gebäude in der regulären Öffnungszeit.']",0.6855039596557617,0.6183544993400574,0.7690140008926392,0.0,"The output contradicts the expected output; the expected output states the building is currently closed, while the output claims it is open.",0.0,False
Ist das Internet Café Aso jetzt auf?,"{'test_idx': 11, 'turn_idx': 0, 'type': 'single_turn'}","['Nein, das Gebäude ist momentan geschlossen.']","['Das Internet Café Aso (Gebäude 01.90) ist derzeit geöffnet, da seine Öffnungszeiten von Montag bis Freitag von 09:00 bis 22:00 Uhr sind. Da wir uns am Montag, den 14.07.2025, gegen 15:08 Uhr befinden, ist es noch bis 22:00 Uhr für Sie geöffnet.']",0.6654425859451294,0.5918560028076172,0.7599254250526428,0.0,"The output states that the Internet Café Aso is currently open, which contradicts the expected output stating it is closed. The information is not consistent.",0.0,False
Kann man momentan in den Otto-Lehmann-Hörsaal?,"{'test_idx': 12, 'turn_idx': 0, 'type': 'single_turn'}","['Nein, das Gebäude ist momentan geschlossen.']","['Der Otto-Lehmann-Hörsaal hat die Öffnungszeiten: Montags bis freitags von 09:00 bis 19:00 Uhr und samstags von 09:00 bis 12:30 Uhr. Da derzeit (15:08 Uhr, Montag) innerhalb der Öffnungszeiten liegt, ist der Hörsaal aktuell geöffnet.']",0.645104169845581,0.5691924095153809,0.7443804144859314,0.0,"The output is factually inconsistent with the expected output. The expected output states the building is currently closed, while the output claims it is open based on the provided time.",0.0,False
Ist der Physik-Hörsaal 4 gerade zugänglich?,"{'test_idx': 13, 'turn_idx': 0, 'type': 'single_turn'}","['Nein, das Gebäude ist momentan geschlossen.']","['Der Physik-Hörsaal 4 ist rollstuhlgerecht zugänglich und befindet sich in der Engesserstraße im Stadtviertel Innenstadt-Ost in Karlsruhe. Da keine konkreten Öffnungszeiten für Hörsäle angegeben wurden, sind diese in der Regel während des Lehrbetriebs (Vorlesungszeiten) zugänglich. Wenn du die aktuelle Uhrzeit berücksichtigst (15:08 Uhr), ist es sehr wahrscheinlich, dass der Hörsaal gerade geöffnet ist. Du kannst aber auch direkt am Gebäude nachschauen, ob er für Besucher/Studenten zugänglich ist.']",0.6534314155578613,0.5989197492599487,0.7188595533370972,0.0,"The output incorrectly states that the lecture hall is likely open and provides additional details about its location and accessibility, while the expected output clearly states that the building is currently closed. This is inconsistent with the expected answer.",0.0,False
Hat das ZML derzeit offen?,"{'test_idx': 14, 'turn_idx': 0, 'type': 'single_turn'}","['Nein, das Gebäude ist momentan geschlossen.']","['Ja, das Zentrum für Mediales Lernen (ZML) ist derzeit geöffnet. Die Öffnungszeiten betragen Montag bis Freitag von 09:00 bis 19:00 Uhr und Montag bis Sonntag von 07:00 bis 22:00 Uhr mit KIT-Card.']",0.64705491065979,0.5644261837005615,0.7580254673957825,0.0,The output states the opposite of the expected output (open instead of closed) and provides incorrect information about opening hours.,0.0,False
"Ist das Institut für Theoretische Informatik, AG Kryptographie und Sicherheit momentan geöffnet?","{'test_idx': 15, 'turn_idx': 0, 'type': 'single_turn'}","['Nein, das Gebäude ist momentan geschlossen.']","['Das Institut für Theoretische Informatik, Arbeitsgruppe Kryptographie und Sicherheit (IKS) ist derzeit geöffnet, da die Öffnungszeiten Mo-Fr von 07:00 bis 22:30 Uhr angegeben sind, und es am Wochenende nicht geöffnet ist. Da wir uns im Moment am Freitag um 15:08 Uhr befinden, ist das IKS noch geöffnet.']",0.6668511033058167,0.5888769030570984,0.7686262726783752,0.0,"The output contradicts the expected output by stating the institute is open, while the expected output states it is currently closed.",0.0,False
