input,metadata,expected_output,output,FScore,Precision,Recall,LLM_Judge,LLM_Judge_reason,assertions_passed_rate,assertion.LLMJudge_pass
Bis wann kann ich das IAM-ET Gebäude noch betreten?,"{'test_idx': 0, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude schließt in 8 Stunden und 46 Minuten.'],"['Das IAM-ET Gebäude scheint nicht in den abgerufenen Dokumenten aufzutauchen. Ich kann jedoch versuchen, dir zu helfen, indem ich dir sage, dass das Institut für Angewandte Materialien (IAM) in der Regel an Montagen bis Freitags von 8 bis 17 Uhr geöffnet ist. Allerdings ist es wichtig, dass du dich direkt an das Institut wendest, um die genauen Öffnungszeiten zu bestätigen.']",0.642255961894989,0.58347088098526,0.714213490486145,0.0,The output does not convey the same information as the expected output because it does not mention the remaining time until the building closes.,0.0,False
Wann schließt die Bibliothek am Campus Nord?,"{'test_idx': 1, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude schließt in 0 Stunden und 54 Minuten.'],['Die Bibliothek am Campus Nord ist von Montag bis Freitag von 09:00 bis 12:00 Uhr und von 13:00 bis 15:00 Uhr geöffnet.'],0.6749847531318665,0.6391801834106445,0.7150386571884155,0.0,The output provides the library's opening hours instead of answering when the library will close,0.0,False
Was sind die Öffnungszeiten vom Botanischen Garten des KIT heute?,"{'test_idx': 2, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude ist momentan geschlossen.'],"['Der Botanische Garten des KIT ist von April bis September Montag bis Freitag von 8:00 bis 16:00 Uhr geöffnet, sonntags und an Feiertagen von 10:00 bis 16:00 Uhr. Von Oktober bis März ist er Montag bis Freitag von 8:00 bis 15:00 Uhr geöffnet, sonntags und an Feiertagen von 10:00 bis 14:00 Uhr.']",0.5895378589630127,0.5033015608787537,0.7114361524581909,0.0,The output provides general opening hours but does not address whether the building is currently open or closed today.,0.0,False
"Wann macht das Institut für Theoretische Informatik, AG Kryptographie und Sicherheit zu?","{'test_idx': 3, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude schließt in 12 Stunden und 3 Minuten.'],"['Das Institut für Theoretische Informatik, AG Kryptographie und Sicherheit ist von Montag bis Freitag von 07:00 bis 22:30 Uhr und am Samstag von 07:00 bis 15:00 Uhr geöffnet. Es ist am Sonntag und an Feiertagen geschlossen.']",0.6523758172988892,0.6052653193473816,0.7074389457702637,0.0,The output provided general opening hours but did not answer the specific question about when the institute will close.,0.0,False
Bis zu welcher Uhrzeit ist Gebäude 01.90 zugänglich?,"{'test_idx': 4, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude schließt in 4 Stunden und 10 Minuten.'],['Das Gebäude 01.90 ist von Montag bis Freitag von 09:00 bis 22:00 Uhr und am Samstag von 10:00 bis 22:00 Uhr zugänglich.'],0.6849700808525085,0.6394748687744141,0.7374346256256104,0.0,"The output provides general access hours for the building but does not mention the specific time until which it is accessible in this case, which is 4 hours and 10 minutes from the current time.",0.0,False
Wann schließt heute die Fachschaft GeiSo?,"{'test_idx': 5, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude ist momentan geschlossen.'],['Die Fachschaft Geistes- und Sozialwissenschaften ist heute von 13:00 bis 14:00 Uhr geöffnet.'],0.7035767436027527,0.6346588134765625,0.7892857789993286,0.0,"The output provides incorrect information about the opening hours of Fachschaft GeiSo, while the expected output correctly states that the building is currently closed",0.0,False
Zu welcher Zeit schließt das IPR-Gebäude?,"{'test_idx': 6, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude ist momentan geschlossen.'],"['Das IPR-Gebäude ist nicht direkt in den abgerufenen Dokumenten enthalten. Ich kann jedoch versuchen, eine Antwort zu finden, indem ich auf die Adresse des IPR-Gebäudes zugreife. Das IPR-Gebäude befindet sich an der Kaiserstr. 12, 76131 Karlsruhe. Ich habe leider keine Informationen über die Öffnungszeiten des IPR-Gebäudes. Wenn Sie möglicherweise wissen, zu welchem Zweck Sie das Gebäude besuchen möchten, kann ich Ihnen vielleicht weiterhelfen.']",0.6336303353309631,0.5705893635749817,0.7123316526412964,0.0,"The output does not match the expected output in meaning, as it fails to convey the information that the building is currently closed. Instead, it provides irrelevant details about the address and apologizes for missing information.",0.0,False
Bis wann hat das Institut für Anthropomatik und Robotik heute geöffnet?,"{'test_idx': 7, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude ist momentan geschlossen.'],['Das Institut für Anthropomatik und Robotik ist heute von 07:00 bis 22:30 Uhr geöffnet.'],0.7105235457420349,0.6345565915107727,0.8071532249450684,0.0,"The output incorrectly states the institute is open today, while the expected output indicates it is currently closed.",0.0,False
Wann schließt die Physik-Bibliothek?,"{'test_idx': 8, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude ist momentan geschlossen.'],['Die Physik-Bibliothek schließt am Samstag um 12:30 Uhr.'],0.700985848903656,0.6624486446380615,0.7442837357521057,0.0,"The output does not match the expected output in meaning. The expected output indicates that the building is currently closed, while the output provides a specific closing time, which is incorrect.",0.0,False
Wann macht die Fachschaft Info zu?,"{'test_idx': 9, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude ist momentan geschlossen.'],['Die Fachschaft Info macht von Montag bis Freitag von 07:00 bis 22:30 Uhr und am Samstag von 07:00 bis 15:00 Uhr geöffnet. Sie ist am Sonntag und an Feiertagen geschlossen.'],0.6532711982727051,0.5675718784332275,0.7694530487060547,0.0,The output provides incorrect information about the opening hours of the Fachschaft Info and does not match the expected output in meaning.,0.0,False
