input,metadata,expected_output,output,FScore,Precision,Recall,LLM_Judge,LLM_Judge_reason,assertions_passed_rate,assertion.LLMJudge_pass
Gibt es Rollstuhlzugang im Gebäude 210?,"{'test_idx': 0, 'turn_idx': 0, 'type': 'single_turn'}","['Ja, das Gebäude ist rollstuhlgerecht.']","['Ja, im Gebäude 210 besteht Rollstuhlzugang.']",0.7956445217132568,0.7916959524154663,0.7996326684951782,1.0,"The output correctly conveys the information that the building is wheelchair accessible, matching the expected output in meaning.",1.0,True
Verfügt die Englervilla über Rollstuhlzugänglichkeit?,"{'test_idx': 1, 'turn_idx': 0, 'type': 'single_turn'}","['Nein, das Gebäude ist nicht rollstuhlgerecht.']","['Die Englervilla ist leider nicht in meinen Daten gefunden. Ich kann jedoch keine Informationen über die Rollstuhlzugänglichkeit der anderen Gebäude finden, die in den zurückgegebenen Dokumenten aufgeführt sind. Wenn du möchtest, kann ich dir helfen, weitere Informationen über die Zugänglichkeit anderer Gebäude auf dem Campus zu finden.']",0.6712603569030762,0.6311184167861938,0.7168555855751038,0.0,The output does not convey the required information about wheelchair accessibility of the Englervilla and instead provides an excuse for not having the data.,0.0,False
Hat das Institut für Photogrammetrie und Fernerkundung einen barrierefreien Zugang?,"{'test_idx': 2, 'turn_idx': 0, 'type': 'single_turn'}","['Ja, das Gebäude ist rollstuhlgerecht. Es gibt Rollstuhlrampe auf der Rückseite des Gebäudes. Aufzug befindet sich links. Behindertengerechten Toiletteim UG nähe Rampe.']","['Ja, das Institut für Photogrammetrie und Fernerkundung (IPF) hat einen barrierefreien Zugang. Es gibt eine Rollstuhlrampen auf der Rückseite des Gebäudes und einen Aufzug, der links vom Eingang liegt. Zudem befindet sich eine behindertengerechte Toilette im Untergeschoss (UG) in der Nähe der Rampe.']",0.7693008184432983,0.7379306554794312,0.8034564256668091,1.0,"The output conveys the same information as the expected output regarding the barrier-free access, ramp, elevator, and accessible toilet.",1.0,True
Kann man die Laborhalle des Instituts für Thermische Verfahrenstechnik mit Rollstuhl erreichen?,"{'test_idx': 3, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude ist teilweise rollstuhlgerecht.'],['Die Laborhalle des Instituts für Thermische Verfahrenstechnik kann mit Rollstuhl erreicht werden. Laut den verfügbaren Informationen befindet sich das Institut an der Wilhelm-Nusselt-Weg und ist rollstuhlgerechtig.'],0.7348818778991699,0.6545714139938354,0.837655246257782,1.0,"The output conveys the same information as the expected output, indicating that the building is wheelchair accessible.",1.0,True
Ist das Hochschulsportgebäude barrierefrei zugänglich?,"{'test_idx': 4, 'turn_idx': 0, 'type': 'single_turn'}","['Ja, das Gebäude ist rollstuhlgerecht.']",['Das Hochschulsportgebäude ist rollstuhlgerechtig.'],0.8127772212028503,0.7883087992668152,0.8388132452964783,0.9,The output conveys the same information as the expected output but has a minor grammatical error ('rollstuhlgerechtig' instead of 'rollstuhlgerecht'),1.0,True
Hat die Englervilla Rollstuhlzugänge?,"{'test_idx': 5, 'turn_idx': 0, 'type': 'single_turn'}","['Nein, das Gebäude ist nicht rollstuhlgerecht.']","['Die Englervilla hat keine Informationen über Rollstuhlgerechtigkeit oder -beschreibung in den gespeicherten Dokumenten. Es tut mir leid, keine genauen Informationen liefern zu können.']",0.6852407455444336,0.6395122408866882,0.7380124926567078,0.0,The output does not convey the same information as the expected output; it apologizes and states a lack of information instead of confirming the building is not wheelchair accessible.,0.0,False
Bietet das Institut für Regionalwissenschaft Barrierefreiheit?,"{'test_idx': 6, 'turn_idx': 0, 'type': 'single_turn'}","['Ja, das Gebäude ist rollstuhlgerecht.']","['Das Institut für Regionalwissenschaft (IfR) bietet Barrierefreiheit, da in den Dokumenten erwähnt wird, dass es rollstuhlgerecht ist.']",0.7632951140403748,0.7009082436561584,0.837873101234436,1.0,The output conveys the same information as the expected output by confirming the institute is wheelchair accessible.,1.0,True
Verfügt Gebäude 50.31 über Rollstuhlzugänge?,"{'test_idx': 7, 'turn_idx': 0, 'type': 'single_turn'}","['Ja, das Gebäude ist rollstuhlgerecht. Es gibt Aufzug vorhanden.']","['Ja, Gebäude 50.31 verfügt über Rollstuhlzugänge, da es einen Aufzug gibt.']",0.7603026628494263,0.7519897222518921,0.7688013315200806,1.0,"The output conveys the same information as the expected output, mentioning the building's wheelchair accessibility and the presence of an elevator.",1.0,True
Ist das Physik-Hochhaus mit Rollstuhl erreichbar?,"{'test_idx': 8, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude ist teilweise rollstuhlgerecht.'],"['Die Informationen über die Rollstuhlzugänglichkeit des Physik-Hochhauses liegen nicht vor. Es scheint jedoch, dass das Gebäude an der Weingartener Straße im Bereich V - Physik und Mathematik (CN) liegt. Es ist möglich, dass dieses Gebäude rollstuhlgerecht ist, aber ich habe keine spezifischen Informationen darüber.']",0.7177438139915466,0.6378478407859802,0.820521354675293,0.0,"The output does not convey that the building is partially wheelchair accessible as stated in the expected output. Instead, it expresses uncertainty and lacks the mandatory information from the expected output.",0.0,False
Kann man das Elektrotechnische Institut mit Rollstuhl betreten?,"{'test_idx': 9, 'turn_idx': 0, 'type': 'single_turn'}","['Nein, das Gebäude ist nicht rollstuhlgerecht.']",['Das Elektrotechnische Institut (ETI) ist leider nicht rollstuhlgerecht. Die Adresse ist Engelbert-Arnold-Straße 5.'],0.7428773045539856,0.6793766021728516,0.8194726705551147,1.0,"The output conveys the same information as the expected output, confirming that the Elektrotechnische Institut is not wheelchair accessible and includes the address correctly.",1.0,True
