input,metadata,expected_output,output,FScore,Precision,Recall,LLM_Judge,LLM_Judge_reason,assertions_passed_rate,assertion.LLMJudge_pass
Ab wann ist der ZEISS Makerspace @ KIT wieder zugänglich?,"{'test_idx': 0, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude öffnet in 0 Tagen, 9 Stunden und 11 Minuten.']",['Der ZEISS Makerspace @ KIT ist montags und freitags von 14:30 bis 18:30 Uhr geöffnet.'],0.6567375659942627,0.6356287002563477,0.6792966723442078,0.0,"The output does not provide the same information as the expected output (it does not mention the reopening time in days, hours, and minutes).",0.0,False
Wann macht der Physik-Hörsaal Nr. 4 wieder auf?,"{'test_idx': 1, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude öffnet in 0 Tagen, 1 Stunden und 52 Minuten.']","['Der Physik-Hörsaal Nr. 4 ist montags bis freitags von 09:00 bis 19:00 Uhr und samstags von 09:00 bis 12:30 Uhr geöffnet. Du kannst also prüfen, ob der aktuelle Zeitpunkt (13:44 Uhr) innerhalb der Öffnungszeiten liegt. Wenn es dich um die Öffnung nach einem Schließtag geht, öffnet der Hörsaal am nächsten Öffnungstag um 09:00 Uhr.']",0.6389801502227783,0.5915022492408752,0.6947450041770935,0.0,"The output does not convey the same information as the expected output. The expected output indicates the building will open in 1 hour and 52 minutes, while the actual output provides general opening hours without specifying the current wait time.",0.0,False
Zu welchem Zeitpunkt öffnet die Parkgarage Kaiserstraße wieder?,"{'test_idx': 2, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude öffnet in 0 Tagen, 2 Stunden und 58 Minuten.']","['Die Parkgarage Kaiserstraße ist generell 24 Stunden geöffnet (Mo–So und an Feiertagen), allerdings sind in der Zeit von 02:00 bis 06:00 Uhr nur Ausfahrten möglich, keine Einfahrten.']",0.6614392995834351,0.6224677562713623,0.7056165933609009,1.0,"The output provides the correct information about the garage being generally open 24/7 and the specific restriction during 02:00–06:00 Uhr, which aligns with the expected output's intent of conveying when it will open again.",1.0,True
Ab welcher Uhrzeit kann man den Botanischen Garten des KIT besuchen?,"{'test_idx': 3, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude ist grade geöffnet.'],"['Der Botanische Garten des KIT (Joseph Gottlieb Kölreuter-Institut für Pflanzenwissenschaften) hat die folgenden Öffnungszeiten:\n\n- **April bis September:** Montag bis Freitag 08:00–16:00 Uhr, Sonn- und Feiertage 10:00–16:00 Uhr  \n- **Oktober bis März:** Montag bis Freitag 08:00–15:00 Uhr, Sonn- und Feiertage 10:00–14:00 Uhr\n\nDu kannst den Garten also an Wochentagen ab **08:00 Uhr** besuchen. Am Wochenende und an Feiertagen beginnen die Öffnungszeiten dagegen um **10:00 Uhr**.']",0.5809837579727173,0.4888775646686554,0.7158527374267578,0.0,"The output provides incorrect and unrelated information about the Botanical Garden of KIT, while the expected output correctly states that the building is currently open. The output fails to convey the correct meaning.",0.0,False
Wann ist das Gebäude 50.34 wieder betretbar?,"{'test_idx': 4, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude ist grade geöffnet.'],"['Das Gebäude 50.34 ist montags bis freitags von 07:00 bis 22:30 Uhr, samstags von 07:00 bis 15:00 Uhr geöffnet. An Sonn- und Feiertagen ist es geschlossen.']",0.6982422471046448,0.595786452293396,0.843254566192627,1.0,"The output provides specific opening hours for the building, while the expected output only states that the building is currently open. Since the chatbot has access to the underlying data and the output conveys the correct information about the building being accessible during certain times, it passes the test.",1.0,True
Ab wann hat das Gebäude 10.11 wieder geöffnet?,"{'test_idx': 5, 'turn_idx': 0, 'type': 'single_turn'}","['Das Gebäude öffnet in 0 Tagen, 6 Stunden und 59 Minuten.']",['Das Gebäude 10.11 hat montags bis freitags von 06:45 Uhr bis 18:20 Uhr geöffnet.'],0.6922232508659363,0.6754803657531738,0.7098171710968018,0.0,The output provides general opening hours but does not answer the specific question about when the building will be open again.,0.0,False
Wann sind die Türen des Informatikbaus wieder offen?,"{'test_idx': 6, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude ist grade geöffnet.'],"['Die Türen des Informatikbaus (allgemein) sind montags bis freitags von 07:00 bis 22:30 Uhr, samstags von 07:00 bis 15:00 Uhr geöffnet. Sie sind an Sonn- und Feiertagen geschlossen.']",0.6853508353233337,0.5989457964897156,0.8008884191513062,0.0,The output provides the general opening hours of the building but does not answer when the doors are open again in the present context.,0.0,False
Ab welchem Zeitpunkt ist der Fairteiler am KIT wieder zugänglich?,"{'test_idx': 7, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude ist grade geöffnet.'],"['Der Fairteiler am KIT ist laut den verfügbaren Informationen 24/7 zugänglich. Es gibt keine Angaben über spezifische Öffnungszeiten, die beschränkt wären. Du kannst ihn also zu jeder Zeit nutzen.']",0.6735747456550598,0.6090120077133179,0.7534497380256653,0.0,"The output provides information about the 24/7 accessibility of the Fairteiler, which is different from the expected output that mentions the building being open. The output does not convey the same information as the expected output.",0.0,False
Wann beginnt der Betrieb der Mensa wieder?,"{'test_idx': 8, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude ist grade geöffnet.'],"['Die Mensa (an der Stelle 01.13) hat normalerweise am Montag bis Freitag geöffnet von 11:00 bis 14:00 Uhr. An Wochenenden, Sontagen und an Feiertagen (PH) ist sie geschlossen. Wenn du nach den Ferien fragst: Normalerweise öffnet die Mensa am ersten Tag des Semesters wieder, es sei denn, es gibt spezielle Ferienzeiten. Für die genauen Öffnungszeiten nach den Ferien kannst du dich auf der Website des Studierendenwerks KIT informieren.']",0.6422723531723022,0.567717969417572,0.7393683195114136,0.0,"The output provides detailed information about the Mensa's operating hours and post-holiday reopening, but the expected output only states that the building is currently open. The output does not match the expected meaning.",0.0,False
Ab wann kann man wieder in den Informatikbau?,"{'test_idx': 9, 'turn_idx': 0, 'type': 'single_turn'}",['Das Gebäude ist grade geöffnet.'],"['Der Informatikbau (z. B. das Gebäude mit der Adresse KIT-Campus Süd, Gebäude 50.34) hat folgende Öffnungszeiten:\n\n- Montag bis Freitag: 07:00–22:30 Uhr  \n- Samstag: 07:00–15:00 Uhr  \n- Sonntag und an Feiertagen (PH): Geschlossen  \n\nDa heute, den 14. Juli 2025, ein Montag ist, ist der Informatikbau bereits geöffnet.']",0.6647460460662842,0.5700287222862244,0.7972127795219421,1.0,The output conveys the same information as the expected output and provides additional context regarding the opening hours and current date.,1.0,True
