input,metadata,expected_output,output,FScore,Precision,Recall,LLM_Judge,LLM_Judge_reason,assertions_passed_rate,assertion.LLMJudge_pass
Zeige den Weg zur Westhochschule,"{'test_idx': 0, 'turn_idx': 0, 'type': 'single_turn'}","['Mit diesem Link kannst du dich zu dem Gebäude führen lassen: https://www.google.com/maps/dir/?api=1&destination=49.02041,8.36768.']","['Mit diesem Link kannst du dich zum Gebäude führen lassen: https://www.google.com/maps/dir/?api=1&destination=49.02033,8.36771']",0.9792906641960144,0.984692394733429,0.9739478826522828,1.0,Both outputs convey the same information by providing a Google Maps link to the Westhochschule with slightly different coordinates.,1.0,True
Navigation zum Gebäude Westhochschule,"{'test_idx': 1, 'turn_idx': 0, 'type': 'single_turn'}","['Mit diesem Link kannst du dich zu dem Gebäude führen lassen: https://www.google.com/maps/dir/?api=1&destination=49.02041,8.36768.']","['Mit diesem Link kannst du dich zum Gebäude führen lassen: https://www.google.com/maps/dir/?api=1&destination=49.02041,8.36768']",0.9872050285339355,0.9909557700157166,0.9834826588630676,1.0,"The output conveys the same information and functionality as the expected output, with a slightly different phrasing.",1.0,True
Wegbeschreibung zu Gebäude 239,"{'test_idx': 2, 'turn_idx': 0, 'type': 'single_turn'}","['Mit diesem Link kannst du dich zu dem Gebäude führen lassen: https://www.google.com/maps/dir/?api=1&destination=49.09322,8.43152.']","['Ich kann dir den Weg zu Gebäude 239 beschreiben. Das Gebäude befindet sich in der Eggensteiner Straße im Stadtviertel Leopoldshafen. Die genauen Koordinaten sind 49.09322, 8.43152.']",0.6754927039146423,0.704399824142456,0.6488646268844604,0.0,The output provides the location and coordinates of Gebäude 239 but does not include the Google Maps link as required by the expected output.,0.0,False
Route zum Gebäude 30.79,"{'test_idx': 3, 'turn_idx': 0, 'type': 'single_turn'}","['Mit diesem Link kannst du dich zu dem Gebäude führen lassen: https://www.google.com/maps/dir/?api=1&destination=49.01330,8.41711.']",['Ich habe keine Informationen über ein Gebäude mit der ID 30.79 in meiner Datenbank.'],0.6083440780639648,0.6694858074188232,0.5574355125427246,0.0,The output does not provide the route information as required; it instead states a lack of data.,0.0,False
Den Weg zu Gebäude 650 anzeigen,"{'test_idx': 4, 'turn_idx': 0, 'type': 'single_turn'}","['Mit diesem Link kannst du dich zu dem Gebäude führen lassen: https://www.google.com/maps/dir/?api=1&destination=49.09833,8.43515.']","['Mit diesem Link kannst du dich zum Gebäude führen lassen: https://www.google.com/maps/dir/?api=1&destination=49.09833,8.43515']",0.9883824586868286,0.9921011924743652,0.9846914410591124,1.0,"The output conveys the same information and meaning as the expected output, with only minor differences in phrasing.",1.0,True
Zeige die Route zum Dr. Franz Lust Gebäude,"{'test_idx': 5, 'turn_idx': 0, 'type': 'single_turn'}","['Mit diesem Link kannst du dich zu dem Gebäude führen lassen: https://www.google.com/maps/dir/?api=1&destination=49.00995,8.41917.']","['Mit diesem Link kannst du dich zum Gebäude führen lassen: https://www.google.com/maps/dir/?api=1&destination=49.00995,8.41917']",0.9884458184242249,0.9920793771743774,0.9848387241363524,1.0,"The output provides the same information as the expected output, with only a minor difference in phrasing. The link and coordinates are identical.",1.0,True
Wegbeschreibung zum Gebäude 40.13,"{'test_idx': 6, 'turn_idx': 0, 'type': 'single_turn'}","['Mit diesem Link kannst du dich zu dem Gebäude führen lassen: https://www.google.com/maps/dir/?api=1&destination=49.01471,8.41518.']","['Mit diesem Link kannst du dich zum Gebäude führen lassen: https://www.google.com/maps/dir/?api=1&destination=49.01471,8.41518\n\nBitte']",0.9829599857330322,0.98499596118927,0.980932354927063,1.0,The output conveys the same meaning as the expected output by providing a Google Maps link to the destination. The extra text 'Bitte' does not interfere with the core information.,1.0,True
Route zum Institut für Biomedizinische Technik,"{'test_idx': 7, 'turn_idx': 0, 'type': 'single_turn'}","['Mit diesem Link kannst du dich zu dem Gebäude führen lassen: https://www.google.com/maps/dir/?api=1&destination=49.01226,8.41320.']","['Mit diesem Link kannst du dich zum Gebäude führen lassen: https://www.google.com/maps/dir/?api=1&destination=49.01226,8.41320']",0.9880809783935548,0.9917958974838256,0.9843937754631042,1.0,"The output conveys the same information and meaning as the expected output, with only slight differences in phrasing.",1.0,True
Navigation zum Institut für Theoretische Festkörperphysik,"{'test_idx': 8, 'turn_idx': 0, 'type': 'single_turn'}","['Mit diesem Link kannst du dich zu dem Gebäude führen lassen: https://www.google.com/maps/dir/?api=1&destination=49.01293,8.41110.']","['Ich habe einige Ergebnisse gefunden, die mit deiner Anfrage übereinstimmen. Das Institut für Theoretische Festkörperphysik befindet sich in der Wolfgang-Gaede-Straße 1 im Stadtviertel Innenstadt-Ost. Die genauen Koordinaten sind 49.01293° Nord, 8.41110° Ost.']",0.6030715703964233,0.6105917096138,0.5957343578338623,0.0,The output includes the correct address and coordinates but does not include the mandatory link for navigation as specified in the expected output.,0.0,False
Route zum Institut für Biomedizinische Technik zeigen,"{'test_idx': 9, 'turn_idx': 0, 'type': 'single_turn'}","['Mit diesem Link kannst du dich zu dem Gebäude führen lassen: https://www.google.com/maps/dir/?api=1&destination=49.01226,8.41320.']","['Mit diesem Link kannst du dich zum Gebäude führen lassen: https://www.google.com/maps/dir/?api=1&destination=49.01226,8.41320\n\nIch']",0.9795587062835692,0.9814742803573608,0.9776506423950196,0.8,"The output includes the correct Google Maps link but contains an incomplete phrase ('

Ich') at the end, which disrupts the otherwise correct information. This minor issue affects the clarity and completeness of the response.",0.0,False
Den Weg zu Gebäude 10.62 anzeigen,"{'test_idx': 10, 'turn_idx': 0, 'type': 'single_turn'}","['Mit diesem Link kannst du dich zu dem Gebäude führen lassen: https://www.google.com/maps/dir/?api=1&destination=49.01055,8.41748.']","['Mit diesem Link kannst du dich zum Gebäude führen lassen: https://www.google.com/maps/dir/?api=1&destination=49.01055,8.41748']",0.9880311489105223,0.991753101348877,0.9843370914459229,1.0,"The output conveys the same information as the expected output, providing a link to navigate to the specified building. The phrasing is slightly different, but the meaning remains consistent.",1.0,True
Wegbeschreibung zu Gebäude 808,"{'test_idx': 11, 'turn_idx': 0, 'type': 'single_turn'}","['Mit diesem Link kannst du dich zu dem Gebäude führen lassen: https://www.google.com/maps/dir/?api=1&destination=49.10307,8.43500.']","['Mit diesem Link kannst du dich zum Gebäude führen lassen: https://www.google.com/maps/dir/?api=1&destination=49.10307,8.43500']",0.9877938032150269,0.9915454387664796,0.9840704202651978,1.0,"The output conveys the same information as the expected output, providing a link for navigation to the specified building. The phrasing is slightly different, but the meaning remains consistent.",1.0,True
Navigation zu Gebäude 09.21,"{'test_idx': 12, 'turn_idx': 0, 'type': 'single_turn'}","['Mit diesem Link kannst du dich zu dem Gebäude führen lassen: https://www.google.com/maps/dir/?api=1&destination=49.01305,8.37527.']","['Mit diesem Link kannst du dich zum Gebäude führen lassen: https://www.google.com/maps/dir/?api=1&destination=49.01305,8.37527']",0.9880110621452332,0.9916719794273376,0.984377145767212,1.0,The output conveys the same information as the expected output with only minor wording differences.,1.0,True
Route zum Institut für Angewandte Biowissenschaften,"{'test_idx': 13, 'turn_idx': 0, 'type': 'single_turn'}","['Mit diesem Link kannst du dich zu dem Gebäude führen lassen: https://www.google.com/maps/dir/?api=1&destination=49.01569,8.41946.']","['Mit diesem Link kannst du dich zum Gebäude führen lassen: https://www.google.com/maps/dir/?api=1&destination=49.01569,8.41946']",0.9878520965576172,0.9914922714233398,0.9842385053634644,1.0,"The output provides the same information as the expected output, with only minor differences in phrasing.",1.0,True
